,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42918,1,1,2024-11-04,,,REG (Non-Conf),W,90,39,,30,67,.448,13,36,.361,17,31,.548,.545,17,29,.586,13,37,50,21,18,10,17,16,10,62,.161,2,26,.077,8,36,.222,.177,17,25,.680,15,26,41,6,11,8,27,21,2025,queens-nc
42919,2,2,2024-11-08,,Western Carolina,REG (Non-Conf),W,67,54,,22,70,.314,8,31,.258,14,39,.359,.371,15,23,.652,14,33,47,15,8,6,14,15,21,67,.313,3,21,.143,18,46,.391,.336,9,16,.563,11,30,41,7,8,8,15,22,2025,queens-nc
42920,3,3,2024-11-12,@,Utah,REG (Non-Conf),L,65,96,,23,64,.359,9,30,.300,14,34,.412,.430,10,16,.625,7,21,28,11,6,9,13,18,35,72,.486,14,30,.467,21,42,.500,.583,12,19,.632,13,34,47,15,9,3,13,18,2025,queens-nc
42921,4,4,2024-11-13,@,Brigham Young,REG (Non-Conf),L,55,99,,20,58,.345,11,30,.367,9,28,.321,.440,4,10,.400,2,18,20,13,4,6,15,11,40,78,.513,15,35,.429,25,43,.581,.609,4,8,.500,18,35,53,25,13,5,12,7,2025,queens-nc
42922,5,5,2024-11-19,@,Appalachian State,REG (Non-Conf),L,53,65,,21,66,.318,6,37,.162,15,29,.517,.364,5,13,.385,15,17,32,12,9,7,12,24,22,47,.468,5,14,.357,17,33,.515,.521,16,30,.533,9,31,40,8,10,5,14,17,2025,queens-nc
42923,6,6,2024-11-23,N,USC Upstate,REG (Non-Conf),W,98,74,,33,67,.493,14,38,.368,19,29,.655,.597,18,26,.692,13,27,40,20,7,3,10,23,27,58,.466,5,20,.250,22,38,.579,.509,15,29,.517,8,25,33,13,4,2,13,19,2025,queens-nc
42924,7,7,2024-11-24,@,East Tennessee State,REG (Non-Conf),L,67,82,,25,61,.410,8,31,.258,17,30,.567,.475,9,18,.500,12,20,32,14,7,3,12,14,33,66,.500,7,22,.318,26,44,.591,.553,9,15,.600,17,27,44,16,7,5,13,17,2025,queens-nc
42925,8,8,2024-12-03,,Winthrop,REG (Non-Conf),L,78,86,,28,61,.459,9,26,.346,19,35,.543,.533,13,24,.542,8,24,32,17,5,6,12,28,30,61,.492,5,18,.278,25,43,.581,.533,21,34,.618,8,24,32,10,6,7,13,22,2025,queens-nc
42926,9,9,2024-12-07,@,VMI,REG (Non-Conf),W,81,78,,32,53,.604,9,21,.429,23,32,.719,.689,8,15,.533,10,25,35,18,4,2,21,14,25,56,.446,11,30,.367,14,26,.538,.545,17,20,.850,6,14,20,9,16,4,7,16,2025,queens-nc
42927,10,10,2024-12-10,,,REG (Non-Conf),W,91,53,,29,70,.414,12,39,.308,17,31,.548,.500,21,30,.700,18,23,41,16,11,4,5,9,19,47,.404,6,14,.429,13,33,.394,.468,9,11,.818,4,27,31,9,1,2,22,19,2025,queens-nc
