,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42956,1,1,2024-11-04,@,Yale,REG (Non-Conf),L,62,88,,19,60,.317,7,32,.219,12,28,.429,.375,17,18,.944,7,16,23,10,10,7,13,24,30,65,.462,7,20,.350,23,45,.511,.515,21,27,.778,18,24,42,19,7,4,15,16,2025,quinnipiac
42957,2,2,2024-11-07,,,REG (Non-Conf),W,71,47,,25,63,.397,5,22,.227,20,41,.488,.437,16,23,.696,11,37,48,15,10,3,14,10,16,64,.250,7,36,.194,9,28,.321,.305,8,10,.800,6,26,32,9,7,4,13,19,2025,quinnipiac
42958,3,3,2024-11-09,@,St. John's (NY),REG (Non-Conf),L,73,96,,25,65,.385,8,30,.267,17,35,.486,.446,15,21,.714,8,23,31,14,9,4,14,18,32,71,.451,10,26,.385,22,45,.489,.521,22,26,.846,12,31,43,20,9,10,11,17,2025,quinnipiac
42959,4,4,2024-11-15,,Maine,REG (Non-Conf),W,58,55,,25,58,.431,4,21,.190,21,37,.568,.466,4,6,.667,9,25,34,10,13,3,13,12,22,61,.361,7,27,.259,15,34,.441,.418,4,8,.500,14,21,35,10,10,2,17,11,2025,quinnipiac
42960,5,5,2024-11-19,@,Navy,REG (Non-Conf),W,74,63,,23,53,.434,5,17,.294,18,36,.500,.481,23,30,.767,9,27,36,11,10,4,12,18,23,63,.365,8,29,.276,15,34,.441,.429,9,17,.529,15,20,35,14,4,4,11,22,2025,quinnipiac
42961,6,6,2024-11-23,@,UMass Lowell,REG (Non-Conf),L,70,80,,27,78,.346,6,23,.261,21,55,.382,.385,10,12,.833,23,15,38,10,9,2,10,19,29,57,.509,7,22,.318,22,35,.629,.570,15,19,.789,12,26,38,22,5,9,20,14,2025,quinnipiac
42962,7,7,2024-11-25,@,Saint Louis,REG (Non-Conf),L,67,81,,24,70,.343,7,30,.233,17,40,.425,.393,12,17,.706,10,35,45,6,7,4,15,22,25,60,.417,10,28,.357,15,32,.469,.500,21,29,.724,5,36,41,17,10,0,10,16,2025,quinnipiac
42963,8,8,2024-12-01,@,Stonehill,REG (Non-Conf),L,74,88,,27,62,.435,6,20,.300,21,42,.500,.484,14,17,.824,13,19,32,5,8,6,9,16,33,62,.532,13,24,.542,20,38,.526,.637,9,12,.750,8,21,29,21,6,5,10,16,2025,quinnipiac
42964,9,9,2024-12-06,@,Rider,REG (Conf),W,72,67,,27,57,.474,6,23,.261,21,34,.618,.526,12,18,.667,12,19,31,14,8,6,14,19,25,56,.446,3,14,.214,22,42,.524,.473,14,20,.700,9,16,25,10,7,1,10,14,2025,quinnipiac
42965,10,10,2024-12-08,,Sacred Heart,REG (Conf),W,83,73,,29,61,.475,11,34,.324,18,27,.667,.566,14,19,.737,6,20,26,24,15,5,7,18,25,55,.455,9,22,.409,16,33,.485,.536,14,18,.778,9,25,34,13,4,2,17,15,2025,quinnipiac
42966,11,11,2024-12-17,,Holy Cross,REG (Non-Conf),L,69,70,,29,58,.500,4,21,.190,25,37,.676,.534,7,13,.538,5,30,35,8,3,1,9,12,26,61,.426,14,29,.483,12,32,.375,.541,4,7,.571,3,23,26,18,4,3,6,12,2025,quinnipiac
42967,12,12,2024-12-21,@,Central Connecticut State,REG (Non-Conf),L,80,84,,28,64,.438,9,26,.346,19,38,.500,.508,15,19,.789,7,21,28,11,11,2,10,19,30,49,.612,8,18,.444,22,31,.710,.694,16,28,.571,5,27,32,19,5,3,14,15,2025,quinnipiac
42968,13,13,2024-12-29,,Hofstra,REG (Non-Conf),W,75,69,OT,22,75,.293,6,28,.214,16,47,.340,.333,25,34,.735,23,28,51,11,8,7,11,16,23,62,.371,6,16,.375,17,46,.370,.419,17,17,1.000,3,26,29,10,8,6,10,22,2025,quinnipiac
42969,14,14,2025-01-03,@,Saint Peter's,REG (Conf),W,59,46,,22,62,.355,6,23,.261,16,39,.410,.403,9,13,.692,15,26,41,13,11,7,10,15,17,54,.315,5,21,.238,12,33,.364,.361,7,10,.700,12,23,35,9,7,4,16,15,2025,quinnipiac
42970,15,15,2025-01-05,@,Marist,REG (Conf),L,62,69,,22,59,.373,9,23,.391,13,36,.361,.449,9,15,.600,8,28,36,7,11,5,15,19,25,58,.431,6,20,.300,19,38,.500,.483,13,19,.684,7,32,39,14,10,5,13,12,2025,quinnipiac
42971,16,16,2025-01-10,,Siena,REG (Conf),W,72,53,,28,59,.475,5,17,.294,23,42,.548,.517,11,13,.846,9,33,42,13,9,9,11,17,19,64,.297,7,24,.292,12,40,.300,.352,8,15,.533,7,18,25,9,7,6,10,12,2025,quinnipiac
42972,17,17,2025-01-12,@,Iona,REG (Conf),W,63,62,,22,64,.344,6,26,.231,16,38,.421,.391,13,16,.813,16,25,41,16,8,8,17,14,25,70,.357,6,24,.250,19,46,.413,.400,6,15,.400,15,24,39,19,11,7,9,11,2025,quinnipiac
42973,18,18,2025-01-16,,Merrimack,REG (Conf),W,81,76,,30,65,.462,7,22,.318,23,43,.535,.515,14,21,.667,15,30,45,17,3,7,13,13,28,63,.444,10,23,.435,18,40,.450,.524,10,17,.588,6,19,25,18,11,7,5,20,2025,quinnipiac
42974,19,19,2025-01-18,@,Mount St. Mary's,REG (Conf),W,91,57,,32,62,.516,14,31,.452,18,31,.581,.629,13,15,.867,11,25,36,16,10,5,8,14,21,60,.350,11,32,.344,10,28,.357,.442,4,7,.571,10,18,28,16,3,1,16,15,2025,quinnipiac
42975,20,20,2025-01-25,,Rider,REG (Conf),W,75,64,,28,59,.475,8,22,.364,20,37,.541,.542,11,19,.579,8,27,35,19,8,3,8,17,22,58,.379,4,12,.333,18,46,.391,.414,16,24,.667,11,25,36,14,7,7,9,14,2025,quinnipiac
42976,21,21,2025-01-31,,Fairfield,REG (Conf),W,81,69,,25,57,.439,10,29,.345,15,28,.536,.526,21,26,.808,7,34,41,16,1,2,11,17,23,65,.354,12,31,.387,11,34,.324,.446,11,18,.611,7,21,28,14,7,4,5,19,2025,quinnipiac
42977,22,22,2025-02-02,@,Siena,REG (Conf),L,75,84,,23,59,.390,3,16,.188,20,43,.465,.415,26,34,.765,13,28,41,12,9,4,19,24,27,64,.422,6,25,.240,21,39,.538,.469,24,31,.774,9,24,33,15,13,9,10,21,2025,quinnipiac
42978,23,23,2025-02-06,,Canisius,REG (Conf),W,89,71,,33,60,.550,8,22,.364,25,38,.658,.617,15,16,.938,10,22,32,23,13,4,15,12,26,51,.510,9,23,.391,17,28,.607,.598,10,12,.833,1,12,13,14,10,2,18,12,2025,quinnipiac
42979,24,24,2025-02-08,,Niagara,REG (Conf),L,75,76,,26,50,.520,6,11,.545,20,39,.513,.580,17,20,.850,3,23,26,15,6,4,12,16,26,54,.481,13,23,.565,13,31,.419,.602,11,14,.786,5,19,24,14,8,4,9,15,2025,quinnipiac
42980,25,25,2025-02-14,@,Sacred Heart,REG (Conf),W,99,90,,32,71,.451,10,25,.400,22,46,.478,.521,25,30,.833,16,33,49,21,9,4,17,18,30,68,.441,12,31,.387,18,37,.486,.529,18,24,.750,5,22,27,20,13,4,10,20,2025,quinnipiac
42981,26,26,2025-02-16,,Iona,REG (Conf),W,79,74,,32,60,.533,6,17,.353,26,43,.605,.583,9,12,.750,9,29,38,17,8,6,21,9,28,65,.431,11,28,.393,17,37,.459,.515,7,8,.875,5,17,22,15,14,4,13,15,2025,quinnipiac
42982,27,27,2025-02-23,@,Manhattan,REG (Conf),W,74,71,,27,63,.429,7,23,.304,20,40,.500,.484,13,17,.765,11,23,34,18,10,7,11,13,26,59,.441,12,24,.500,14,35,.400,.542,7,10,.700,7,24,31,16,8,2,13,12,2025,quinnipiac
42983,28,28,2025-02-28,,Saint Peter's,REG (Conf),W,69,64,,26,63,.413,4,20,.200,22,43,.512,.444,13,20,.650,11,24,35,10,8,7,13,17,21,56,.375,7,15,.467,14,41,.341,.438,15,20,.750,6,25,31,9,6,6,14,19,2025,quinnipiac
