,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42196,1,2024-11-04,@,Pitt,L,56,96,18,58,.310,5,19,.263,15,20,.750,9,29,7,4,3,14,21,,36,65,.554,8,23,.348,16,21,.762,10,40,18,11,8,8,18,2025,radford
42197,2,2024-11-08,,William & Mary,W,89,77,27,54,.500,11,29,.379,24,34,.706,12,39,14,3,5,11,26,,20,58,.345,9,30,.300,28,35,.800,12,30,11,6,1,11,26,2025,radford
42198,3,2024-11-12,,Old Dominion,W,87,75,31,61,.508,8,20,.400,17,30,.567,12,35,13,8,4,8,15,,24,59,.407,11,30,.367,16,20,.800,9,32,10,4,1,15,22,2025,radford
42199,4,2024-11-16,@,Evansville,W,92,81,35,55,.636,10,19,.526,12,19,.632,7,26,16,7,1,9,12,,27,54,.500,17,35,.486,10,14,.714,8,23,20,7,4,11,16,2025,radford
42200,5,2024-11-18,,Southern Virginia,W,96,50,32,77,.416,14,32,.438,18,22,.818,18,52,16,14,7,10,10,,20,57,.351,7,22,.318,3,7,.429,3,27,11,7,3,19,18,2025,radford
42201,6,2024-11-21,@,Clemson,L,51,79,17,55,.309,4,20,.200,13,19,.684,9,28,2,9,1,11,22,,25,49,.510,11,23,.478,18,22,.818,6,35,12,5,4,11,18,2025,radford
42202,7,2024-11-25,N,Chicago State,W,63,48,15,51,.294,5,19,.263,28,34,.824,21,52,10,6,7,18,19,,15,54,.278,5,14,.357,13,23,.565,10,28,8,11,3,10,25,2025,radford
42203,8,2024-11-26,N,Purdue Fort Wayne,W,69,56,29,59,.492,5,15,.333,6,7,.857,8,35,14,6,2,9,9,,20,54,.370,8,23,.348,8,10,.800,5,26,11,5,3,12,8,2025,radford
42204,9,2024-12-01,@,Saint Francis (PA),W,79,70,24,48,.500,11,26,.423,20,25,.800,5,29,14,3,5,8,11,,24,62,.387,11,29,.379,11,13,.846,7,28,18,6,1,5,16,2025,radford
42205,10,2024-12-05,@,North Carolina Central,W,70,67,21,55,.382,3,16,.188,25,33,.758,17,39,9,8,1,18,17,,24,54,.444,6,18,.333,13,20,.650,11,26,11,9,2,17,25,2025,radford
42206,11,2024-12-08,,Bucknell,W (1 OT),74,70,23,59,.390,5,18,.278,23,36,.639,15,47,13,6,0,13,27,,21,58,.362,7,30,.233,21,33,.636,11,34,9,6,2,10,30,2025,radford
42207,12,2024-12-14,@,Utah,L,63,81,23,56,.411,7,23,.304,10,12,.833,8,34,8,5,7,16,19,,28,60,.467,10,28,.357,15,21,.714,5,28,22,8,5,8,12,2025,radford
42208,13,2024-12-17,@,Colorado State,L,68,78,24,58,.414,6,18,.333,14,19,.737,8,23,9,5,0,7,20,,29,52,.558,6,21,.286,14,17,.824,8,34,21,3,6,9,19,2025,radford
42209,14,2024-12-20,,Virginia-Lynchburg,W,122,63,49,73,.671,13,28,.464,11,14,.786,12,43,29,10,7,8,6,,27,65,.415,5,18,.278,4,5,.800,4,15,2,4,1,12,8,2025,radford
42210,15,2024-12-22,@,South Carolina,L,48,74,19,55,.345,2,12,.167,8,13,.615,6,23,10,7,3,8,21,,20,51,.392,9,30,.300,25,27,.926,9,34,12,3,6,11,13,2025,radford
42211,16,2025-01-02,@,High Point,L,58,76,21,53,.396,6,16,.375,10,13,.769,13,30,8,4,3,13,15,,28,60,.467,13,31,.419,7,10,.700,13,32,15,10,4,8,13,2025,radford
42212,17,2025-01-04,,Winthrop,W,87,67,28,54,.519,10,22,.455,21,24,.875,11,39,12,4,6,15,24,,21,59,.356,3,17,.176,22,29,.759,11,25,3,9,2,8,22,2025,radford
42213,18,2025-01-11,@,USC Upstate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,radford
42214,19,2025-01-15,,Gardner-Webb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,radford
42215,20,2025-01-18,@,Charleston Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,radford
42216,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,radford
42217,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,radford
42218,21,2025-01-22,,Longwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,radford
42219,22,2025-01-25,@,Presbyterian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,radford
42220,23,2025-01-29,@,UNC Asheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,radford
42221,24,2025-02-01,,USC Upstate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,radford
42222,25,2025-02-05,,High Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,radford
42223,26,2025-02-08,@,Longwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,radford
42224,27,2025-02-12,@,Winthrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,radford
42225,28,2025-02-19,,UNC Asheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,radford
42226,29,2025-02-22,,Presbyterian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,radford
42227,30,2025-02-26,@,Gardner-Webb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,radford
42228,31,2025-03-01,,Charleston Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,radford
