,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42229,1,2024-11-04,,Fairfield,W,96,58,28,52,.538,6,11,.545,34,41,.829,6,44,14,1,4,11,24,,19,70,.271,4,29,.138,16,27,.593,15,34,12,4,7,10,32,2025,rhode-island
42230,2,2024-11-08,,Holy Cross,W,91,77,31,57,.544,6,21,.286,23,29,.793,4,29,19,8,3,7,16,,25,61,.410,12,34,.353,15,18,.833,10,32,13,5,2,13,21,2025,rhode-island
42231,3,2024-11-12,,Franklin Pierce,W,105,73,29,56,.518,11,23,.478,36,50,.720,15,50,19,9,6,16,18,,27,75,.360,12,28,.429,7,16,.438,9,23,10,13,3,13,32,2025,rhode-island
42232,4,2024-11-20,,Lafayette,W,86,72,29,56,.518,4,20,.200,24,40,.600,9,39,17,10,2,7,21,,22,60,.367,7,24,.292,21,27,.778,11,36,13,3,1,12,27,2025,rhode-island
42233,5,2024-11-24,,College of Charleston,W,91,53,34,61,.557,10,23,.435,13,20,.650,10,42,20,8,6,15,10,,23,67,.343,2,21,.095,5,8,.625,9,27,13,9,4,16,20,2025,rhode-island
42234,6,2024-11-27,N,Detroit Mercy,W,81,75,27,59,.458,13,25,.520,14,23,.609,10,30,18,1,2,11,10,,30,66,.455,2,9,.222,13,17,.765,9,34,13,9,5,8,22,2025,rhode-island
42235,7,2024-11-28,N,UT Arlington,W,83,78,30,54,.556,9,20,.450,14,23,.609,4,30,18,5,5,12,20,,28,71,.394,10,28,.357,12,16,.750,17,35,10,6,1,12,19,2025,rhode-island
42236,8,2024-12-02,,Yale,W,84,78,23,59,.390,11,33,.333,27,30,.900,11,39,15,6,7,12,18,,27,65,.415,4,18,.222,20,26,.769,7,34,12,7,4,8,22,2025,rhode-island
42237,9,2024-12-07,,Providence,W,69,63,26,61,.426,5,15,.333,12,19,.632,12,38,11,9,6,12,12,,25,57,.439,5,20,.250,8,15,.533,8,34,9,10,4,13,17,2025,rhode-island
42238,10,2024-12-10,@,Brown,L (2 OT),80,84,29,79,.367,6,24,.250,16,21,.762,21,49,7,7,7,20,18,,32,71,.451,7,24,.292,13,20,.650,7,34,20,15,11,12,17,2025,rhode-island
42239,11,2024-12-15,,Central Connecticut,W,77,69,26,60,.433,8,26,.308,17,28,.607,8,37,20,4,1,7,9,,26,58,.448,10,28,.357,7,9,.778,4,35,17,7,4,10,21,2025,rhode-island
42240,12,2024-12-21,N,Temple,W,85,79,29,56,.518,8,22,.364,19,22,.864,4,32,17,7,1,16,16,,29,64,.453,9,23,.391,12,16,.750,8,28,12,11,3,10,18,2025,rhode-island
42241,13,2024-12-31,@,Duquesne,L,55,67,17,46,.370,4,14,.286,17,26,.654,4,29,11,4,0,9,16,,24,57,.421,7,24,.292,12,23,.522,11,37,15,4,5,10,20,2025,rhode-island
42242,14,2025-01-04,,George Mason,W,62,59,19,57,.333,7,22,.318,17,20,.850,11,32,9,3,6,9,12,,24,53,.453,2,17,.118,9,18,.500,9,34,11,6,7,12,19,2025,rhode-island
42243,15,2025-01-08,,George Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,rhode-island
42244,16,2025-01-11,@,Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,rhode-island
42245,17,2025-01-15,@,Loyola (IL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,rhode-island
