,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42294,1,2024-11-06,,Mount Olive,W,101,68,33,59,.559,8,25,.320,27,38,.711,8,43,12,7,3,12,21,,23,71,.324,6,25,.240,16,23,.696,11,34,9,5,2,15,29,2025,richmond
42295,2,2024-11-09,,Marist,L,72,79,20,51,.392,8,22,.364,24,31,.774,8,33,9,6,5,10,18,,26,60,.433,14,28,.500,13,17,.765,10,35,12,2,2,10,21,2025,richmond
42296,3,2024-11-13,@,Charlotte,L,48,65,20,50,.400,3,21,.143,5,13,.385,1,29,10,5,3,10,22,,18,51,.353,5,24,.208,24,30,.800,7,36,12,8,1,7,13,2025,richmond
42297,4,2024-11-16,@,Bucknell,L (2 OT),76,80,27,75,.360,6,28,.214,16,20,.800,11,35,8,15,1,7,25,,24,52,.462,8,27,.296,24,33,.727,2,34,14,5,9,22,19,2025,richmond
42298,5,2024-11-20,,Maine,W,70,66,21,47,.447,8,20,.400,20,25,.800,6,39,13,4,0,14,17,,21,58,.362,6,30,.200,18,23,.783,7,29,7,9,1,6,20,2025,richmond
42299,6,2024-11-25,N,Florida Tech,W,67,57,23,55,.418,10,28,.357,11,20,.550,7,41,13,4,2,9,13,,21,61,.344,6,21,.286,9,11,.818,7,34,7,2,4,6,15,2025,richmond
42300,7,2024-11-26,N,Louisiana Tech,L,62,65,24,57,.421,6,29,.207,8,12,.667,6,30,10,7,2,7,13,,21,52,.404,9,25,.360,14,18,.778,4,31,13,6,2,10,14,2025,richmond
42301,8,2024-11-27,N,Ball State,W,73,60,20,48,.417,10,30,.333,23,29,.793,2,31,11,2,1,4,17,,22,54,.407,7,25,.280,9,20,.450,5,28,7,1,0,3,17,2025,richmond
42302,9,2024-12-08,@,Auburn,L,54,98,16,59,.271,6,30,.200,16,19,.842,7,25,8,7,3,14,17,,33,69,.478,13,30,.433,19,27,.704,14,46,23,10,5,7,14,2025,richmond
42303,10,2024-12-14,,Belmont,L,86,93,27,54,.500,9,23,.391,23,29,.793,4,28,13,8,1,13,18,,33,57,.579,13,27,.481,14,19,.737,4,29,16,4,2,14,20,2025,richmond
42304,11,2024-12-18,@,William & Mary,L,87,93,29,54,.537,9,21,.429,20,24,.833,6,24,12,3,1,8,22,,31,60,.517,13,31,.419,18,24,.750,10,30,19,5,2,6,20,2025,richmond
42305,12,2024-12-21,,VMI,W,78,71,25,57,.439,10,33,.303,18,22,.818,9,31,18,4,4,10,18,,25,59,.424,9,29,.310,12,15,.800,10,31,10,9,1,9,19,2025,richmond
42306,13,2024-12-28,,Florida Gulf Coast,L,57,75,16,53,.302,7,32,.219,18,19,.947,4,28,10,5,4,8,17,,27,59,.458,9,20,.450,12,21,.571,11,40,14,7,2,8,15,2025,richmond
42307,14,2024-12-31,,George Washington,W,66,61,20,57,.351,8,30,.267,18,20,.900,6,33,13,10,2,7,16,,18,54,.333,10,32,.313,15,19,.789,8,37,10,5,4,12,18,2025,richmond
42308,15,2025-01-04,@,UMass,W,72,64,22,61,.361,10,32,.313,18,20,.900,10,30,14,10,0,7,19,,20,48,.417,7,19,.368,17,21,.810,8,34,7,6,5,17,15,2025,richmond
42309,16,2025-01-08,@,George Mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,richmond
42310,17,2025-01-11,,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,richmond
42311,18,2025-01-15,@,St. Bonaventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,richmond
42312,19,2025-01-18,,Saint Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,richmond
42313,20,2025-01-25,,Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,richmond
