,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42327,1,2024-11-04,@,UCLA,L,50,85,20,63,.317,5,20,.250,5,13,.385,16,34,13,6,2,11,17,,34,65,.523,10,29,.345,7,12,.583,13,41,21,6,9,9,13,2025,rider
42328,2,2024-11-06,@,San Diego,W,68,67,22,56,.393,9,25,.360,15,22,.682,7,30,12,4,3,12,18,,25,63,.397,6,18,.333,11,17,.647,10,31,12,9,4,11,20,2025,rider
42329,3,2024-11-09,@,Coppin State,W,64,53,21,47,.447,2,14,.143,20,29,.690,6,40,10,6,4,14,12,,21,61,.344,5,23,.217,6,11,.545,7,27,12,7,2,10,20,2025,rider
42330,4,2024-11-12,@,Navy,W,90,79,27,51,.529,10,19,.526,26,32,.813,12,34,17,4,2,16,20,,26,60,.433,7,25,.280,20,25,.800,11,26,15,8,4,8,25,2025,rider
42331,5,2024-11-19,@,Iowa,L,58,83,23,54,.426,1,16,.063,11,13,.846,6,32,11,5,2,17,16,,30,64,.469,8,22,.364,15,21,.714,9,32,18,11,5,8,14,2025,rider
42332,6,2024-11-23,@,Bucknell,W,57,53,17,52,.327,5,16,.313,18,27,.667,15,39,12,6,2,11,20,,17,48,.354,7,28,.250,12,20,.600,7,26,11,5,6,10,18,2025,rider
42333,7,2024-11-27,@,Villanova,L,48,72,21,48,.438,4,17,.235,2,8,.250,10,30,9,3,3,16,10,,24,58,.414,15,38,.395,9,12,.750,9,27,12,10,1,8,7,2025,rider
42334,8,2024-11-30,,Delaware,L,66,72,29,69,.420,6,23,.261,2,3,.667,13,39,12,2,3,6,12,,27,58,.466,9,25,.360,9,13,.692,6,30,12,3,4,5,7,2025,rider
42335,9,2024-12-04,@,Fairfield,L,75,78,27,55,.491,5,14,.357,16,26,.615,11,28,11,7,4,10,13,,30,62,.484,9,18,.500,9,14,.643,14,31,17,4,2,13,20,2025,rider
42336,10,2024-12-06,,Quinnipiac,L,67,72,25,56,.446,3,14,.214,14,20,.700,9,25,10,7,1,10,14,,27,57,.474,6,23,.261,12,18,.667,12,31,14,8,6,14,19,2025,rider
