,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42360,1,2024-11-04,@,West Virginia,L,59,87,22,68,.324,6,24,.250,9,12,.750,15,40,8,6,1,13,12,,33,60,.550,14,34,.412,7,12,.583,6,34,16,10,8,11,14,2025,robert-morris
42361,2,2024-11-07,@,Delaware,L,77,81,27,69,.391,9,23,.391,14,22,.636,14,35,12,5,3,11,24,,25,53,.472,5,15,.333,26,32,.813,4,33,8,5,4,14,17,2025,robert-morris
42362,3,2024-11-10,,Chatham,W,79,51,28,56,.500,7,18,.389,16,20,.800,12,46,15,5,8,14,17,,21,70,.300,5,27,.185,4,10,.400,11,26,6,9,3,11,17,2025,robert-morris
42363,4,2024-11-14,,Stonehill,W,63,51,16,43,.372,2,10,.200,29,39,.744,8,42,9,5,9,15,17,,17,54,.315,8,25,.320,9,16,.563,5,25,12,7,2,11,26,2025,robert-morris
42364,5,2024-11-15,,Lindenwood,W,67,53,26,61,.426,10,28,.357,5,5,1.000,10,37,15,3,6,10,12,,19,54,.352,4,15,.267,11,18,.611,8,28,10,5,2,10,12,2025,robert-morris
42365,6,2024-11-17,,New Orleans,W,73,62,22,52,.423,9,28,.321,20,28,.714,11,39,14,5,3,17,21,,20,50,.400,3,13,.231,19,26,.731,2,25,10,10,2,12,22,2025,robert-morris
42366,7,2024-11-21,@,Cornell,W,86,76,29,65,.446,5,20,.250,23,31,.742,14,36,15,9,3,11,13,,27,58,.466,9,28,.321,13,15,.867,4,24,17,8,2,13,22,2025,robert-morris
42367,8,2024-11-27,,Canisius,W,72,64,23,56,.411,7,23,.304,19,23,.826,12,40,13,3,4,13,15,,26,62,.419,7,26,.269,5,7,.714,5,23,11,7,3,9,21,2025,robert-morris
42368,9,2024-11-30,@,Ohio,L,68,84,22,54,.407,7,19,.368,17,20,.850,6,23,12,6,0,13,16,,29,56,.518,7,16,.438,19,22,.864,7,32,12,9,3,12,17,2025,robert-morris
42369,10,2024-12-04,,Youngstown State,L,58,72,20,58,.345,3,22,.136,15,22,.682,12,34,12,7,6,16,15,,28,61,.459,6,23,.261,10,13,.769,6,33,11,8,9,13,23,2025,robert-morris
42370,11,2024-12-08,@,Purdue Fort Wayne,L,77,82,29,72,.403,7,25,.280,12,15,.800,12,37,16,9,2,14,23,,26,56,.464,4,16,.250,26,30,.867,4,28,12,8,1,13,16,2025,robert-morris
42371,12,2024-12-17,,Towson,W,68,67,23,47,.489,7,18,.389,15,21,.714,7,20,8,8,5,13,11,,25,46,.543,5,11,.455,12,15,.800,6,21,13,7,3,15,19,2025,robert-morris
42372,13,2024-12-21,,Saint Francis (PA),W,90,77,31,58,.534,6,20,.300,22,32,.688,10,31,20,10,6,13,18,,27,53,.509,12,21,.571,11,15,.733,4,22,15,9,4,19,25,2025,robert-morris
42373,14,2024-12-29,,Northern Kentucky,W (3 OT),97,93,35,91,.385,7,33,.212,20,32,.625,19,47,23,11,8,12,23,,33,81,.407,8,22,.364,19,30,.633,16,53,16,7,5,21,25,2025,robert-morris
42374,15,2025-01-02,@,Detroit Mercy,L (1 OT),76,78,24,66,.364,4,23,.174,24,30,.800,13,36,14,4,4,10,18,,31,67,.463,3,12,.250,13,15,.867,10,32,10,5,4,10,21,2025,robert-morris
42375,16,2025-01-04,@,Oakland,W,79,71,25,55,.455,7,15,.467,22,26,.846,14,36,12,7,5,10,17,,27,69,.391,8,33,.242,9,13,.692,20,37,12,6,4,9,18,2025,robert-morris
42376,17,2025-01-08,,Cleveland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,robert-morris
