,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42393,1,2024-11-06,,Wagner,W,75,52,28,55,.509,7,23,.304,12,21,.571,2,35,17,7,4,9,14,,22,63,.349,5,16,.313,3,11,.273,10,38,11,2,2,11,21,2025,rutgers
42394,2,2024-11-11,,St. Peter's,W,75,65,27,56,.482,3,16,.188,18,25,.720,9,38,15,5,5,6,11,,24,60,.400,10,27,.370,7,15,.467,7,30,13,2,1,9,23,2025,rutgers
42395,3,2024-11-15,,Monmouth,W,98,81,31,52,.596,11,20,.550,25,32,.781,6,32,21,8,5,11,14,,29,71,.408,13,29,.448,10,11,.909,11,25,13,8,1,9,22,2025,rutgers
42396,4,2024-11-20,,Merrimack,W,74,63,25,60,.417,7,17,.412,17,23,.739,15,44,14,6,4,10,8,,26,64,.406,4,24,.167,7,7,1.000,5,26,12,5,1,8,20,2025,rutgers
42397,5,2024-11-24,@,Kennesaw State,L,77,79,26,66,.394,8,25,.320,17,23,.739,7,24,15,14,3,9,19,,28,60,.467,8,27,.296,15,24,.625,11,41,14,6,7,21,21,2025,rutgers
42398,6,2024-11-26,N,Notre Dame,W (1 OT),85,84,29,65,.446,8,24,.333,19,28,.679,11,34,9,9,3,9,16,,29,66,.439,14,33,.424,12,15,.800,10,35,12,2,1,13,24,2025,rutgers
42399,7,2024-11-27,N,Alabama,L,90,95,29,65,.446,2,13,.154,30,35,.857,7,25,8,8,1,9,26,,30,58,.517,10,25,.400,25,36,.694,13,35,16,6,3,19,29,2025,rutgers
42400,8,2024-11-30,N,Texas A&M,L,77,81,28,68,.412,6,26,.231,15,17,.882,11,35,15,7,1,16,29,,24,56,.429,2,15,.133,31,42,.738,8,29,9,5,6,12,19,2025,rutgers
42401,9,2024-12-07,@,Ohio State,L,66,80,24,57,.421,7,19,.368,11,12,.917,8,23,10,4,1,14,15,,32,58,.552,6,18,.333,10,13,.769,8,29,14,4,4,10,15,2025,rutgers
42402,10,2024-12-10,,Penn State,W,80,76,29,60,.483,8,22,.364,14,25,.560,11,42,17,2,7,14,14,,30,68,.441,9,23,.391,7,9,.778,3,29,15,9,3,6,22,2025,rutgers
