,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42459,1,2024-11-04,@,Temple,L,70,81,29,68,.426,5,20,.250,7,11,.636,11,35,11,10,3,16,20,,27,55,.491,11,23,.478,16,23,.696,6,32,14,10,5,16,12,2025,sacred-heart
42460,2,2024-11-06,@,UConn,L,56,92,19,56,.339,6,15,.400,12,18,.667,3,19,8,6,2,14,20,,32,62,.516,13,31,.419,15,23,.652,12,42,25,10,13,12,13,2025,sacred-heart
42461,3,2024-11-09,@,Dartmouth,L,76,81,27,63,.429,12,26,.462,10,12,.833,4,29,15,7,2,12,28,,23,58,.397,8,29,.276,27,39,.692,12,43,18,5,2,13,19,2025,sacred-heart
42462,4,2024-11-15,N,Holy Cross,L,75,82,25,56,.446,10,25,.400,15,22,.682,10,29,14,5,2,7,22,,27,53,.509,10,25,.400,18,24,.750,8,29,12,1,1,7,17,2025,sacred-heart
42463,5,2024-11-16,N,New Hampshire,W,80,63,28,60,.467,9,26,.346,15,24,.625,14,41,18,7,5,10,17,,22,48,.458,11,27,.407,8,14,.571,2,17,16,4,4,13,17,2025,sacred-heart
42464,6,2024-11-17,@,Brown,L,70,89,26,59,.441,10,24,.417,8,11,.727,5,23,13,6,0,8,17,,31,55,.564,15,32,.469,12,18,.667,6,35,27,5,5,9,14,2025,sacred-heart
42465,7,2024-11-21,,Central Connecticut,W,67,54,27,63,.429,9,29,.310,4,5,.800,10,35,14,9,3,12,15,,19,57,.333,4,24,.167,12,14,.857,11,35,6,11,7,14,6,2025,sacred-heart
42466,8,2024-12-01,@,Boston University,W,73,65,23,55,.418,13,28,.464,14,16,.875,5,29,16,7,5,12,17,,20,57,.351,9,29,.310,16,17,.941,4,28,15,7,3,13,14,2025,sacred-heart
42467,9,2024-12-06,,Iona,W,83,59,28,57,.491,10,24,.417,17,21,.810,8,34,18,7,1,16,15,,22,60,.367,3,14,.214,12,16,.750,10,30,14,8,2,15,17,2025,sacred-heart
42468,10,2024-12-08,@,Quinnipiac,L,73,83,25,55,.455,9,22,.409,14,18,.778,9,34,13,4,2,17,15,,29,61,.475,11,34,.324,14,19,.737,6,26,24,15,5,7,18,2025,sacred-heart
