,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42524,1,2024-11-04,,Navy,W,70,63,20,46,.435,8,22,.364,22,29,.759,3,32,9,6,11,17,16,,24,67,.358,6,22,.273,9,11,.818,10,34,10,9,3,13,26,2025,saint-josephs
42525,2,2024-11-08,,Central Connecticut,L,67,73,25,58,.431,7,30,.233,10,17,.588,8,32,17,9,0,13,11,,28,57,.491,8,24,.333,9,14,.643,4,31,16,8,3,11,15,2025,saint-josephs
42526,3,2024-11-12,,Villanova,W,83,76,26,60,.433,9,27,.333,22,25,.880,7,28,20,6,8,10,15,,27,66,.409,8,23,.348,14,16,.875,12,38,9,6,1,13,18,2025,saint-josephs
42527,4,2024-11-15,@,Penn,W,86,69,32,69,.464,10,26,.385,12,14,.857,18,39,12,10,4,9,10,,27,57,.474,8,23,.348,7,9,.778,6,22,16,3,1,12,13,2025,saint-josephs
42528,5,2024-11-21,N,Texas Tech,W,78,77,23,50,.460,12,22,.545,20,29,.690,4,25,17,8,2,13,14,,28,66,.424,4,20,.200,17,20,.850,16,41,14,5,3,11,21,2025,saint-josephs
42529,6,2024-11-22,N,Texas,L,58,67,21,66,.318,7,23,.304,9,17,.529,17,41,16,6,2,12,14,,24,55,.436,7,18,.389,12,17,.706,7,31,12,6,7,11,13,2025,saint-josephs
42530,7,2024-11-26,,Coppin State,W,83,54,31,62,.500,11,36,.306,10,13,.769,11,38,19,8,12,11,15,,20,58,.345,4,15,.267,10,16,.625,9,27,10,3,1,12,13,2025,saint-josephs
42531,8,2024-12-03,,Princeton,L,69,77,24,64,.375,9,32,.281,12,14,.857,7,34,12,5,5,8,13,,27,59,.458,11,25,.440,12,16,.750,5,34,17,7,2,10,14,2025,saint-josephs
42532,9,2024-12-07,N,La Salle,W,82,68,32,60,.533,6,19,.316,12,16,.750,4,28,22,8,2,9,16,,22,60,.367,6,24,.250,18,21,.857,11,33,9,6,3,11,14,2025,saint-josephs
42533,10,2024-12-10,,College of Charleston,L,75,78,30,66,.455,10,30,.333,5,10,.500,10,37,22,7,7,15,14,,28,62,.452,9,24,.375,13,13,1.000,3,30,19,11,0,12,12,2025,saint-josephs
42534,11,2024-12-18,,American,W,84,57,29,48,.604,8,16,.500,18,21,.857,5,30,15,9,5,15,13,,20,56,.357,7,24,.292,10,15,.667,11,22,11,10,2,12,16,2025,saint-josephs
42535,12,2024-12-21,N,Virginia Tech,W,82,62,27,58,.466,15,32,.469,13,14,.929,6,27,19,9,8,9,14,,22,54,.407,7,22,.318,11,13,.846,4,26,15,6,2,12,15,2025,saint-josephs
42536,13,2024-12-28,,Delaware State,W,76,58,27,54,.500,8,31,.258,14,18,.778,7,38,21,7,9,16,14,,21,60,.350,0,8,.000,16,21,.762,8,29,10,10,0,12,15,2025,saint-josephs
42537,14,2024-12-31,,UMass,W,81,72,26,57,.456,11,31,.355,18,23,.783,13,45,18,2,7,17,18,,24,73,.329,3,16,.188,21,26,.808,13,29,15,12,5,4,17,2025,saint-josephs
42538,15,2025-01-03,@,Saint Louis,L,57,73,21,64,.328,4,26,.154,11,15,.733,11,32,5,6,3,6,17,,27,55,.491,9,28,.321,10,14,.714,6,37,21,4,4,9,13,2025,saint-josephs
