,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42557,1,2024-11-04,N,Santa Clara,L,78,85,29,61,.475,12,34,.353,8,10,.800,8,33,13,4,3,17,19,,28,66,.424,12,35,.343,17,20,.850,13,32,11,8,3,12,14,2025,saint-louis
42558,2,2024-11-10,,Avila,W,95,44,34,71,.479,14,41,.341,13,15,.867,14,43,20,13,8,9,18,,16,48,.333,0,11,.000,12,21,.571,7,30,6,4,2,19,13,2025,saint-louis
42559,3,2024-11-16,,Loyola Marymount,W,77,71,27,61,.443,11,29,.379,12,19,.632,8,33,13,3,1,10,16,,23,62,.371,10,29,.345,15,19,.789,12,39,8,6,6,11,17,2025,saint-louis
42560,4,2024-11-22,N,Wichita State,L,63,88,23,58,.397,6,30,.200,11,21,.524,6,33,16,4,1,14,21,,31,68,.456,5,22,.227,21,25,.840,7,41,12,10,1,7,18,2025,saint-louis
42561,5,2024-11-25,,Quinnipiac,W,81,67,25,60,.417,10,28,.357,21,29,.724,5,41,17,10,0,10,16,,24,70,.343,7,30,.233,12,17,.706,10,45,6,7,4,15,22,2025,saint-louis
42562,6,2024-11-27,,UMass-Lowell,W,93,90,34,56,.607,11,19,.579,14,18,.778,6,26,17,6,3,10,12,,36,61,.590,12,19,.632,6,8,.750,5,22,14,6,3,7,14,2025,saint-louis
42563,7,2024-12-02,,Jackson State,W,74,66,28,53,.528,10,25,.400,8,22,.364,11,39,19,6,3,14,6,,26,67,.388,10,24,.417,4,5,.800,8,27,11,10,5,9,17,2025,saint-louis
42564,8,2024-12-05,@,San Francisco,L,61,78,26,58,.448,4,24,.167,5,9,.556,6,26,10,8,1,17,13,,30,59,.508,11,24,.458,7,11,.636,9,33,15,9,3,14,17,2025,saint-louis
42565,9,2024-12-08,,Chicago State,W,85,62,29,60,.483,12,29,.414,15,20,.750,12,42,19,6,2,11,13,,22,62,.355,8,24,.333,10,15,.667,11,30,11,5,5,11,18,2025,saint-louis
42566,10,2024-12-15,@,Illinois State,L,77,81,26,54,.481,12,31,.387,13,14,.929,8,28,14,5,3,10,23,,29,55,.527,8,17,.471,15,21,.714,9,27,13,4,4,8,12,2025,saint-louis
42567,11,2024-12-18,,Wofford,L,71,74,21,45,.467,9,24,.375,20,35,.571,4,28,16,2,2,7,16,,29,58,.500,6,21,.286,10,17,.588,7,34,15,3,2,4,20,2025,saint-louis
42568,12,2024-12-22,@,Grand Canyon,L,72,73,25,57,.439,12,32,.375,10,17,.588,5,29,16,7,0,7,19,,27,65,.415,8,23,.348,11,19,.579,10,38,15,3,6,9,15,2025,saint-louis
