,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42590,1,2024-11-04,,Towson,W,76,69,25,54,.463,4,16,.250,22,29,.759,12,37,11,4,1,9,19,,27,64,.422,4,13,.308,11,19,.579,11,27,13,2,3,7,25,2025,saint-marys-ca
42591,2,2024-11-07,,Chattanooga,W,86,74,27,52,.519,8,22,.364,24,32,.750,8,29,17,5,4,9,18,,27,53,.509,8,20,.400,12,17,.706,2,20,19,4,0,9,22,2025,saint-marys-ca
42592,3,2024-11-12,,Akron,W,87,68,35,70,.500,5,19,.263,12,18,.667,18,53,23,8,4,11,11,,24,65,.369,13,28,.464,7,8,.875,7,25,18,9,3,10,17,2025,saint-marys-ca
42593,4,2024-11-17,N,Nebraska,W,77,74,26,61,.426,11,23,.478,14,25,.560,14,27,14,12,3,9,21,,22,49,.449,5,17,.294,25,29,.862,11,31,8,6,6,15,19,2025,saint-marys-ca
42594,5,2024-11-20,,Cal State Stanislaus,W,78,38,31,63,.492,6,25,.240,10,15,.667,13,51,18,7,4,13,10,,16,59,.271,3,17,.176,3,7,.429,5,26,10,5,2,14,13,2025,saint-marys-ca
42595,6,2024-11-23,,Cal Poly,W,80,66,32,69,.464,8,27,.296,8,16,.500,20,44,21,12,3,14,13,,23,58,.397,8,25,.320,12,13,.923,9,27,13,11,2,17,16,2025,saint-marys-ca
42596,7,2024-11-28,N,USC,W,71,36,30,59,.508,3,14,.214,8,12,.667,9,42,13,6,4,10,14,,13,50,.260,0,12,.000,10,12,.833,4,20,6,4,3,10,13,2025,saint-marys-ca
42597,8,2024-11-29,N,Arizona State,L,64,68,25,60,.417,8,17,.471,6,12,.500,11,38,10,6,7,13,16,,28,61,.459,5,18,.278,7,12,.583,6,29,11,8,5,10,12,2025,saint-marys-ca
42598,9,2024-12-03,,UTSA,W (1 OT),82,74,24,59,.407,3,21,.143,31,43,.721,17,40,20,10,6,13,18,,25,70,.357,9,28,.321,15,19,.789,18,42,10,9,5,17,28,2025,saint-marys-ca
42599,10,2024-12-07,@,Utah,W,72,63,25,57,.439,8,21,.381,14,23,.609,8,37,13,5,4,12,18,,24,64,.375,5,18,.278,10,17,.588,14,39,14,6,2,10,18,2025,saint-marys-ca
42600,11,2024-12-14,N,Boise State,L (1 OT),65,67,23,61,.377,6,18,.333,13,16,.813,9,27,10,4,7,7,21,,21,51,.412,4,14,.286,21,27,.778,9,34,6,5,6,11,17,2025,saint-marys-ca
42601,12,2024-12-19,,Merrimack,W,73,68,26,57,.456,5,12,.417,16,19,.842,14,36,19,6,3,11,11,,25,50,.500,12,21,.571,6,6,1.000,3,17,17,6,1,10,18,2025,saint-marys-ca
42602,13,2024-12-22,,Utah State,L,68,75,24,54,.444,10,25,.400,10,19,.526,9,25,20,9,0,12,15,,30,51,.588,6,17,.353,9,11,.818,4,29,23,5,1,13,15,2025,saint-marys-ca
42603,14,2024-12-28,,Pacific,W,70,60,26,68,.382,7,23,.304,11,20,.550,20,46,23,3,5,6,16,,23,56,.411,3,12,.250,11,15,.733,7,30,14,5,3,8,18,2025,saint-marys-ca
42604,15,2025-01-02,,Pepperdine,W,71,41,28,68,.412,6,29,.207,9,11,.818,17,47,19,7,5,8,13,,17,54,.315,2,16,.125,5,11,.455,7,28,12,6,2,12,11,2025,saint-marys-ca
42605,16,2025-01-04,@,Portland,W,81,58,30,68,.441,8,21,.381,13,19,.684,17,40,20,10,5,7,20,,20,54,.370,7,20,.350,11,14,.786,9,28,14,3,1,18,20,2025,saint-marys-ca
42606,17,2025-01-07,,Loyola Marymount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,saint-marys-ca
42607,18,2025-01-11,@,San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,saint-marys-ca
42608,19,2025-01-18,@,Pepperdine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,saint-marys-ca
42609,20,2025-01-23,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,saint-marys-ca
42610,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,saint-marys-ca
42611,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,saint-marys-ca
42612,21,2025-01-25,@,Washington State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,saint-marys-ca
42613,22,2025-01-29,@,Santa Clara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,saint-marys-ca
42614,23,2025-02-01,,Gonzaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,saint-marys-ca
42615,24,2025-02-06,@,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,saint-marys-ca
42616,25,2025-02-08,@,Oregon State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,saint-marys-ca
42617,26,2025-02-11,,Santa Clara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,saint-marys-ca
42618,27,2025-02-15,,Washington State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,saint-marys-ca
42619,28,2025-02-19,,Portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,saint-marys-ca
42620,29,2025-02-22,@,Gonzaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,saint-marys-ca
42621,30,2025-02-27,@,Loyola Marymount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,saint-marys-ca
42622,31,2025-03-01,,Oregon State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,saint-marys-ca
