,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43452,1.0,1.0,2024-11-04,@,Seton Hall,REG (Non-Conf),L,53,57,,15,42,0.357,7,20,0.35,8,22,0.364,0.44,16,25,0.64,7,24,31,7,9,3,17,30,14,44,0.318,5,16,0.313,9,28,0.321,0.375,24,37,0.649,10,17,27,10,10,4,14,23,2025,saint-peters
43453,2.0,2.0,2024-11-08,@,UMass Lowell,REG (Non-Conf),L,74,81,,25,58,0.431,9,26,0.346,16,32,0.5,0.509,15,20,0.75,13,22,35,13,5,5,14,28,24,54,0.444,6,16,0.375,18,38,0.474,0.5,27,32,0.844,6,17,23,13,7,2,8,18,2025,saint-peters
43454,3.0,3.0,2024-11-11,@,Rutgers,REG (Non-Conf),L,65,75,,24,60,0.4,10,27,0.37,14,33,0.424,0.483,7,15,0.467,7,23,30,13,2,1,9,23,27,56,0.482,3,16,0.188,24,40,0.6,0.509,18,25,0.72,9,29,38,15,5,5,6,11,2025,saint-peters
43455,4.0,4.0,2024-11-16,@,UMBC,REG (Non-Conf),W,69,61,,24,58,0.414,12,29,0.414,12,29,0.414,0.517,9,11,0.818,11,26,37,10,3,3,12,22,21,55,0.382,4,21,0.19,17,34,0.5,0.418,15,22,0.682,12,17,29,6,2,3,9,13,2025,saint-peters
43456,5.0,5.0,2024-11-20,,,REG (Non-Conf),W,116,51,,44,73,0.603,12,23,0.522,32,50,0.64,0.685,16,20,0.8,18,28,46,26,21,5,17,19,19,55,0.345,4,22,0.182,15,33,0.455,0.382,9,15,0.6,7,12,19,6,8,0,26,20,2025,saint-peters
43457,6.0,6.0,2024-11-26,@,FDU,REG (Non-Conf),W,78,76,,27,53,0.509,7,18,0.389,20,35,0.571,0.575,17,22,0.773,8,17,25,8,4,6,12,21,26,56,0.464,7,18,0.389,19,38,0.5,0.527,17,23,0.739,11,18,29,12,6,7,12,21,2025,saint-peters
43458,7.0,7.0,2024-12-03,@,Duquesne,REG (Non-Conf),W,62,59,,20,59,0.339,7,22,0.318,13,37,0.351,0.398,15,19,0.789,15,24,39,9,6,5,8,22,19,52,0.365,7,19,0.368,12,33,0.364,0.433,14,22,0.636,12,21,33,10,2,3,9,15,2025,saint-peters
43459,8.0,8.0,2024-12-06,,Manhattan,REG (Conf),L,67,70,,23,67,0.343,9,24,0.375,14,43,0.326,0.41,12,20,0.6,13,25,38,9,8,4,8,19,25,62,0.403,5,26,0.192,20,36,0.556,0.444,15,21,0.714,11,27,38,12,4,7,8,14,2025,saint-peters
43460,9.0,9.0,2024-12-08,@,Iona,REG (Conf),L,63,72,,19,51,0.373,5,22,0.227,14,29,0.483,0.422,20,33,0.606,12,15,27,10,5,4,15,24,21,50,0.42,6,18,0.333,15,32,0.469,0.48,24,35,0.686,18,19,37,10,8,6,19,22,2025,saint-peters
43461,10.0,10.0,2024-12-20,,Delaware,REG (Non-Conf),W,72,64,,25,55,0.455,8,18,0.444,17,37,0.459,0.527,14,16,0.875,10,23,33,18,7,2,9,19,20,47,0.426,6,21,0.286,14,26,0.538,0.489,18,25,0.72,6,14,20,9,4,2,9,14,2025,saint-peters
43462,11.0,11.0,2025-01-03,,Quinnipiac,REG (Conf),L,46,59,,17,54,0.315,5,21,0.238,12,33,0.364,0.361,7,10,0.7,12,23,35,9,7,4,16,15,22,62,0.355,6,23,0.261,16,39,0.41,0.403,9,13,0.692,15,26,41,13,11,7,10,15,2025,saint-peters
