,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43517,1,1,2024-11-06,,Rider,REG (Non-Conf),L,67,68,,25,63,.397,6,18,.333,19,45,.422,.444,11,17,.647,10,21,31,12,9,4,11,20,22,56,.393,9,25,.360,13,31,.419,.473,15,22,.682,7,23,30,12,4,3,12,18,2025,san-diego
43518,2,2,2024-11-08,,Boston University,REG (Non-Conf),W,74,60,,28,59,.475,10,28,.357,18,31,.581,.559,8,12,.667,12,25,37,15,5,6,9,17,21,61,.344,9,33,.273,12,28,.429,.418,9,15,.600,11,20,31,9,5,0,8,14,2025,san-diego
43519,3,3,2024-11-12,,Portland State,REG (Non-Conf),L,76,85,,25,60,.417,2,13,.154,23,47,.489,.433,24,34,.706,8,22,30,12,10,7,20,22,31,60,.517,8,17,.471,23,43,.535,.583,15,25,.600,7,28,35,12,10,5,23,29,2025,san-diego
43520,4,4,2024-11-16,,Idaho State,REG (Non-Conf),L,66,78,,22,60,.367,5,26,.192,17,34,.500,.408,17,19,.895,8,21,29,13,9,5,15,18,26,59,.441,7,22,.318,19,37,.514,.500,19,25,.760,10,25,35,18,8,6,15,18,2025,san-diego
43521,5,5,2024-11-22,,Southern Utah,REG (Non-Conf),L,67,72,,25,63,.397,5,17,.294,20,46,.435,.437,12,23,.522,12,25,37,12,8,3,13,17,26,63,.413,9,26,.346,17,37,.459,.484,11,16,.688,11,29,40,17,7,4,13,18,2025,san-diego
43522,6,6,2024-11-24,,Idaho,REG (Non-Conf),W,68,61,,25,55,.455,6,21,.286,19,34,.559,.509,12,17,.706,8,23,31,16,8,7,14,18,22,59,.373,6,25,.240,16,34,.471,.424,11,19,.579,12,24,36,8,5,5,21,21,2025,san-diego
43523,7,7,2024-11-27,,,REG (Non-Conf),W,69,64,,27,52,.519,2,15,.133,25,37,.676,.538,13,17,.765,9,20,29,13,10,5,16,16,22,50,.440,5,13,.385,17,37,.459,.490,15,18,.833,6,13,19,10,11,2,13,21,2025,san-diego
43524,8,8,2024-12-03,@,Arizona State,REG (Non-Conf),L,53,90,,21,63,.333,2,19,.105,19,44,.432,.349,9,13,.692,7,25,32,6,9,6,12,24,28,57,.491,12,23,.522,16,34,.471,.596,22,35,.629,10,34,44,17,5,10,13,13,2025,san-diego
43525,9,9,2024-12-07,@,San Diego State,REG (Non-Conf),L,57,74,,17,55,.309,6,32,.188,11,23,.478,.364,17,23,.739,7,26,33,10,4,2,15,17,29,66,.439,5,17,.294,24,49,.490,.477,11,15,.733,10,28,38,13,6,2,10,16,2025,san-diego
43526,10,10,2024-12-10,,Long Beach State,REG (Non-Conf),L,70,76,,25,58,.431,11,25,.440,14,33,.424,.526,9,11,.818,11,13,24,14,8,5,10,21,25,43,.581,7,13,.538,18,30,.600,.663,19,25,.760,3,22,25,16,3,3,11,14,2025,san-diego
43527,11,11,2024-12-14,@,Fresno State,REG (Non-Conf),L,65,73,,27,66,.409,5,21,.238,22,45,.489,.447,6,10,.600,15,23,38,10,6,2,17,23,26,61,.426,3,17,.176,23,44,.523,.451,18,25,.720,13,24,37,9,10,6,12,14,2025,san-diego
43528,12,12,2024-12-21,,UC San Diego,REG (Non-Conf),L,71,77,,27,53,.509,10,25,.400,17,28,.607,.604,7,10,.700,7,26,33,10,5,4,23,22,24,52,.462,8,20,.400,16,32,.500,.538,21,27,.778,6,17,23,12,20,0,12,14,2025,san-diego
43529,13,13,2024-12-28,N,Grand Canyon,REG (Non-Conf),L,55,68,,22,70,.314,4,25,.160,18,45,.400,.343,7,11,.636,12,28,40,6,6,4,14,26,15,54,.278,2,12,.167,13,42,.310,.296,36,42,.857,10,30,40,8,9,5,13,14,2025,san-diego
43530,14,14,2024-12-30,,Pacific,REG (Conf),W,75,65,,26,54,.481,9,20,.450,17,34,.500,.565,14,19,.737,5,27,32,20,11,2,10,22,23,55,.418,5,22,.227,18,33,.545,.464,14,23,.609,10,23,33,8,7,2,14,17,2025,san-diego
43531,15,15,2025-01-02,,Santa Clara,REG (Conf),L,80,81,,31,69,.449,5,22,.227,26,47,.553,.486,13,17,.765,9,22,31,13,7,3,5,18,26,58,.448,12,36,.333,14,22,.636,.552,17,23,.739,10,28,38,17,1,3,11,13,2025,san-diego
43532,16,16,2025-01-04,@,Oregon State,REG (Conf),L,54,81,,17,58,.293,6,25,.240,11,33,.333,.345,14,18,.778,11,14,25,4,8,2,12,21,26,45,.578,8,16,.500,18,29,.621,.667,21,30,.700,6,27,33,16,6,2,12,17,2025,san-diego
43533,17,17,2025-01-08,@,Gonzaga,REG (Conf),L,80,93,,28,67,.418,11,33,.333,17,34,.500,.500,13,16,.813,8,21,29,7,7,5,9,24,28,62,.452,10,31,.323,18,31,.581,.532,27,33,.818,11,32,43,19,4,2,11,15,2025,san-diego
43534,18,18,2025-01-11,,St. Mary's (CA),REG (Conf),L,56,103,,24,54,.444,5,15,.333,19,39,.487,.491,3,3,1.000,7,11,18,9,5,4,13,15,37,70,.529,15,29,.517,22,41,.537,.636,14,16,.875,17,19,36,26,8,6,6,10,2025,san-diego
43535,19,19,2025-01-16,,Washington State,REG (Conf),L,61,65,,22,61,.361,6,21,.286,16,40,.400,.410,11,18,.611,14,20,34,8,9,1,15,27,19,45,.422,7,23,.304,12,22,.545,.500,20,26,.769,8,21,29,13,4,3,17,19,2025,san-diego
43536,20,20,2025-01-18,@,Loyola Marymount,REG (Conf),L,70,77,,27,59,.458,6,19,.316,21,40,.525,.508,10,12,.833,11,23,34,10,4,1,12,23,24,54,.444,6,24,.250,18,30,.600,.500,23,29,.793,6,21,27,12,5,1,7,17,2025,san-diego
43537,21,21,2025-01-23,@,Portland,REG (Conf),L,82,92,,27,68,.397,9,18,.500,18,50,.360,.463,19,23,.826,16,20,36,11,9,3,10,22,24,53,.453,13,28,.464,11,25,.440,.575,31,37,.838,10,24,34,21,8,3,14,18,2025,san-diego
43538,22,22,2025-01-25,@,San Francisco,REG (Conf),L,69,81,,22,60,.367,4,19,.211,18,41,.439,.400,21,28,.750,10,22,32,10,5,1,13,25,26,55,.473,8,24,.333,18,31,.581,.545,21,31,.677,14,22,36,14,8,4,11,23,2025,san-diego
43539,23,23,2025-01-30,,Pepperdine,REG (Conf),L,90,98,,28,61,.459,10,31,.323,18,30,.600,.541,24,28,.857,3,23,26,17,8,3,11,30,29,59,.492,10,23,.435,19,36,.528,.576,30,39,.769,5,30,35,17,5,2,12,23,2025,san-diego
43540,24,24,2025-02-01,,Loyola Marymount,REG (Conf),L,62,78,,19,69,.275,2,18,.111,17,51,.333,.290,22,25,.880,14,28,42,5,7,5,12,23,24,55,.436,7,16,.438,17,39,.436,.500,23,35,.657,7,34,41,12,11,7,9,19,2025,san-diego
43541,25,25,2025-02-06,@,Pacific,REG (Conf),L,69,71,,20,45,.444,6,16,.375,14,29,.483,.511,23,28,.821,7,18,25,11,6,1,12,19,25,50,.500,6,19,.316,19,31,.613,.560,15,19,.789,5,16,21,12,6,2,12,20,2025,san-diego
43542,26,26,2025-02-08,@,Santa Clara,REG (Conf),L,70,93,,20,61,.328,7,24,.292,13,37,.351,.385,23,30,.767,13,18,31,12,6,2,12,22,32,55,.582,11,21,.524,21,34,.618,.682,18,27,.667,7,28,35,21,7,5,11,22,2025,san-diego
43543,27,27,2025-02-13,@,Pepperdine,REG (Conf),L,81,88,,31,70,.443,4,18,.222,27,52,.519,.471,15,21,.714,7,22,29,13,8,2,6,23,30,61,.492,12,22,.545,18,39,.462,.590,16,27,.593,12,27,39,20,4,6,13,17,2025,san-diego
43544,28,28,2025-02-15,,San Francisco,REG (Conf),L,61,84,,19,61,.311,2,20,.100,17,41,.415,.328,21,28,.750,11,27,38,7,3,5,12,21,29,62,.468,9,20,.450,20,42,.476,.540,17,25,.680,7,31,38,16,7,5,9,22,2025,san-diego
43545,29,29,2025-02-22,,Oregon State,REG (Conf),L,73,83,,28,61,.459,8,22,.364,20,39,.513,.525,9,11,.818,8,19,27,17,3,7,11,24,22,54,.407,5,10,.500,17,44,.386,.454,34,42,.810,14,26,40,11,6,3,9,16,2025,san-diego
43546,30,30,2025-02-27,@,Washington State,REG (Conf),L,86,93,,33,75,.440,10,29,.345,23,46,.500,.507,10,15,.667,12,12,24,11,14,1,14,21,34,57,.596,10,23,.435,24,34,.706,.684,15,22,.682,9,30,39,18,8,3,22,17,2025,san-diego
43547,31,31,2025-03-01,,Portland,REG (Conf),W,82,80,,32,69,.464,11,25,.440,21,44,.477,.543,7,9,.778,6,21,27,17,9,5,6,17,30,62,.484,10,22,.455,20,40,.500,.565,10,11,.909,6,26,32,18,5,2,13,13,2025,san-diego
43548,Rk,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,2025,san-diego
43549,32,32,2025-03-06,N,Pacific,CTOURN,W,81,77,,25,56,.446,4,10,.400,21,46,.457,.482,27,30,.900,10,19,29,9,11,3,16,20,24,50,.480,6,14,.429,18,36,.500,.540,23,30,.767,7,20,27,14,11,4,18,24,2025,san-diego
43550,33,33,2025-03-07,N,Loyola Marymount,CTOURN,L,74,100,,25,61,.410,12,29,.414,13,32,.406,.508,12,20,.600,7,16,23,16,8,2,16,15,36,57,.632,12,21,.571,24,36,.667,.737,16,18,.889,6,26,32,26,11,6,13,16,2025,san-diego
43551,,,,,,,6-27,2314,2629,,820,2016,.407,211,719,.293,609,1297,.470,.459,463,616,.752,315,701,1016,376,245,118,416,693,865,1860,.465,272,707,.385,593,1153,.514,.538,627,852,.736,293,828,1121,492,235,122,420,582,2025,san-diego
