,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42719,1,2024-11-06,,UC-San Diego,W,63,58,22,50,.440,8,22,.364,11,15,.733,5,36,13,6,8,14,13,,20,61,.328,10,26,.385,8,13,.615,8,31,10,6,1,8,16,2025,san-diego-state
42720,2,2024-11-12,,Occidental,W,100,49,37,76,.487,18,40,.450,8,13,.615,15,40,22,11,8,4,15,,17,58,.293,6,23,.261,9,13,.692,10,32,11,2,0,19,12,2025,san-diego-state
42721,3,2024-11-18,,Gonzaga,L,67,80,23,61,.377,8,25,.320,13,18,.722,8,30,10,4,9,10,22,,24,57,.421,5,20,.250,27,31,.871,11,38,14,6,2,8,21,2025,san-diego-state
42722,4,2024-11-26,N,Creighton,W,71,53,30,62,.484,8,17,.471,3,7,.429,4,35,13,8,9,7,15,,21,62,.339,6,31,.194,5,13,.385,10,34,12,1,7,9,6,2025,san-diego-state
42723,5,2024-11-27,N,Oregon,L,68,78,29,57,.509,6,19,.316,4,8,.500,4,22,16,8,9,12,21,,25,56,.446,10,22,.455,18,26,.692,9,30,16,8,5,14,16,2025,san-diego-state
42724,6,2024-11-30,N,Houston,W (1 OT),73,70,23,57,.404,9,25,.360,18,27,.667,10,31,13,8,5,6,15,,23,62,.371,11,24,.458,13,17,.765,15,36,13,1,2,12,21,2025,san-diego-state
42725,7,2024-12-04,@,Fresno State,W,84,62,33,68,.485,7,23,.304,11,17,.647,13,52,12,3,8,14,23,,18,67,.269,5,27,.185,21,30,.700,13,37,4,12,3,10,18,2025,san-diego-state
42726,8,2024-12-07,,San Diego,W,74,57,29,66,.439,5,17,.294,11,15,.733,10,38,13,6,2,10,16,,17,55,.309,6,32,.188,17,23,.739,7,33,10,4,2,15,17,2025,san-diego-state
42727,9,2024-12-11,,California Baptist,W,81,75,28,51,.549,9,17,.529,16,20,.800,6,22,19,6,3,7,12,,29,64,.453,12,33,.364,5,5,1.000,14,28,13,3,1,11,16,2025,san-diego-state
42728,10,2024-12-21,N,California,W,71,50,25,67,.373,9,26,.346,12,15,.800,16,41,6,13,9,13,17,,14,55,.255,5,24,.208,17,21,.810,12,31,4,8,7,18,15,2025,san-diego-state
42729,11,2024-12-28,,Utah State,L,66,67,20,52,.385,6,24,.250,20,22,.909,8,30,11,11,2,14,17,,22,50,.440,8,28,.286,15,21,.714,4,26,16,12,1,15,24,2025,san-diego-state
42730,12,2025-01-04,@,Boise State,W,76,68,27,61,.443,7,17,.412,15,24,.625,12,35,12,7,0,11,21,,20,53,.377,7,30,.233,21,25,.840,6,26,13,4,2,12,23,2025,san-diego-state
42731,13,2025-01-08,,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-diego-state
42732,14,2025-01-11,@,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-diego-state
42733,15,2025-01-14,,Colorado State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-diego-state
42734,16,2025-01-18,,UNLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-diego-state
42735,17,2025-01-22,@,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-diego-state
42736,18,2025-01-25,@,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-diego-state
42737,19,2025-01-28,,San Jose State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-diego-state
42738,20,2025-02-01,,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-diego-state
