,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42750,1,2024-11-05,,Cal Poly,W,86,78,28,62,.452,7,28,.250,23,28,.821,8,33,15,12,8,15,18,,26,64,.406,12,34,.353,14,15,.933,5,28,17,12,2,16,21,2025,san-francisco
42751,2,2024-11-09,,Boise State,W,84,73,29,55,.527,9,23,.391,17,19,.895,8,35,14,4,5,11,24,,24,60,.400,3,16,.188,22,29,.759,11,30,8,7,1,7,16,2025,san-francisco
42752,3,2024-11-13,,Long Beach State,W,84,54,32,54,.593,7,17,.412,13,19,.684,9,27,19,9,5,14,7,,20,54,.370,6,21,.286,8,8,1.000,4,18,5,9,2,15,15,2025,san-francisco
42753,4,2024-11-16,,Chicago State,W,82,37,30,64,.469,11,30,.367,11,17,.647,14,47,20,11,3,14,13,,13,55,.236,5,23,.217,6,6,1.000,6,30,5,8,3,23,20,2025,san-francisco
42754,5,2024-11-21,N,Memphis,L,64,68,20,61,.328,6,28,.214,18,27,.667,14,41,8,9,6,15,25,,19,52,.365,7,19,.368,23,31,.742,8,33,8,10,9,15,23,2025,san-francisco
42755,6,2024-11-25,N,Clemson,L,55,70,20,51,.392,8,24,.333,7,7,1.000,5,21,12,5,0,13,15,,28,58,.483,7,17,.412,7,10,.700,13,37,14,7,2,12,14,2025,san-francisco
42756,7,2024-11-26,N,Fordham,W,85,64,30,49,.612,11,20,.550,14,23,.609,8,31,19,7,2,11,16,,23,61,.377,9,28,.321,9,14,.643,11,29,13,6,0,10,19,2025,san-francisco
42757,8,2024-12-01,,Mercyhurst,W,87,59,32,55,.582,6,18,.333,17,31,.548,13,37,19,9,5,10,12,,25,53,.472,6,13,.462,3,3,1.000,2,20,10,8,0,10,18,2025,san-francisco
42758,9,2024-12-05,,Saint Louis,W,78,61,30,59,.508,11,24,.458,7,11,.636,9,33,15,9,3,14,17,,26,58,.448,4,24,.167,5,9,.556,6,26,10,8,1,17,13,2025,san-francisco
42759,10,2024-12-11,,Cal State Stanislaus,W,68,52,28,60,.467,6,22,.273,6,14,.429,11,40,16,11,5,16,14,,17,49,.347,6,21,.286,12,20,.600,4,24,8,12,2,16,13,2025,san-francisco
42760,11,2024-12-15,N,Loyola (IL),W,76,66,25,53,.472,9,21,.429,17,23,.739,5,37,11,5,3,14,26,,22,59,.373,7,24,.292,15,32,.469,6,32,8,4,6,11,25,2025,san-francisco
42761,12,2024-12-18,@,Bradley,L,64,66,21,60,.350,11,31,.355,11,18,.611,8,37,10,7,4,15,17,,22,54,.407,12,20,.600,10,16,.625,5,33,11,10,4,14,15,2025,san-francisco
42762,13,2024-12-21,,Montana,W,71,67,21,48,.438,10,26,.385,19,31,.613,5,29,12,3,4,6,19,,25,55,.455,4,17,.235,13,16,.813,4,29,12,2,2,9,17,2025,san-francisco
42763,14,2024-12-28,,Loyola Marymount,W,70,55,24,63,.381,11,34,.324,11,16,.688,13,41,14,5,3,9,16,,19,54,.352,3,19,.158,14,22,.636,6,34,8,4,2,10,15,2025,san-francisco
42764,15,2024-12-30,,Santa Clara,W (1 OT),97,94,34,65,.523,10,29,.345,19,31,.613,5,29,18,7,5,9,22,,32,63,.508,11,31,.355,19,29,.655,8,35,16,4,3,12,21,2025,san-francisco
42765,16,2025-01-02,@,Pacific,W,89,81,28,55,.509,14,31,.452,19,21,.905,7,20,16,7,2,8,19,,27,52,.519,5,15,.333,22,27,.815,9,26,5,4,2,11,19,2025,san-francisco
42766,17,2025-01-04,@,Washington State,L,82,91,28,67,.418,10,33,.303,16,23,.696,13,31,9,7,2,11,28,,25,51,.490,7,19,.368,34,41,.829,11,38,14,9,6,13,22,2025,san-francisco
42767,18,2025-01-09,,Portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-francisco
42768,19,2025-01-11,@,Santa Clara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-francisco
42769,20,2025-01-16,@,Pepperdine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-francisco
42770,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,san-francisco
42771,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,san-francisco
42772,21,2025-01-18,,Oregon State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-francisco
42773,22,2025-01-23,@,Saint Mary's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-francisco
42774,23,2025-01-25,,San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-francisco
42775,24,2025-02-01,,Washington State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-francisco
42776,25,2025-02-06,,Saint Mary's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-francisco
42777,26,2025-02-08,@,Loyola Marymount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-francisco
42778,27,2025-02-13,@,Gonzaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-francisco
42779,28,2025-02-15,@,San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-francisco
42780,29,2025-02-20,,Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-francisco
42781,30,2025-02-27,@,Oregon State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-francisco
42782,31,2025-03-01,,Gonzaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-francisco
