,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42783,1,2024-11-04,,Western Illinois,L,55,59,16,46,.348,3,16,.188,20,29,.690,4,25,6,5,0,5,15,,22,51,.431,7,24,.292,8,10,.800,6,32,10,3,2,12,24,2025,san-jose-state
42784,2,2024-11-08,N,Pacific,L,67,80,22,62,.355,3,19,.158,20,24,.833,5,26,8,5,2,7,21,,29,59,.492,4,16,.250,18,22,.818,10,38,14,5,2,12,21,2025,san-jose-state
42785,3,2024-11-10,@,Hawaii,L,69,80,21,50,.420,6,12,.500,21,24,.875,6,25,6,4,3,5,21,,30,55,.545,6,19,.316,14,20,.700,4,24,11,2,1,6,17,2025,san-jose-state
42786,4,2024-11-11,N,Life Pacific,W,93,56,40,70,.571,8,28,.286,5,7,.714,13,43,18,7,2,8,8,,22,62,.355,9,28,.321,3,6,.500,6,21,6,5,1,9,7,2025,san-jose-state
42787,5,2024-11-17,,UCSB,L,59,64,22,54,.407,6,23,.261,9,10,.900,8,29,8,6,1,9,10,,24,55,.436,10,25,.400,6,9,.667,9,29,12,4,4,8,9,2025,san-jose-state
42788,6,2024-11-20,@,USC,L,68,82,26,62,.419,11,23,.478,5,7,.714,10,26,18,7,1,9,10,,32,56,.571,10,22,.455,8,9,.889,8,34,23,6,3,10,11,2025,san-jose-state
42789,7,2024-11-25,N,UTEP,W,71,65,22,43,.512,7,15,.467,20,25,.800,7,30,14,5,4,22,18,,21,51,.412,5,18,.278,18,24,.750,7,21,13,9,6,14,22,2025,san-jose-state
42790,8,2024-11-26,N,UNC Greensboro,W,69,64,23,54,.426,7,19,.368,16,21,.762,9,31,13,6,1,12,20,,22,51,.431,4,19,.211,16,23,.696,6,29,15,4,2,10,18,2025,san-jose-state
42791,9,2024-11-27,N,Long Beach State,W,82,66,31,57,.544,6,18,.333,14,24,.583,10,30,14,2,4,7,16,,24,54,.444,6,18,.333,12,18,.667,8,25,12,3,3,7,19,2025,san-jose-state
42792,10,2024-12-04,@,New Mexico,L,77,83,25,56,.446,10,21,.476,17,21,.810,6,28,13,6,7,10,22,,28,65,.431,7,17,.412,20,30,.667,11,37,17,7,4,8,13,2025,san-jose-state
42793,11,2024-12-09,,Lincoln (CA),W,117,80,47,75,.627,8,30,.267,15,16,.938,14,53,28,4,9,10,8,,30,79,.380,16,42,.381,4,7,.571,5,14,15,5,1,5,13,2025,san-jose-state
42794,12,2024-12-14,,Cal Poly,W (1 OT),107,100,39,74,.527,9,27,.333,20,29,.690,12,39,12,7,1,14,18,,38,69,.551,12,33,.364,12,18,.667,5,33,18,6,1,18,22,2025,san-jose-state
42795,13,2024-12-21,,Kennesaw State,W,89,65,33,63,.524,9,26,.346,14,22,.636,3,31,20,7,2,6,18,,21,67,.313,7,32,.219,16,26,.615,18,47,11,3,2,14,18,2025,san-jose-state
42796,14,2024-12-28,,Boise State,L,71,73,25,54,.463,8,20,.400,13,17,.765,7,23,8,4,4,6,10,,29,59,.492,7,21,.333,8,11,.727,12,33,17,3,1,10,12,2025,san-jose-state
42797,15,2024-12-31,,Colorado State,L,50,72,18,61,.295,2,23,.087,12,16,.750,5,25,5,5,1,7,13,,29,58,.500,7,26,.269,7,9,.778,8,44,18,2,4,16,15,2025,san-jose-state
42798,16,2025-01-04,@,UNLV,L,73,79,24,59,.407,9,24,.375,16,17,.941,12,36,16,2,2,11,20,,29,57,.509,6,13,.462,15,22,.682,8,25,17,8,6,5,11,2025,san-jose-state
42799,17,2025-01-07,,Utah State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-jose-state
42800,18,2025-01-11,@,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-jose-state
42801,19,2025-01-14,,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-jose-state
42802,20,2025-01-18,@,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-jose-state
42803,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,san-jose-state
42804,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,san-jose-state
42805,21,2025-01-25,,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-jose-state
42806,22,2025-01-28,@,San Diego State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-jose-state
42807,23,2025-02-01,,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-jose-state
42808,24,2025-02-04,@,Fresno State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-jose-state
42809,25,2025-02-07,@,Boise State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-jose-state
42810,26,2025-02-11,,San Diego State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-jose-state
42811,27,2025-02-14,,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-jose-state
42812,28,2025-02-19,@,Utah State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-jose-state
42813,29,2025-02-22,@,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-jose-state
42814,30,2025-02-25,,UNLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-jose-state
42815,31,2025-03-04,@,Colorado State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-jose-state
42816,32,2025-03-08,,Fresno State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,san-jose-state
