,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42817,1,2024-11-04,N,Saint Louis,W,85,78,28,66,.424,12,35,.343,17,20,.850,13,32,11,8,3,12,14,,29,61,.475,12,34,.353,8,10,.800,8,33,13,4,3,17,19,2025,santa-clara
42818,2,2024-11-08,N,Arizona State,L,74,81,27,66,.409,10,33,.303,10,16,.625,10,32,15,11,0,7,20,,24,53,.453,15,36,.417,18,27,.667,9,36,18,2,5,15,20,2025,santa-clara
42819,3,2024-11-13,,North Dakota State,L (1 OT),80,88,31,75,.413,8,37,.216,10,16,.625,13,39,11,9,4,7,18,,27,57,.474,15,32,.469,19,24,.792,5,40,19,4,3,12,16,2025,santa-clara
42820,4,2024-11-16,@,Nevada,L,59,85,23,58,.397,2,17,.118,11,19,.579,9,26,6,7,4,10,24,,27,48,.563,9,19,.474,22,31,.710,7,34,18,1,4,10,16,2025,santa-clara
42821,5,2024-11-19,,UC-Riverside,W,96,54,35,60,.583,12,22,.545,14,15,.933,11,41,20,6,4,12,14,,20,68,.294,4,31,.129,10,13,.769,15,27,11,7,3,10,11,2025,santa-clara
42822,6,2024-11-23,,Stanford,L,69,71,22,53,.415,4,19,.211,21,26,.808,11,34,13,5,1,17,20,,28,63,.444,5,13,.385,10,21,.476,14,34,17,11,6,12,19,2025,santa-clara
42823,7,2024-11-28,N,TCU,W,69,52,29,67,.433,8,26,.308,3,7,.429,14,43,19,8,5,13,13,,22,63,.349,1,17,.059,7,16,.438,9,33,5,6,3,12,12,2025,santa-clara
42824,8,2024-11-29,N,Washington,L,69,76,25,57,.439,10,24,.417,9,11,.818,7,30,9,3,8,14,21,,27,62,.435,5,15,.333,17,26,.654,14,37,12,9,3,7,13,2025,santa-clara
42825,9,2024-12-03,@,McNeese State,W,74,67,23,56,.411,10,29,.345,18,19,.947,12,40,16,4,4,12,13,,24,61,.393,8,29,.276,11,17,.647,12,30,12,9,2,7,17,2025,santa-clara
42826,10,2024-12-07,,Fresno State,W,81,66,26,62,.419,13,31,.419,16,22,.727,12,41,20,13,4,16,17,,23,59,.390,6,15,.400,14,21,.667,5,28,10,10,2,17,16,2025,santa-clara
42827,11,2024-12-14,N,Bradley,W,84,74,27,56,.482,12,24,.500,18,24,.750,11,33,17,4,3,10,16,,25,56,.446,10,26,.385,14,16,.875,7,26,17,4,3,11,19,2025,santa-clara
42828,12,2024-12-18,,Kennesaw State,W,94,74,28,56,.500,11,31,.355,27,34,.794,10,28,20,11,3,14,22,,23,49,.469,8,22,.364,20,29,.690,8,25,11,6,4,20,24,2025,santa-clara
42829,13,2024-12-21,,South Dakota,W,98,81,39,74,.527,13,34,.382,7,11,.636,15,44,31,3,4,13,16,,30,70,.429,5,21,.238,16,22,.727,11,33,18,6,3,9,13,2025,santa-clara
