,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42850,1,2024-11-06,@,Eastern Washington,L,86,93,28,59,.475,12,22,.545,18,26,.692,6,23,18,3,0,10,19,,34,59,.576,9,22,.409,16,20,.800,3,27,23,8,1,6,20,2025,seattle
42851,2,2024-11-09,,Liberty,L,64,66,24,46,.522,5,14,.357,11,24,.458,6,29,10,11,2,12,16,,24,50,.480,8,22,.364,10,19,.526,7,26,11,7,0,14,21,2025,seattle
42852,3,2024-11-14,@,Cal Poly,L,71,75,25,65,.385,9,30,.300,12,14,.857,12,34,11,12,1,16,16,,27,55,.491,8,25,.320,13,18,.722,7,27,9,9,1,18,13,2025,seattle
42853,4,2024-11-16,@,UC-San Diego,W,84,71,27,48,.563,10,20,.500,20,27,.741,6,31,12,2,2,12,17,,26,52,.500,5,16,.313,14,19,.737,3,16,12,7,4,8,20,2025,seattle
42854,5,2024-11-22,,Northwest University,W,80,52,22,59,.373,7,25,.280,29,40,.725,12,38,14,9,4,14,27,,18,47,.383,4,14,.286,12,30,.400,5,27,9,6,3,24,33,2025,seattle
42855,6,2024-11-26,N,Furman,L,56,61,16,61,.262,5,27,.185,19,25,.760,18,37,10,7,1,11,15,,21,40,.525,8,22,.364,11,18,.611,3,25,18,4,4,14,20,2025,seattle
42856,7,2024-11-29,@,Duke,L,48,70,10,47,.213,4,19,.211,24,31,.774,7,31,6,6,0,15,18,,23,58,.397,10,36,.278,14,19,.737,10,42,18,12,4,13,22,2025,seattle
42857,8,2024-12-04,,Portland State,W,91,74,29,55,.527,11,20,.550,22,24,.917,8,27,15,3,2,9,17,,30,64,.469,7,23,.304,7,14,.500,12,27,15,5,4,10,19,2025,seattle
42858,9,2024-12-07,@,UTEP,L,72,88,22,49,.449,10,23,.435,18,25,.720,7,23,15,10,2,17,14,,32,57,.561,7,17,.412,17,19,.895,10,31,18,14,3,13,20,2025,seattle
42859,10,2024-12-14,,Pacific (OR),W,111,44,40,66,.606,17,31,.548,14,19,.737,10,48,21,9,4,6,16,,15,60,.250,5,24,.208,9,11,.818,4,18,10,4,2,12,17,2025,seattle
42860,11,2024-12-17,@,Western Kentucky,L,73,86,21,63,.333,8,33,.242,23,30,.767,13,37,9,8,1,5,19,,29,49,.592,12,20,.600,16,24,.667,2,35,18,2,3,9,21,2025,seattle
42861,12,2024-12-20,,UIC,L,68,79,24,58,.414,6,18,.333,14,21,.667,9,32,10,8,4,15,20,,27,53,.509,9,21,.429,16,21,.762,2,29,18,10,4,12,18,2025,seattle
42862,13,2024-12-23,@,Washington,W,79,70,23,56,.411,4,18,.222,29,32,.906,7,36,7,7,3,7,21,,24,57,.421,6,24,.250,16,23,.696,7,30,10,2,4,12,24,2025,seattle
42863,14,2024-12-30,,Nicholls State,L,69,71,21,50,.420,7,17,.412,20,27,.741,8,30,11,4,7,14,14,,28,60,.467,5,16,.313,10,17,.588,10,30,10,9,3,11,21,2025,seattle
42864,15,2025-01-04,@,California Baptist,L,59,61,23,58,.397,3,19,.158,10,17,.588,14,37,10,11,2,13,18,,25,56,.446,1,15,.067,10,14,.714,9,33,12,7,4,13,17,2025,seattle
42865,16,2025-01-11,,Abilene Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,seattle
42866,17,2025-01-16,,Utah Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,seattle
42867,18,2025-01-18,,Southern Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,seattle
42868,19,2025-01-23,@,UT Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,seattle
42869,20,2025-01-25,,Utah Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,seattle
