,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42882,1,2024-11-04,,St. Peter's,W,57,53,14,44,.318,5,16,.313,24,37,.649,10,27,10,10,4,14,23,,15,42,.357,7,20,.350,16,25,.640,7,31,7,9,3,17,30,2025,seton-hall
42883,2,2024-11-09,,Fordham,L,56,57,22,54,.407,4,9,.444,8,16,.500,9,34,13,7,4,12,17,,19,52,.365,7,24,.292,12,18,.667,9,34,13,8,6,14,19,2025,seton-hall
42884,3,2024-11-13,N,Hofstra,L,48,49,17,48,.354,6,20,.300,8,17,.471,11,34,9,6,3,13,17,,17,46,.370,6,21,.286,9,11,.818,5,23,11,7,5,13,14,2025,seton-hall
42885,4,2024-11-16,,Wagner,W,54,28,20,44,.455,8,18,.444,6,10,.600,7,30,13,7,2,7,12,,11,46,.239,3,18,.167,3,4,.750,8,23,6,5,1,11,12,2025,seton-hall
42886,5,2024-11-21,N,VCU,W (1 OT),69,66,23,55,.418,7,12,.583,16,25,.640,8,40,9,4,2,16,19,,22,60,.367,9,37,.243,13,18,.722,7,30,11,7,5,14,24,2025,seton-hall
42887,6,2024-11-22,N,Vanderbilt,L,60,76,23,63,.365,7,21,.333,7,11,.636,15,35,11,8,3,13,14,,28,54,.519,10,27,.370,10,12,.833,5,30,15,9,2,11,14,2025,seton-hall
42888,7,2024-11-24,N,Florida Atlantic,W,63,61,23,57,.404,10,22,.455,7,10,.700,7,31,9,6,5,13,20,,21,62,.339,4,28,.143,15,18,.833,11,36,9,4,0,10,16,2025,seton-hall
42889,8,2024-11-30,,Monmouth,L,51,63,19,53,.358,5,21,.238,8,16,.500,11,26,11,10,3,8,8,,23,50,.460,10,21,.476,7,10,.700,7,31,11,6,6,12,14,2025,seton-hall
42890,9,2024-12-04,,NJIT,W,67,56,24,54,.444,4,15,.267,15,24,.625,12,32,14,6,4,8,15,,20,49,.408,9,22,.409,7,12,.583,8,26,6,5,3,14,18,2025,seton-hall
42891,10,2024-12-08,,Oklahoma State,L,76,85,27,54,.500,7,19,.368,15,23,.652,9,22,16,10,2,12,16,,29,51,.569,10,26,.385,17,19,.895,7,26,21,9,5,14,24,2025,seton-hall
