,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42915,1,2024-11-04,,Brown,W (1 OT),72,71,24,66,.364,5,20,.250,19,28,.679,15,36,7,10,4,12,15,,28,64,.438,7,22,.318,8,13,.615,15,40,8,6,9,16,24,2025,siena
42916,2,2024-11-08,@,Bryant,W (1 OT),90,88,28,70,.400,11,28,.393,23,27,.852,14,33,7,8,2,18,29,,26,58,.448,9,22,.409,27,37,.730,14,40,16,9,9,23,24,2025,siena
42917,3,2024-11-12,,American,W,74,66,26,47,.553,4,9,.444,18,25,.720,10,32,11,7,9,10,13,,24,55,.436,9,18,.500,9,12,.750,7,22,11,7,2,8,21,2025,siena
42918,4,2024-11-16,@,Albany (NY),L,60,70,21,58,.362,8,24,.333,10,13,.769,11,25,11,7,5,14,20,,24,52,.462,3,8,.375,19,24,.792,9,33,5,10,1,11,17,2025,siena
42919,5,2024-11-20,@,Xavier,L,55,80,20,48,.417,6,18,.333,9,20,.450,7,27,13,6,11,15,13,,33,65,.508,11,24,.458,3,4,.750,5,31,24,11,2,9,18,2025,siena
42920,6,2024-11-25,N,Miami (OH),L,58,70,19,54,.352,9,29,.310,11,15,.733,7,27,10,5,6,13,17,,24,55,.436,10,30,.333,12,17,.706,8,34,16,7,5,12,16,2025,siena
42921,7,2024-11-26,N,Jacksonville,L,64,75,21,52,.404,7,22,.318,15,20,.750,6,28,11,5,2,13,22,,25,53,.472,7,14,.500,18,26,.692,5,26,12,9,2,8,22,2025,siena
42922,8,2024-11-30,N,Bucknell,W,71,58,20,43,.465,8,17,.471,23,28,.821,4,22,11,8,5,11,19,,22,51,.431,3,22,.136,11,18,.611,8,24,9,5,1,11,24,2025,siena
42923,9,2024-12-06,@,Niagara,L,68,69,24,54,.444,11,31,.355,9,14,.643,7,27,18,5,3,6,16,,22,45,.489,8,19,.421,17,20,.850,3,26,14,4,0,8,15,2025,siena
42924,10,2024-12-08,@,Canisius,W,66,53,25,54,.463,10,28,.357,6,12,.500,10,31,14,3,0,10,14,,17,42,.405,4,12,.333,15,19,.789,2,20,7,4,1,10,16,2025,siena
42925,11,2024-12-17,,St. Bonaventure,L,48,65,18,56,.321,6,26,.231,6,8,.750,8,28,8,7,3,16,9,,26,59,.441,4,20,.200,9,10,.900,5,32,7,10,2,10,13,2025,siena
42926,12,2024-12-20,,Holy Cross,L,70,78,27,55,.491,4,15,.267,12,18,.667,9,27,8,4,3,5,15,,25,55,.455,15,29,.517,13,16,.813,8,27,18,1,2,8,14,2025,siena
42927,13,2024-12-30,@,Cornell,W,83,77,26,48,.542,8,19,.421,23,32,.719,4,23,15,8,5,14,21,,28,52,.538,4,12,.333,17,22,.773,4,25,13,2,1,17,24,2025,siena
42928,14,2025-01-03,,Manhattan,W (2 OT),103,95,35,83,.422,11,37,.297,22,26,.846,14,46,16,6,8,8,20,,33,70,.471,9,24,.375,20,29,.690,5,36,18,4,7,11,20,2025,siena
42929,15,2025-01-05,,Iona,L,73,74,20,45,.444,7,21,.333,26,36,.722,8,24,11,12,5,25,20,,27,61,.443,6,19,.316,14,20,.700,16,34,13,16,2,24,27,2025,siena
42930,16,2025-01-10,@,Quinnipiac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,siena
42931,17,2025-01-16,,Sacred Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,siena
42932,18,2025-01-18,@,Merrimack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,siena
42933,19,2025-01-23,,Mount St. Mary's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,siena
42934,20,2025-01-25,@,Iona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,siena
42935,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,siena
