,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
42948,1,2024-11-04,,Central Michigan,L,70,74,25,53,.472,9,28,.321,11,16,.688,5,23,15,5,1,15,13,,26,52,.500,9,31,.290,13,17,.765,9,30,17,11,1,12,13,2025,south-alabama
42949,2,2024-11-08,@,Nicholls State,W,70,64,19,57,.333,9,30,.300,23,30,.767,10,36,12,5,2,5,14,,22,63,.349,12,36,.333,8,13,.615,10,33,15,2,5,7,21,2025,south-alabama
42950,3,2024-11-12,@,Ole Miss,L,54,64,20,52,.385,7,25,.280,7,11,.636,5,34,15,6,6,13,16,,21,64,.328,13,38,.342,9,14,.643,11,38,18,7,2,9,11,2025,south-alabama
42951,4,2024-11-16,,Mercer,W,75,66,25,60,.417,8,32,.250,17,25,.680,11,41,13,8,4,8,11,,22,58,.379,12,32,.375,10,11,.909,3,31,14,7,4,11,17,2025,south-alabama
42952,5,2024-11-18,,Spring Hill,W,95,61,32,62,.516,13,30,.433,18,24,.750,10,32,23,18,2,8,9,,20,52,.385,13,28,.464,8,8,1.000,8,26,14,7,4,22,14,2025,south-alabama
42953,6,2024-11-25,,Incarnate Word,W,84,63,32,49,.653,12,24,.500,8,12,.667,2,24,20,9,2,12,12,,22,52,.423,14,34,.412,5,10,.500,6,23,15,4,3,13,9,2025,south-alabama
42954,7,2024-11-26,,Western Illinois,L,63,64,22,59,.373,5,26,.192,14,19,.737,10,32,9,8,0,5,10,,22,53,.415,15,40,.375,5,6,.833,8,34,16,4,3,10,13,2025,south-alabama
42955,8,2024-11-29,,Alcorn State,W (1 OT),74,65,24,56,.429,12,35,.343,14,19,.737,6,28,16,12,9,6,13,,21,65,.323,15,39,.385,8,10,.800,18,39,13,4,2,12,19,2025,south-alabama
42956,9,2024-12-08,,Jacksonville State,W,76,74,25,63,.397,12,38,.316,14,18,.778,10,25,15,11,2,6,12,,24,53,.453,12,27,.444,14,15,.933,9,29,15,1,4,16,18,2025,south-alabama
42957,10,2024-12-15,@,East Texas A&M,W,81,72,28,54,.519,9,20,.450,16,29,.552,8,26,18,16,1,6,13,,24,50,.480,17,37,.459,7,11,.636,7,29,22,1,4,18,18,2025,south-alabama
42958,11,2024-12-16,@,TCU,L,49,58,17,51,.333,7,26,.269,8,12,.667,8,28,13,6,2,11,12,,21,55,.382,5,26,.192,11,17,.647,11,37,13,8,5,10,9,2025,south-alabama
42959,12,2024-12-21,,James Madison,W,77,49,29,56,.518,9,29,.310,10,11,.909,5,28,16,14,2,8,14,,16,55,.291,8,30,.267,9,12,.750,12,30,10,4,2,15,12,2025,south-alabama
42960,13,2024-12-30,,Mobile,W,106,41,41,73,.562,14,32,.438,10,20,.500,15,42,23,16,3,3,8,,15,47,.319,9,33,.273,2,4,.500,2,24,9,3,0,20,14,2025,south-alabama
42961,14,2025-01-02,@,Georgia State,W,77,51,31,66,.470,9,30,.300,6,6,1.000,11,31,19,11,4,3,11,,18,50,.360,9,33,.273,6,14,.429,10,28,13,3,2,14,11,2025,south-alabama
42962,15,2025-01-04,@,Georgia Southern,W,76,47,25,54,.463,10,24,.417,16,24,.667,9,36,17,13,5,10,16,,16,48,.333,8,31,.258,7,15,.467,8,31,13,7,3,21,19,2025,south-alabama
42963,16,2025-01-09,,Arkansas State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-alabama
42964,17,2025-01-11,,Old Dominion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-alabama
42965,18,2025-01-15,,Southern Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-alabama
42966,19,2025-01-18,,Troy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-alabama
42967,20,2025-01-23,@,Louisiana-Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-alabama
42968,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,south-alabama
42969,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,south-alabama
42970,21,2025-01-25,@,Troy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-alabama
