,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43013,1,2024-11-04,,Morris College,W,137,55,45,68,.662,22,34,.647,25,30,.833,13,37,25,15,3,16,16,,21,57,.368,4,18,.222,9,16,.563,9,19,4,5,0,23,21,2025,south-carolina-state
43014,2,2024-11-08,@,South Carolina,L,64,86,24,67,.358,3,16,.188,13,24,.542,11,30,13,12,5,9,23,,30,64,.469,8,27,.296,18,25,.720,12,44,17,5,6,13,18,2025,south-carolina-state
43015,3,2024-11-11,,Voorhees,W,94,48,36,63,.571,2,14,.143,20,28,.714,11,45,16,15,4,8,11,,18,56,.321,7,18,.389,5,8,.625,5,19,8,4,0,20,18,2025,south-carolina-state
43016,4,2024-11-14,@,Jacksonville,L,62,71,22,58,.379,3,15,.200,15,25,.600,11,25,8,13,2,14,13,,26,54,.481,12,22,.545,7,14,.500,12,37,20,8,8,22,17,2025,south-carolina-state
43017,5,2024-11-16,@,Bethune-Cookman,L,62,75,22,60,.367,5,19,.263,13,22,.591,11,32,14,6,5,15,22,,25,53,.472,1,12,.083,24,30,.800,5,33,12,10,4,11,19,2025,south-carolina-state
43018,6,2024-11-22,@,Alabama A&M,W,82,70,30,56,.536,11,21,.524,11,13,.846,7,32,19,6,3,14,20,,23,59,.390,7,27,.259,17,26,.654,11,28,12,8,5,11,15,2025,south-carolina-state
43019,7,2024-11-23,N,IU Indianapolis,W,72,62,21,46,.457,6,16,.375,24,31,.774,8,32,14,8,4,10,19,,21,56,.375,5,28,.179,15,19,.789,9,29,9,5,0,13,21,2025,south-carolina-state
43020,8,2024-11-27,@,Marshall,L,53,82,21,64,.328,3,16,.188,8,17,.471,14,30,6,9,3,12,23,,26,60,.433,11,32,.344,19,27,.704,14,44,19,8,6,12,21,2025,south-carolina-state
43021,9,2024-12-01,@,Xavier,L,68,71,23,54,.426,7,21,.333,15,22,.682,7,27,15,9,2,17,27,,20,44,.455,5,18,.278,26,36,.722,2,25,18,12,5,15,19,2025,south-carolina-state
43022,10,2024-12-05,,Samford,L,81,88,30,54,.556,10,24,.417,11,19,.579,9,29,15,6,1,12,17,,31,56,.554,15,30,.500,11,15,.733,4,20,18,7,0,11,17,2025,south-carolina-state
43023,11,2024-12-09,,Charleston Southern,W,82,63,31,65,.477,2,20,.100,18,25,.720,8,29,20,8,7,5,25,,22,48,.458,2,16,.125,17,29,.586,9,34,10,2,1,17,21,2025,south-carolina-state
43024,12,2024-12-14,@,Furman,L,64,68,23,60,.383,6,18,.333,12,18,.667,14,26,14,7,2,9,20,,22,43,.512,4,17,.235,20,24,.833,7,29,12,5,5,11,17,2025,south-carolina-state
43025,13,2024-12-18,@,USC Upstate,W,85,70,28,59,.475,6,21,.286,23,31,.742,8,32,17,14,2,17,28,,21,48,.438,3,13,.231,25,41,.610,7,27,14,6,5,21,24,2025,south-carolina-state
43026,14,2024-12-21,@,Northern Kentucky,L,47,58,15,44,.341,8,23,.348,9,19,.474,6,27,12,6,6,16,18,,21,56,.375,6,21,.286,10,17,.588,9,31,13,13,2,10,17,2025,south-carolina-state
43027,15,2024-12-29,@,Georgia,L,72,79,23,57,.404,7,20,.350,19,24,.792,8,28,9,9,5,15,32,,27,50,.540,5,16,.313,20,31,.645,6,30,13,10,2,14,20,2025,south-carolina-state
43028,16,2025-01-04,@,Morgan State,W,86,72,33,60,.550,5,11,.455,15,26,.577,11,34,15,10,2,12,22,,26,49,.531,5,12,.417,15,26,.577,6,24,14,6,5,17,21,2025,south-carolina-state
43029,17,2025-01-06,@,Coppin State,W,85,77,26,51,.510,10,21,.476,23,31,.742,5,31,15,11,6,18,26,,22,50,.440,5,17,.294,28,39,.718,8,28,14,11,0,18,23,2025,south-carolina-state
43030,18,2025-01-11,@,Delaware State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-carolina-state
43031,19,2025-01-13,,Maryland-Eastern Shore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-carolina-state
43032,20,2025-01-25,@,North Carolina Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-carolina-state
43033,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,south-carolina-state
43034,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,south-carolina-state
