,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43078,1,2024-11-04,,Southern,W,93,79,32,62,.516,10,24,.417,19,32,.594,9,29,17,10,6,11,22,,28,64,.438,5,20,.250,18,24,.750,14,36,9,5,5,17,25,2025,south-dakota
43079,2,2024-11-06,,East Texas A&M,W,91,83,30,66,.455,6,23,.261,25,36,.694,12,40,14,7,3,13,22,,30,66,.455,9,29,.310,14,25,.560,6,33,10,11,4,15,28,2025,south-dakota
43080,3,2024-11-10,,Mount Marty,W,77,47,23,62,.371,7,30,.233,24,31,.774,13,39,12,11,8,13,16,,17,54,.315,4,18,.222,9,13,.692,5,30,10,4,5,20,22,2025,south-dakota
43081,4,2024-11-12,@,Iowa,L,77,96,30,68,.441,10,32,.313,7,14,.500,13,35,10,6,2,12,15,,37,68,.544,13,31,.419,9,12,.750,10,39,21,5,3,10,16,2025,south-dakota
43082,5,2024-11-14,,Dakota Wesleyan,W,92,69,36,62,.581,11,28,.393,9,13,.692,9,27,13,10,6,8,10,,25,59,.424,8,22,.364,11,12,.917,14,29,11,5,2,14,12,2025,south-dakota
43083,6,2024-11-20,@,Western Michigan,W,80,76,26,69,.377,6,29,.207,22,30,.733,15,34,15,10,8,6,17,,29,71,.408,4,22,.182,14,20,.700,22,47,10,4,2,16,25,2025,south-dakota
43084,7,2024-11-22,@,Southern Indiana,L,83,92,29,75,.387,8,28,.286,17,18,.944,17,38,10,7,3,10,17,,36,68,.529,8,18,.444,12,16,.750,11,35,20,7,5,11,18,2025,south-dakota
43085,8,2024-11-25,,Randall,W,112,50,44,71,.620,16,37,.432,8,14,.571,13,47,24,9,4,7,13,,17,61,.279,7,35,.200,9,10,.900,5,20,9,6,0,12,9,2025,south-dakota
43086,9,2024-11-27,@,Nebraska,L,79,96,26,60,.433,8,28,.286,19,27,.704,8,29,12,6,3,12,16,,33,68,.485,13,33,.394,17,21,.810,11,39,24,10,2,12,16,2025,south-dakota
43087,10,2024-12-04,,Idaho State,W,94,80,29,57,.509,11,21,.524,25,32,.781,13,31,17,8,5,8,21,,27,64,.422,13,31,.419,13,23,.565,16,30,13,4,6,12,24,2025,south-dakota
43088,11,2024-12-07,@,Northern Arizona,L,82,95,27,62,.435,6,22,.273,22,33,.667,10,33,11,7,1,9,25,,31,55,.564,9,20,.450,24,35,.686,5,35,20,4,1,9,23,2025,south-dakota
43089,12,2024-12-10,,Wyoming,W,82,81,27,60,.450,4,19,.211,24,34,.706,8,27,7,4,1,10,26,,24,56,.429,8,23,.348,25,33,.758,14,41,10,2,2,18,24,2025,south-dakota
43090,13,2024-12-14,,Western Illinois,W,89,66,29,56,.518,6,15,.400,25,36,.694,14,40,12,6,2,9,13,,26,68,.382,10,19,.526,4,8,.500,10,24,8,5,2,9,21,2025,south-dakota
43091,14,2024-12-19,@,Utah Tech,L,87,92,33,71,.465,8,21,.381,13,22,.591,12,34,7,6,3,7,16,,32,65,.492,13,29,.448,15,23,.652,13,40,21,4,7,8,17,2025,south-dakota
