,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43111,1,2024-11-04,N,McNeese State,W,80,73,28,61,.459,12,35,.343,12,16,.750,11,41,15,5,4,15,17,,23,59,.390,7,26,.269,20,27,.741,8,28,10,13,2,11,17,2025,south-dakota-state
43112,2,2024-11-08,,Long Beach State,W,80,79,29,56,.518,5,13,.385,17,24,.708,7,33,9,5,2,12,20,,22,55,.400,11,26,.423,24,27,.889,7,29,11,4,0,10,22,2025,south-dakota-state
43113,3,2024-11-14,N,Northern Colorado,L,69,78,23,71,.324,5,27,.185,18,20,.900,12,41,8,2,2,8,11,,31,64,.484,9,29,.310,7,8,.875,4,32,10,5,2,6,17,2025,south-dakota-state
43114,4,2024-11-18,,Mount Marty,W,89,41,32,60,.533,8,23,.348,17,23,.739,13,38,17,9,4,6,7,,16,48,.333,9,21,.429,0,2,.000,4,16,9,4,2,18,19,2025,south-dakota-state
43115,5,2024-11-20,,Southern Miss,W,101,76,36,59,.610,8,21,.381,21,29,.724,7,49,17,5,2,18,22,,26,75,.347,7,35,.200,17,29,.586,11,30,13,13,2,10,24,2025,south-dakota-state
43116,6,2024-11-24,N,Duquesne,W,71,60,24,49,.490,10,21,.476,13,18,.722,6,33,13,4,2,14,13,,23,61,.377,9,38,.237,5,11,.455,5,22,10,9,2,9,19,2025,south-dakota-state
43117,7,2024-11-25,N,Boise State,L,82,83,28,61,.459,8,19,.421,18,25,.720,7,32,13,5,2,6,17,,29,61,.475,12,29,.414,13,14,.929,7,33,20,2,2,9,19,2025,south-dakota-state
43118,8,2024-11-26,N,Missouri State,W,75,55,28,54,.519,7,20,.350,12,14,.857,8,37,20,6,4,12,14,,18,59,.305,9,22,.409,10,16,.625,13,31,8,7,0,11,12,2025,south-dakota-state
43119,9,2024-12-02,,Dakota Wesleyan,W,78,62,32,56,.571,5,18,.278,9,16,.563,9,39,10,7,9,12,7,,22,65,.338,12,32,.375,6,8,.750,13,31,14,7,0,11,13,2025,south-dakota-state
43120,10,2024-12-04,@,Montana,L,67,71,26,64,.406,4,23,.174,11,12,.917,9,38,10,6,4,15,16,,26,58,.448,8,26,.308,11,16,.688,4,30,14,8,4,11,14,2025,south-dakota-state
43121,11,2024-12-07,,Eastern Washington,W,74,53,26,64,.406,7,31,.226,15,16,.938,15,43,16,7,2,13,19,,16,44,.364,4,22,.182,17,22,.773,2,21,10,11,1,14,21,2025,south-dakota-state
