,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43144,1,2024-11-04,N,Florida,L,83,98,28,63,.444,13,27,.481,14,17,.824,10,29,16,8,0,15,27,,33,63,.524,5,26,.192,27,33,.818,11,37,12,8,5,8,16,2025,south-florida
43145,2,2024-11-08,@,College of Charleston,L,71,86,22,59,.373,6,26,.231,21,28,.750,9,37,12,6,4,16,23,,27,60,.450,6,21,.286,26,31,.839,6,36,17,6,2,15,23,2025,south-florida
43146,3,2024-11-12,,Arkansas-Pine Bluff,W,85,69,27,69,.391,8,34,.235,23,33,.697,19,43,16,9,1,8,15,,25,60,.417,5,23,.217,14,19,.737,11,37,10,4,2,12,27,2025,south-florida
43147,4,2024-11-15,,West Georgia,W,74,55,28,55,.509,5,21,.238,13,18,.722,5,36,17,7,6,9,14,,20,57,.351,5,19,.263,10,19,.526,9,30,13,4,5,10,13,2025,south-florida
43148,5,2024-11-21,N,Portland,W,74,68,25,60,.417,9,29,.310,15,21,.714,8,36,11,6,2,10,16,,22,60,.367,8,27,.296,16,19,.842,6,34,15,4,3,10,19,2025,south-florida
43149,6,2024-11-22,N,Middle Tennessee,L,88,95,27,53,.509,10,26,.385,24,27,.889,6,24,13,8,3,13,19,,34,59,.576,12,23,.522,15,21,.714,8,26,18,7,2,11,19,2025,south-florida
43150,7,2024-11-24,N,Wright State,W,73,72,29,55,.527,5,15,.333,10,14,.714,1,29,15,7,4,10,13,,27,62,.435,8,24,.333,10,13,.769,7,31,15,5,2,9,16,2025,south-florida
43151,8,2024-12-03,,Stetson,W,74,72,28,63,.444,8,23,.348,10,18,.556,11,34,18,12,3,10,16,,29,61,.475,6,16,.375,8,10,.800,9,34,12,7,3,14,17,2025,south-florida
43152,9,2024-12-07,@,Loyola (IL),L,72,74,26,53,.491,8,21,.381,12,16,.750,7,33,17,4,3,14,17,,26,61,.426,6,21,.286,16,23,.696,8,28,16,8,3,6,13,2025,south-florida
43153,10,2024-12-14,@,Utah State,L,67,88,24,52,.462,7,19,.368,12,15,.800,10,28,14,8,3,21,18,,32,64,.500,6,23,.261,18,21,.857,11,27,27,12,3,11,15,2025,south-florida
43154,11,2024-12-18,,Bethune-Cookman,L,69,77,22,60,.367,6,23,.261,19,24,.792,14,28,8,5,5,12,17,,24,53,.453,7,16,.438,22,24,.917,5,30,15,7,6,11,25,2025,south-florida
43155,12,2024-12-21,,East Texas A&M,W,88,62,34,56,.607,13,27,.481,7,8,.875,4,30,23,10,2,15,16,,23,58,.397,9,32,.281,7,11,.636,4,23,12,11,1,15,7,2025,south-florida
43156,13,2024-12-28,,Webber,W,106,49,42,72,.583,9,24,.375,13,16,.813,15,37,28,16,3,2,7,,18,49,.367,7,23,.304,6,6,1.000,7,23,10,1,1,21,13,2025,south-florida
43157,14,2024-12-31,,East Carolina,W,75,69,26,57,.456,7,20,.350,16,20,.800,8,33,14,9,3,13,20,,22,62,.355,3,19,.158,22,27,.815,12,36,9,8,5,12,15,2025,south-florida
43158,15,2025-01-06,@,Wichita State,W,91,72,33,58,.569,12,26,.462,13,16,.813,3,27,18,9,3,8,15,,25,61,.410,3,20,.150,19,22,.864,12,34,7,7,4,12,11,2025,south-florida
43159,16,2025-01-11,@,Tulane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-florida
43160,17,2025-01-15,,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-florida
43161,18,2025-01-18,,Tulsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-florida
43162,19,2025-01-22,@,Charlotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-florida
43163,20,2025-01-25,@,East Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-florida
43164,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,south-florida
43165,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,south-florida
43166,21,2025-01-28,,Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-florida
43167,22,2025-02-02,@,Florida Atlantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-florida
43168,23,2025-02-06,,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-florida
43169,24,2025-02-09,,Wichita State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-florida
43170,25,2025-02-13,,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-florida
43171,26,2025-02-16,@,UAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-florida
43172,27,2025-02-19,@,UTSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-florida
43173,28,2025-02-23,,North Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-florida
43174,29,2025-02-26,@,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-florida
43175,30,2025-03-02,,Florida Atlantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-florida
43176,31,2025-03-07,@,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,south-florida
