,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43177,1,2024-11-04,@,Bradley,L,60,88,24,57,.421,6,23,.261,6,10,.600,7,24,8,11,2,17,20,,30,54,.556,10,23,.435,18,25,.720,10,36,15,10,3,15,10,2025,southeast-missouri-state
43178,2,2024-11-10,@,Vanderbilt,L,76,85,28,63,.444,12,25,.480,8,13,.615,3,29,18,3,3,8,31,,25,65,.385,3,25,.120,32,41,.780,20,51,10,7,6,9,18,2025,southeast-missouri-state
43179,3,2024-11-13,,Crowley's Ridge,W,93,38,37,76,.487,11,35,.314,8,10,.800,13,50,22,10,5,9,8,,16,59,.271,3,23,.130,3,5,.600,4,28,9,7,1,17,12,2025,southeast-missouri-state
43180,4,2024-11-17,,Chattanooga,L,82,87,33,70,.471,6,26,.231,10,17,.588,7,31,13,9,3,8,24,,28,58,.483,9,26,.346,22,31,.710,7,38,12,2,2,14,15,2025,southeast-missouri-state
43181,5,2024-11-21,@,Central Arkansas,W (1 OT),77,73,27,68,.397,12,35,.343,11,17,.647,8,37,11,5,2,13,22,,24,62,.387,3,21,.143,22,32,.688,9,39,8,11,2,12,17,2025,southeast-missouri-state
43182,6,2024-11-22,N,UNC Asheville,L,64,72,22,63,.349,5,19,.263,15,21,.714,10,34,7,4,2,7,21,,24,59,.407,4,17,.235,20,29,.690,12,42,10,5,4,8,19,2025,southeast-missouri-state
43183,7,2024-11-30,,Kansas City,W,80,59,30,66,.455,8,26,.308,12,18,.667,11,39,15,14,3,10,18,,17,57,.298,5,27,.185,20,23,.870,8,33,7,3,4,18,14,2025,southeast-missouri-state
43184,8,2024-12-05,@,Lipscomb,L,60,78,25,60,.417,5,14,.357,5,8,.625,7,30,9,8,3,15,16,,29,60,.483,10,25,.400,10,16,.625,8,34,21,8,6,11,12,2025,southeast-missouri-state
43185,9,2024-12-08,@,Murray State,L,53,73,21,52,.404,4,13,.308,7,11,.636,4,20,8,2,2,11,19,,26,54,.481,9,18,.500,12,20,.600,13,34,10,5,2,12,15,2025,southeast-missouri-state
43186,10,2024-12-15,,Saint Mary-of-the-Woods College,W,93,56,36,73,.493,5,30,.167,16,21,.762,14,47,20,14,3,12,15,,19,57,.333,5,26,.192,13,20,.650,5,27,5,8,0,16,15,2025,southeast-missouri-state
43187,11,2024-12-19,,Eastern Illinois,W,79,72,27,48,.563,10,22,.455,15,20,.750,5,24,18,4,6,12,21,,23,56,.411,5,14,.357,21,29,.724,17,34,6,8,2,10,20,2025,southeast-missouri-state
43188,12,2024-12-21,,SIU-Edwardsville,W,80,64,30,62,.484,7,19,.368,13,15,.867,8,37,14,4,3,6,18,,23,54,.426,6,22,.273,12,17,.706,0,22,10,3,3,5,15,2025,southeast-missouri-state
43189,13,2024-12-29,,Westminster (MO),W,88,39,35,68,.515,8,29,.276,10,13,.769,11,47,24,13,7,8,10,,14,58,.241,2,18,.111,9,11,.818,6,27,2,3,2,18,10,2025,southeast-missouri-state
43190,14,2025-01-02,@,Tennessee State,W,67,65,22,54,.407,5,19,.263,18,27,.667,8,32,11,14,2,14,21,,25,53,.472,3,12,.250,12,22,.545,9,38,8,5,3,19,20,2025,southeast-missouri-state
43191,15,2025-01-04,@,UT-Martin,L,63,66,23,59,.390,10,26,.385,7,13,.538,14,32,12,7,8,10,15,,20,49,.408,7,21,.333,19,21,.905,5,26,11,8,3,14,15,2025,southeast-missouri-state
43192,16,2025-01-09,,Southern Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southeast-missouri-state
43193,17,2025-01-11,,Morehead State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southeast-missouri-state
43194,18,2025-01-14,,Little Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southeast-missouri-state
43195,19,2025-01-16,@,Tennessee Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southeast-missouri-state
43196,20,2025-01-23,@,Lindenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southeast-missouri-state
43197,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,southeast-missouri-state
43198,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,southeast-missouri-state
43199,21,2025-01-25,@,Western Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southeast-missouri-state
43200,22,2025-01-30,,UT-Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southeast-missouri-state
43201,23,2025-02-01,,Tennessee State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southeast-missouri-state
43202,24,2025-02-06,@,Morehead State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southeast-missouri-state
43203,25,2025-02-08,@,Southern Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southeast-missouri-state
43204,26,2025-02-11,@,Little Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southeast-missouri-state
43205,27,2025-02-15,,Tennessee Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southeast-missouri-state
43206,28,2025-02-20,,Western Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southeast-missouri-state
43207,29,2025-02-22,,Lindenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southeast-missouri-state
43208,30,2025-02-27,@,SIU-Edwardsville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southeast-missouri-state
43209,31,2025-03-01,@,Eastern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southeast-missouri-state
