,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43210,1,2024-11-04,,William Carey,W,91,53,32,63,.508,9,23,.391,18,21,.857,10,40,13,7,3,11,17,,18,60,.300,7,33,.212,10,16,.625,9,25,5,6,1,13,15,2025,southeastern-louisiana
43211,2,2024-11-10,@,UAB,L,72,82,28,62,.452,7,21,.333,9,16,.563,9,32,14,7,2,12,19,,31,62,.500,6,18,.333,14,22,.636,13,39,16,6,3,11,16,2025,southeastern-louisiana
43212,3,2024-11-12,@,Mississippi State,L,59,80,19,54,.352,9,25,.360,12,17,.706,8,35,12,5,3,16,22,,27,62,.435,7,28,.250,19,26,.731,10,37,15,9,4,10,13,2025,southeastern-louisiana
43213,4,2024-11-18,@,Louisiana-Monroe,W,70,67,29,53,.547,4,14,.286,8,9,.889,4,29,14,8,2,17,18,,25,53,.472,8,20,.400,9,20,.450,6,24,13,11,1,12,17,2025,southeastern-louisiana
43214,5,2024-11-22,@,Wyoming,L,61,64,21,63,.333,8,25,.320,11,16,.688,6,26,11,10,4,6,28,,20,54,.370,5,22,.227,19,33,.576,15,48,5,2,5,16,16,2025,southeastern-louisiana
43215,6,2024-11-26,N,Gardner-Webb,L,69,73,28,64,.438,4,18,.222,9,10,.900,9,26,15,15,3,16,18,,28,54,.519,6,19,.316,11,17,.647,10,34,12,8,1,22,16,2025,southeastern-louisiana
43216,7,2024-11-27,N,North Dakota,W,76,60,25,53,.472,8,16,.500,18,24,.750,11,36,9,3,2,10,19,,18,57,.316,7,33,.212,17,20,.850,11,24,11,5,3,13,19,2025,southeastern-louisiana
43217,8,2024-12-02,@,Tulane,W,71,67,27,62,.435,8,20,.400,9,10,.900,10,33,16,10,4,12,9,,24,57,.421,13,33,.394,6,8,.750,8,28,22,9,9,14,13,2025,southeastern-louisiana
43218,9,2024-12-05,@,Nicholls State,L,64,67,24,59,.407,5,20,.250,11,15,.733,5,37,11,6,0,15,17,,26,62,.419,4,24,.167,11,18,.611,7,35,9,11,3,10,16,2025,southeastern-louisiana
43219,10,2024-12-11,@,Louisiana,L,61,68,23,53,.434,2,14,.143,13,20,.650,8,28,13,6,4,15,17,,22,54,.407,10,30,.333,14,18,.778,8,31,15,7,7,14,14,2025,southeastern-louisiana
43220,11,2024-12-16,@,Grambling,W,75,65,27,48,.563,8,20,.400,13,17,.765,7,35,14,4,1,16,13,,23,50,.460,7,16,.438,12,16,.750,1,14,14,3,2,6,15,2025,southeastern-louisiana
43221,12,2024-12-20,,Loyola (LA),W,96,62,34,71,.479,10,25,.400,18,24,.750,13,42,15,11,3,9,14,,20,52,.385,8,30,.267,14,17,.824,2,26,13,7,3,20,18,2025,southeastern-louisiana
43222,13,2024-12-30,@,McNeese State,L,51,79,19,48,.396,5,22,.227,8,16,.500,9,27,9,7,3,22,12,,27,55,.491,7,18,.389,18,22,.818,10,35,15,12,1,12,15,2025,southeastern-louisiana
43223,14,2025-01-04,,Texas A&M-Corpus Christi,L,71,80,22,48,.458,5,15,.333,22,33,.667,6,28,8,4,1,11,23,,29,58,.500,6,19,.316,16,28,.571,14,37,8,1,1,9,22,2025,southeastern-louisiana
