,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43276,1,2024-11-04,,Chattanooga,W,77,51,32,64,.500,8,25,.320,5,7,.714,8,32,21,9,3,9,17,,15,54,.278,6,34,.176,15,19,.789,11,31,13,6,2,13,13,2025,southern-california
43277,2,2024-11-07,,Idaho State,W,75,69,24,56,.429,5,20,.250,22,34,.647,9,23,20,6,3,6,23,,21,45,.467,4,12,.333,23,30,.767,9,34,12,0,5,17,26,2025,southern-california
43278,3,2024-11-13,,UT Arlington,W,98,95,35,63,.556,6,18,.333,22,27,.815,3,22,22,6,3,10,21,,30,53,.566,16,24,.667,19,23,.826,2,26,24,5,0,16,26,2025,southern-california
43279,4,2024-11-17,,California,L,66,71,25,57,.439,6,21,.286,10,14,.714,7,27,10,4,1,10,16,,27,55,.491,7,21,.333,10,13,.769,7,30,10,4,4,13,17,2025,southern-california
43280,5,2024-11-20,,San Jose State,W,82,68,32,56,.571,10,22,.455,8,9,.889,8,34,23,6,3,10,11,,26,62,.419,11,23,.478,5,7,.714,10,26,18,7,1,9,10,2025,southern-california
43281,6,2024-11-24,,Grambling,W,80,69,25,50,.500,7,21,.333,23,33,.697,9,31,17,6,2,13,13,,25,55,.455,7,22,.318,12,14,.857,6,28,14,9,3,12,24,2025,southern-california
43282,7,2024-11-28,N,Saint Mary's,L,36,71,13,50,.260,0,12,.000,10,12,.833,4,20,6,4,3,10,13,,30,59,.508,3,14,.214,8,12,.667,9,42,13,6,4,10,14,2025,southern-california
43283,8,2024-11-30,N,New Mexico,L,73,83,27,55,.491,7,17,.412,12,18,.667,6,29,13,11,0,15,18,,30,58,.517,7,21,.333,16,24,.667,9,28,17,8,5,14,14,2025,southern-california
43284,9,2024-12-04,,Oregon,L,60,68,19,55,.345,2,13,.154,20,26,.769,9,30,9,6,5,13,21,,21,55,.382,8,23,.348,18,24,.750,11,30,13,9,7,14,21,2025,southern-california
43285,10,2024-12-07,@,Washington,W,85,61,32,50,.640,7,16,.438,14,17,.824,2,30,12,6,7,12,18,,22,56,.393,5,19,.263,12,21,.571,9,24,13,4,1,14,17,2025,southern-california
43286,11,2024-12-15,,Montana State,W,89,63,32,63,.508,6,18,.333,19,24,.792,8,41,18,9,6,11,23,,20,61,.328,5,22,.227,18,25,.720,4,23,13,6,2,11,18,2025,southern-california
43287,12,2024-12-18,,Cal State Northridge,W,90,69,23,49,.469,12,19,.632,32,39,.821,6,28,18,6,2,11,16,,24,59,.407,5,20,.250,16,19,.842,11,31,12,8,5,15,27,2025,southern-california
43288,13,2024-12-22,,Southern,W,82,51,24,50,.480,6,17,.353,28,35,.800,7,35,17,11,6,14,15,,17,52,.327,2,19,.105,15,22,.682,7,22,8,8,1,18,25,2025,southern-california
43289,14,2025-01-04,,Michigan,L,74,85,27,62,.435,6,18,.333,14,22,.636,9,26,19,5,2,12,21,,29,55,.527,10,24,.417,17,21,.810,7,31,19,8,7,13,21,2025,southern-california
43290,15,2025-01-08,@,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-california
43291,16,2025-01-11,@,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-california
43292,17,2025-01-14,,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-california
43293,18,2025-01-18,,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-california
43294,19,2025-01-22,@,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-california
