,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43309,1,2024-11-04,N,College of Charleston,L,80,90,25,62,.403,5,21,.238,25,33,.758,9,26,12,11,1,9,21,,31,55,.564,9,20,.450,19,30,.633,5,29,17,3,4,15,23,2025,southern-illinois
43310,2,2024-11-08,,Missouri S&T,W,86,64,33,63,.524,7,18,.389,13,24,.542,8,35,24,14,3,12,17,,20,62,.323,9,27,.333,15,20,.750,7,33,11,8,4,17,17,2025,southern-illinois
43311,3,2024-11-14,@,Oklahoma State,L,78,85,31,61,.508,11,28,.393,5,11,.455,9,32,19,4,5,17,18,,31,65,.477,8,20,.400,15,20,.750,7,27,19,11,5,7,15,2025,southern-illinois
43312,4,2024-11-18,,North Dakota State,W,69,44,29,56,.518,3,8,.375,8,15,.533,4,40,18,6,3,7,10,,18,68,.265,5,27,.185,3,7,.429,11,34,10,3,4,9,12,2025,southern-illinois
43313,5,2024-11-22,@,Florida,L,68,93,25,72,.347,5,15,.333,13,18,.722,19,47,7,5,2,12,14,,35,75,.467,16,39,.410,7,14,.500,13,43,25,7,9,6,14,2025,southern-illinois
43314,6,2024-11-25,N,Louisiana Tech,L (1 OT),79,85,28,71,.394,7,24,.292,16,24,.667,15,43,18,10,2,17,22,,27,62,.435,5,20,.250,26,30,.867,6,36,11,14,6,16,16,2025,southern-illinois
43315,7,2024-11-26,N,Eastern Kentucky,L,72,77,23,53,.434,6,19,.316,20,27,.741,7,30,11,4,3,17,17,,26,63,.413,8,28,.286,17,22,.773,13,35,9,12,2,9,22,2025,southern-illinois
43316,8,2024-11-27,N,Florida Tech,W,81,54,33,61,.541,6,18,.333,9,11,.818,9,39,20,7,3,11,16,,18,52,.346,4,17,.235,14,19,.737,5,20,4,8,1,11,12,2025,southern-illinois
43317,9,2024-12-03,,Bradley,L,60,83,23,57,.404,4,16,.250,10,16,.625,12,36,10,8,5,16,12,,31,61,.508,14,22,.636,7,10,.700,5,24,20,14,5,9,12,2025,southern-illinois
43318,10,2024-12-07,,Southern Indiana,W,73,70,27,56,.482,5,13,.385,14,19,.737,10,31,16,5,5,12,16,,25,54,.463,5,9,.556,15,17,.882,7,24,14,9,2,9,16,2025,southern-illinois
43319,11,2024-12-14,@,Austin Peay,W,65,60,24,56,.429,6,16,.375,11,17,.647,11,30,12,3,3,11,19,,19,48,.396,6,21,.286,16,24,.667,11,34,6,6,2,14,18,2025,southern-illinois
43320,12,2024-12-21,,High Point,L,81,94,23,50,.460,5,17,.294,30,37,.811,9,29,10,5,3,14,21,,33,57,.579,7,20,.350,21,32,.656,6,26,13,7,2,7,23,2025,southern-illinois
43321,13,2024-12-29,@,Northern Iowa,L,67,78,26,57,.456,8,24,.333,7,13,.538,9,27,10,7,2,13,15,,29,52,.558,7,17,.412,13,17,.765,6,29,14,6,3,13,14,2025,southern-illinois
43322,14,2025-01-01,,Evansville,L,53,68,19,61,.311,6,31,.194,9,13,.692,12,34,10,5,4,13,16,,24,50,.480,5,15,.333,15,19,.789,4,31,11,7,6,11,14,2025,southern-illinois
43323,15,2025-01-05,@,Illinois State,L,54,85,20,56,.357,4,20,.200,10,23,.435,12,25,10,12,1,13,15,,31,51,.608,13,28,.464,10,13,.769,5,35,19,6,0,17,23,2025,southern-illinois
43324,16,2025-01-08,@,Belmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-illinois
43325,17,2025-01-11,,Missouri State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-illinois
43326,18,2025-01-15,@,Missouri State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-illinois
43327,19,2025-01-18,,Northern Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-illinois
43328,20,2025-01-22,,Murray State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-illinois
43329,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,southern-illinois
43330,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,southern-illinois
43331,21,2025-01-25,@,UIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-illinois
43332,22,2025-01-28,@,Valparaiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-illinois
43333,23,2025-02-01,,Drake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-illinois
43334,24,2025-02-05,@,Evansville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-illinois
43335,25,2025-02-08,,UIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-illinois
43336,26,2025-02-12,@,Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-illinois
43337,27,2025-02-15,,Belmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-illinois
43338,28,2025-02-19,@,Murray State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-illinois
43339,29,2025-02-22,,Valparaiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-illinois
43340,30,2025-02-25,,Illinois State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-illinois
43341,31,2025-03-02,@,Indiana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-illinois
