,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44216,1.0,1.0,2024-11-04,@,DePaul,REG (Non-Conf),L,78,80,OT,31,62,0.5,6,14,0.429,25,48,0.521,0.548,10,12,0.833,7,28,35,9,4,3,14,16,29,64,0.453,14,37,0.378,15,27,0.556,0.563,8,22,0.364,9,23,32,11,6,4,10,13,2025,southern-indiana
44217,2.0,2.0,2024-11-07,,Bucknell,REG (Non-Conf),L,69,75,OT,25,60,0.417,8,23,0.348,17,37,0.459,0.483,11,18,0.611,4,21,25,9,12,3,10,23,23,57,0.404,4,17,0.235,19,40,0.475,0.439,25,34,0.735,12,26,38,7,6,3,16,18,2025,southern-indiana
44218,3.0,3.0,2024-11-11,@,Marshall,REG (Non-Conf),L,63,77,,18,50,0.36,3,10,0.3,15,40,0.375,0.39,24,36,0.667,10,22,32,2,6,3,17,32,21,46,0.457,5,16,0.313,16,30,0.533,0.511,30,50,0.6,9,23,32,12,12,3,11,26,2025,southern-indiana
44219,4.0,4.0,2024-11-13,@,Bellarmine,REG (Non-Conf),W,71,69,,24,53,0.453,6,14,0.429,18,39,0.462,0.509,17,22,0.773,5,21,26,12,8,2,12,15,25,54,0.463,8,25,0.32,17,29,0.586,0.537,11,14,0.786,4,21,25,14,9,2,13,17,2025,southern-indiana
44220,5.0,5.0,2024-11-16,@,Purdue Fort Wayne,REG (Non-Conf),L,74,93,,25,54,0.463,9,25,0.36,16,29,0.552,0.546,15,16,0.938,4,22,26,10,1,0,10,21,28,56,0.5,13,28,0.464,15,28,0.536,0.616,24,28,0.857,7,23,30,13,5,4,8,13,2025,southern-indiana
44221,6.0,6.0,2024-11-22,,South Dakota,REG (Non-Conf),W,92,83,,36,68,0.529,8,18,0.444,28,50,0.56,0.588,12,16,0.75,11,24,35,20,7,5,11,18,29,75,0.387,8,28,0.286,21,47,0.447,0.44,17,18,0.944,17,21,38,10,7,3,10,17,2025,southern-indiana
44222,7.0,7.0,2024-11-25,,Indiana State,REG (Non-Conf),W,87,77,,30,61,0.492,11,21,0.524,19,40,0.475,0.582,16,23,0.696,10,24,34,15,14,2,15,15,31,64,0.484,7,27,0.259,24,37,0.649,0.539,8,11,0.727,12,22,34,13,13,1,19,17,2025,southern-indiana
44223,8.0,8.0,2024-12-02,,,REG (Non-Conf),W,104,46,,40,77,0.519,14,37,0.378,26,40,0.65,0.61,10,15,0.667,17,33,50,28,9,8,11,10,19,69,0.275,2,20,0.1,17,49,0.347,0.29,6,13,0.462,13,18,31,8,5,3,16,15,2025,southern-indiana
44224,9.0,9.0,2024-12-07,@,Southern Illinois,REG (Non-Conf),L,70,73,,25,54,0.463,5,9,0.556,20,45,0.444,0.509,15,17,0.882,7,17,24,14,9,2,9,16,27,56,0.482,5,13,0.385,22,43,0.512,0.527,14,19,0.737,10,21,31,16,5,5,12,16,2025,southern-indiana
44225,10.0,10.0,2024-12-15,,,REG (Non-Conf),W,91,56,,35,68,0.515,8,28,0.286,27,40,0.675,0.574,13,22,0.591,10,32,42,14,8,4,7,6,23,65,0.354,7,29,0.241,16,36,0.444,0.408,3,6,0.5,6,20,26,10,5,2,11,19,2025,southern-indiana
