,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43374,1,2024-11-04,,Tarleton State,W,96,62,34,63,.540,11,26,.423,17,22,.773,12,34,20,13,4,13,18,,18,49,.367,6,13,.462,20,24,.833,7,24,8,5,3,22,16,2025,southern-methodist
43375,2,2024-11-07,,Florida A&M,W,102,73,35,66,.530,10,24,.417,22,27,.815,10,40,23,10,7,11,21,,22,61,.361,9,28,.321,20,26,.769,7,28,16,6,4,15,20,2025,southern-methodist
43376,3,2024-11-11,,UNC Greensboro,W,81,68,27,63,.429,6,23,.261,21,30,.700,11,37,15,9,2,10,18,,24,58,.414,5,20,.250,15,22,.682,9,35,15,6,4,15,24,2025,southern-methodist
43377,4,2024-11-15,@,Butler,L,70,81,26,65,.400,5,15,.333,13,18,.722,14,34,9,9,4,11,20,,25,61,.410,12,26,.462,19,24,.792,8,33,12,3,4,12,16,2025,southern-methodist
43378,5,2024-11-18,,Prairie View,W,110,69,37,74,.500,12,25,.480,24,31,.774,20,54,25,8,8,14,20,,23,71,.324,6,31,.194,17,23,.739,13,30,14,9,3,15,25,2025,southern-methodist
43379,6,2024-11-22,,Mississippi State,L,79,84,24,47,.511,8,23,.348,23,34,.676,4,30,16,5,5,13,22,,28,68,.412,9,26,.346,19,25,.760,12,31,20,9,3,7,23,2025,southern-methodist
43380,7,2024-11-26,N,California Baptist,W,79,77,29,55,.527,8,20,.400,13,18,.722,8,27,12,7,6,10,12,,30,58,.517,9,17,.529,8,13,.615,5,22,17,6,3,9,12,2025,southern-methodist
43381,8,2024-11-27,N,Washington State,W,77,60,28,66,.424,5,15,.333,16,19,.842,17,43,12,4,3,9,14,,21,57,.368,10,33,.303,8,15,.533,6,20,12,6,6,8,16,2025,southern-methodist
43382,9,2024-12-03,,Alabama State,W,101,72,33,69,.478,10,29,.345,25,34,.735,15,49,16,7,1,8,16,,24,69,.348,13,41,.317,11,16,.688,9,29,11,4,6,8,25,2025,southern-methodist
43383,10,2024-12-07,,Virginia,W,63,51,21,49,.429,6,24,.250,15,20,.750,8,34,13,8,2,10,15,,16,47,.340,8,19,.421,11,12,.917,2,23,11,8,2,13,19,2025,southern-methodist
