,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43407,1,2024-11-04,,Bowling Green State,W,77,68,30,61,.492,5,22,.227,12,14,.857,2,29,17,9,10,12,8,,27,66,.409,10,28,.357,4,8,.500,7,31,11,8,3,13,13,2025,southern-mississippi
43408,2,2024-11-07,@,UAB,L,84,98,29,57,.509,10,22,.455,16,21,.762,6,30,15,4,6,21,17,,39,76,.513,7,25,.280,13,18,.722,13,33,23,12,2,10,15,2025,southern-mississippi
43409,3,2024-11-12,,Loyola (LA),W,104,65,41,72,.569,13,29,.448,9,13,.692,11,47,23,11,7,15,12,,26,74,.351,8,26,.308,5,9,.556,9,27,15,9,1,14,13,2025,southern-mississippi
43410,4,2024-11-20,@,South Dakota State,L,76,101,26,75,.347,7,35,.200,17,29,.586,11,30,13,13,2,10,24,,36,59,.610,8,21,.381,21,29,.724,7,49,17,5,2,18,22,2025,southern-mississippi
43411,5,2024-11-24,@,Montana State,L,59,79,20,56,.357,3,20,.150,16,22,.727,9,32,8,5,1,17,16,,28,56,.500,10,29,.345,13,17,.765,3,27,14,9,1,12,15,2025,southern-mississippi
43412,6,2024-11-25,N,Abilene Christian,L,74,82,23,49,.469,9,16,.563,19,32,.594,8,23,14,4,2,12,26,,24,47,.511,3,9,.333,31,40,.775,10,31,12,8,2,12,24,2025,southern-mississippi
43413,7,2024-11-30,,Milwaukee,W,66,65,23,58,.397,10,23,.435,10,12,.833,10,26,16,9,4,11,15,,27,54,.500,3,16,.188,8,17,.471,12,34,8,6,6,17,13,2025,southern-mississippi
43414,8,2024-12-05,,Alabama State,W,81,64,30,60,.500,9,25,.360,12,17,.706,8,47,18,6,7,11,11,,23,71,.324,9,29,.310,9,12,.750,8,32,4,6,3,6,13,2025,southern-mississippi
43415,9,2024-12-10,@,Tulane,L,58,86,19,52,.365,8,26,.308,12,18,.667,7,31,15,6,4,19,19,,30,61,.492,8,22,.364,18,21,.857,6,29,19,13,5,7,15,2025,southern-mississippi
43416,10,2024-12-14,N,Ole Miss,L,46,77,16,49,.327,4,23,.174,10,15,.667,7,30,12,5,8,16,16,,26,58,.448,13,32,.406,12,20,.600,12,37,17,12,5,9,14,2025,southern-mississippi
43417,11,2024-12-17,,Lamar,L,65,69,24,57,.421,2,13,.154,15,25,.600,12,36,17,7,9,11,16,,26,66,.394,7,22,.318,10,15,.667,10,30,17,8,8,11,18,2025,southern-mississippi
