,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43439,1,2024-11-04,,Western New Mexico,W,96,68,35,72,.486,10,26,.385,16,20,.800,13,42,18,7,6,10,17,,25,65,.385,7,18,.389,11,12,.917,7,29,10,6,4,15,18,2025,southern-utah
43440,2,2024-11-09,,Florida International,W,80,75,25,46,.543,2,12,.167,28,42,.667,5,32,12,7,4,24,18,,27,69,.391,5,22,.227,16,22,.727,12,28,12,11,3,15,27,2025,southern-utah
43441,3,2024-11-12,,Bethesda University (CA),W,107,54,36,74,.486,10,28,.357,25,34,.735,12,52,22,10,9,6,11,,23,78,.295,4,26,.154,4,9,.444,7,31,7,4,6,13,19,2025,southern-utah
43442,4,2024-11-16,,Omaha,W,79,73,27,61,.443,11,30,.367,14,24,.583,9,37,12,4,4,9,18,,29,61,.475,6,13,.462,9,16,.563,5,30,14,7,2,8,22,2025,southern-utah
43443,5,2024-11-19,@,Loyola (IL),L,72,76,23,55,.418,4,14,.286,22,27,.815,9,29,8,2,4,10,18,,26,60,.433,8,18,.444,16,22,.727,12,28,19,4,5,7,22,2025,southern-utah
43444,6,2024-11-22,@,San Diego,W,72,67,26,63,.413,9,26,.346,11,16,.688,11,40,17,7,4,13,18,,25,63,.397,5,17,.294,12,23,.522,12,37,12,8,3,13,17,2025,southern-utah
43445,7,2024-11-23,N,Idaho,W,82,67,30,53,.566,11,19,.579,11,14,.786,9,28,16,3,5,8,13,,25,57,.439,7,16,.438,10,12,.833,8,20,14,6,0,4,19,2025,southern-utah
43446,8,2024-11-26,@,UCLA,L,43,88,14,40,.350,4,16,.250,11,15,.733,4,22,8,1,5,30,16,,38,80,.475,6,20,.300,6,9,.667,16,36,21,15,4,8,20,2025,southern-utah
43447,9,2024-11-30,,Cal State Bakersfield,W,74,64,23,48,.479,4,23,.174,24,28,.857,6,28,10,7,2,13,24,,24,56,.429,1,10,.100,15,20,.750,12,31,8,7,4,14,22,2025,southern-utah
43448,10,2024-12-03,,Park (AZ),W,90,55,35,79,.443,7,20,.350,13,20,.650,19,53,15,9,9,6,6,,23,77,.299,8,28,.286,1,5,.200,14,39,12,6,6,13,19,2025,southern-utah
43449,11,2024-12-07,@,Arizona,L,66,102,24,64,.375,10,28,.357,8,15,.533,9,28,14,5,4,17,23,,34,68,.500,6,16,.375,28,36,.778,12,41,23,13,4,9,17,2025,southern-utah
43450,12,2024-12-16,@,New Mexico State,L,69,72,25,61,.410,8,26,.308,11,13,.846,7,26,13,9,6,11,15,,26,58,.448,6,17,.353,14,16,.875,10,34,7,7,2,16,15,2025,southern-utah
43451,13,2024-12-18,@,Texas-Rio Grande Valley,L,73,78,28,66,.424,4,21,.190,13,16,.813,9,34,16,5,0,12,19,,29,61,.475,5,25,.200,15,23,.652,7,30,20,7,1,9,15,2025,southern-utah
43452,14,2024-12-21,,Northern Arizona,L,75,83,28,58,.483,6,19,.316,13,18,.722,8,35,14,3,4,13,14,,34,72,.472,7,21,.333,8,13,.615,10,35,18,8,1,6,19,2025,southern-utah
43453,15,2025-01-04,@,Grand Canyon,L,71,82,29,65,.446,6,18,.333,7,8,.875,8,29,13,5,5,14,20,,27,68,.397,11,20,.550,17,22,.773,17,42,12,12,8,13,11,2025,southern-utah
43454,16,2025-01-09,,Tarleton State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-utah
43455,17,2025-01-11,,UT Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-utah
43456,18,2025-01-18,@,Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-utah
43457,19,2025-01-23,,Grand Canyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-utah
43458,20,2025-01-25,,California Baptist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-utah
43459,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,southern-utah
43460,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,southern-utah
43461,21,2025-01-30,@,UT Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-utah
43462,22,2025-02-01,@,Tarleton State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-utah
43463,23,2025-02-06,@,California Baptist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-utah
43464,24,2025-02-08,,Abilene Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-utah
43465,25,2025-02-13,,Utah Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-utah
43466,26,2025-02-15,,Utah Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-utah
43467,27,2025-02-20,@,Abilene Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-utah
43468,28,2025-02-27,@,Utah Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-utah
43469,29,2025-03-01,@,Utah Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,southern-utah
