,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43504,1,2024-11-04,,Fordham,W,92,60,36,66,.545,9,26,.346,11,15,.733,7,34,19,11,4,11,19,,20,55,.364,8,23,.348,12,20,.600,8,29,9,5,1,19,13,2025,st-johns-ny
43505,2,2024-11-09,,Quinnipiac,W,96,73,32,71,.451,10,26,.385,22,26,.846,12,43,20,9,10,11,17,,25,65,.385,8,30,.267,15,21,.714,8,31,14,9,4,14,18,2025,st-johns-ny
43506,3,2024-11-13,,Wagner,W,66,45,21,42,.500,6,17,.353,18,30,.600,5,33,13,7,8,15,10,,16,55,.291,5,24,.208,8,9,.889,10,26,10,7,1,14,25,2025,st-johns-ny
43507,4,2024-11-17,,New Mexico,W,85,71,34,68,.500,4,18,.222,13,20,.650,19,45,20,8,4,15,17,,28,64,.438,8,18,.444,7,18,.389,13,26,19,9,5,11,17,2025,st-johns-ny
43508,5,2024-11-21,N,Baylor,L (2 OT),98,99,34,62,.548,14,24,.583,16,28,.571,5,36,22,9,11,18,16,,35,83,.422,15,29,.517,14,23,.609,13,35,22,11,5,15,18,2025,st-johns-ny
43509,6,2024-11-22,N,Virginia,W,80,55,32,61,.525,10,24,.417,6,10,.600,11,31,19,13,3,6,14,,18,45,.400,9,28,.321,10,18,.556,6,25,12,4,1,15,9,2025,st-johns-ny
43510,7,2024-11-24,N,Georgia,L,63,66,19,61,.311,2,19,.105,23,28,.821,17,29,5,9,2,14,19,,24,49,.490,5,12,.417,13,16,.813,12,34,11,6,10,23,24,2025,st-johns-ny
43511,8,2024-11-30,,Harvard,W,77,64,31,70,.443,6,27,.222,9,13,.692,16,47,15,6,6,8,17,,22,61,.361,8,29,.276,12,16,.750,7,28,13,5,2,9,12,2025,st-johns-ny
43512,9,2024-12-07,,Kansas State,W,88,71,32,75,.427,8,27,.296,16,17,.941,13,47,17,4,7,8,17,,25,71,.352,8,25,.320,13,20,.650,10,35,10,5,4,8,16,2025,st-johns-ny
43513,10,2024-12-11,,Bryant,W,99,77,39,78,.500,8,26,.308,13,19,.684,20,38,18,12,5,11,20,,28,57,.491,6,17,.353,15,24,.625,9,28,9,7,3,19,19,2025,st-johns-ny
