,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43537,1,2024-11-04,,Denver,W,85,62,32,65,.492,7,23,.304,14,18,.778,13,31,20,13,6,10,18,,22,48,.458,3,17,.176,15,23,.652,7,23,6,4,2,20,16,2025,stanford
43538,2,2024-11-08,,Cal State Fullerton,W,80,53,24,53,.453,12,32,.375,20,26,.769,8,31,12,9,2,7,25,,13,40,.325,3,12,.250,24,33,.727,3,20,2,3,1,13,22,2025,stanford
43539,3,2024-11-12,,Northern Arizona,W,90,64,32,57,.561,12,23,.522,14,16,.875,8,29,17,9,2,5,14,,25,56,.446,8,22,.364,6,8,.750,8,20,14,3,2,10,13,2025,stanford
43540,4,2024-11-17,,UC-Davis,W,79,65,25,67,.373,8,28,.286,21,25,.840,16,40,11,8,1,9,19,,24,53,.453,5,16,.313,12,17,.706,2,24,8,5,4,14,18,2025,stanford
43541,5,2024-11-20,,Norfolk State,W,70,63,19,56,.339,8,34,.235,24,37,.649,18,39,11,6,3,6,14,,24,54,.444,5,16,.313,10,11,.909,4,27,5,2,0,12,25,2025,stanford
43542,6,2024-11-23,@,Santa Clara,W,71,69,28,63,.444,5,13,.385,10,21,.476,14,34,17,11,6,12,19,,22,53,.415,4,19,.211,21,26,.808,11,34,13,5,1,17,20,2025,stanford
43543,7,2024-11-26,N,Grand Canyon,L,71,78,24,63,.381,4,22,.182,19,24,.792,10,33,11,3,5,12,20,,25,54,.463,5,12,.417,23,29,.793,5,29,13,8,5,10,19,2025,stanford
43544,8,2024-11-30,,Cal Poly,L,90,97,31,67,.463,10,33,.303,18,22,.818,8,28,18,12,3,8,17,,33,61,.541,12,30,.400,19,22,.864,6,32,15,3,1,14,19,2025,stanford
43545,9,2024-12-03,,Utah Valley,W,77,63,30,63,.476,5,20,.250,12,17,.706,9,41,16,7,3,13,16,,24,65,.369,5,17,.294,10,16,.625,9,34,9,9,1,10,15,2025,stanford
43546,10,2024-12-07,@,California,W,89,81,30,57,.526,11,23,.478,18,20,.900,6,26,19,4,13,7,17,,30,71,.423,8,21,.381,13,16,.813,16,32,5,2,5,7,16,2025,stanford
43547,11,2024-12-17,,Merrimack,W,74,68,25,56,.446,11,23,.478,13,20,.650,9,35,16,6,3,10,14,,24,55,.436,7,25,.280,13,17,.765,5,29,7,4,3,10,17,2025,stanford
43548,12,2024-12-21,N,Oregon,L,61,76,23,62,.371,8,30,.267,7,13,.538,8,31,8,5,0,9,20,,24,55,.436,6,22,.273,22,29,.759,9,37,9,4,2,8,16,2025,stanford
43549,13,2025-01-01,@,Clemson,L,71,85,27,61,.443,6,20,.300,11,12,.917,10,31,8,6,4,17,20,,28,58,.483,8,19,.421,21,24,.875,8,28,14,16,6,10,14,2025,stanford
43550,14,2025-01-04,@,Pitt,L,68,83,18,51,.353,9,28,.321,23,26,.885,6,17,15,9,4,11,17,,31,55,.564,7,19,.368,14,15,.933,10,31,12,8,7,14,16,2025,stanford
43551,15,2025-01-08,,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stanford
43552,16,2025-01-11,,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stanford
43553,17,2025-01-15,@,Wake Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stanford
43554,18,2025-01-18,@,UNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stanford
43555,19,2025-01-22,,Miami (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stanford
43556,20,2025-01-25,,Florida State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stanford
43557,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,stanford
43558,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,stanford
43559,21,2025-01-29,,Syracuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stanford
43560,22,2025-02-01,@,SMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stanford
43561,23,2025-02-05,,Wake Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stanford
43562,24,2025-02-08,,NC State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stanford
43563,25,2025-02-12,@,Georgia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stanford
43564,26,2025-02-15,@,Duke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stanford
43565,27,2025-02-22,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stanford
43566,28,2025-02-26,,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stanford
43567,29,2025-03-01,,SMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stanford
43568,30,2025-03-05,@,Notre Dame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stanford
43569,31,2025-03-08,@,Louisville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stanford
