,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44467,1.0,1.0,2024-11-04,,,REG (Non-Conf),W,85,51,,36,77,0.468,4,22,0.182,32,55,0.582,0.494,9,15,0.6,17,37,54,17,16,8,18,21,17,68,0.25,3,20,0.15,14,48,0.292,0.272,14,23,0.609,13,23,36,3,9,3,21,14,2025,stephen-f-austin
44468,2.0,2.0,2024-11-10,@,Drake,REG (Non-Conf),L,51,66,,19,49,0.388,5,15,0.333,14,34,0.412,0.439,8,15,0.533,13,17,30,7,7,2,16,22,21,43,0.488,10,22,0.455,11,21,0.524,0.605,14,25,0.56,8,16,24,16,9,4,15,13,2025,stephen-f-austin
44469,3.0,3.0,2024-11-12,,,REG (Non-Conf),W,87,68,,31,62,0.5,8,21,0.381,23,41,0.561,0.565,17,23,0.739,17,23,40,16,10,4,18,18,22,58,0.379,10,28,0.357,12,30,0.4,0.466,14,19,0.737,10,13,23,13,12,0,17,19,2025,stephen-f-austin
44470,4.0,4.0,2024-11-16,@,Arkansas State,REG (Non-Conf),L,49,59,,17,54,0.315,3,16,0.188,14,38,0.368,0.343,12,21,0.571,13,28,41,6,6,2,15,26,19,61,0.311,8,30,0.267,11,31,0.355,0.377,13,28,0.464,19,25,44,11,8,6,11,21,2025,stephen-f-austin
44471,5.0,5.0,2024-11-21,,Presbyterian,REG (Non-Conf),L,55,58,OT,21,54,0.389,4,17,0.235,17,37,0.459,0.426,9,22,0.409,9,32,41,9,10,5,17,17,19,61,0.311,5,23,0.217,14,38,0.368,0.352,15,24,0.625,8,29,37,8,10,3,19,21,2025,stephen-f-austin
44472,6.0,6.0,2024-11-22,,Monmouth,REG (Non-Conf),W,72,67,,27,54,0.5,8,21,0.381,19,33,0.576,0.574,10,20,0.5,14,21,35,17,5,3,18,12,27,58,0.466,7,24,0.292,20,34,0.588,0.526,6,9,0.667,8,15,23,13,9,3,14,19,2025,stephen-f-austin
44473,7.0,7.0,2024-11-23,,Youngstown State,REG (Non-Conf),W,64,57,,21,44,0.477,8,17,0.471,13,27,0.481,0.568,14,18,0.778,6,27,33,15,7,5,18,13,21,58,0.362,7,23,0.304,14,35,0.4,0.422,8,17,0.471,9,14,23,8,12,5,11,16,2025,stephen-f-austin
44474,8.0,8.0,2024-11-29,@,Louisiana–Monroe,REG (Non-Conf),W,68,60,,26,55,0.473,8,24,0.333,18,31,0.581,0.545,8,13,0.615,9,16,25,13,5,6,10,16,22,51,0.431,2,13,0.154,20,38,0.526,0.451,14,18,0.778,5,19,24,11,6,0,10,15,2025,stephen-f-austin
44475,9.0,9.0,2024-12-05,@,Texas–Rio Grande Valley,REG (Conf),L,65,68,,24,58,0.414,0,11,0.0,24,47,0.511,0.414,17,26,0.654,12,22,34,8,9,1,13,22,21,54,0.389,9,27,0.333,12,27,0.444,0.472,17,21,0.81,8,16,24,13,5,0,17,22,2025,stephen-f-austin
44476,10.0,10.0,2024-12-07,@,Texas A&M–Corpus Christi,REG (Conf),L,48,67,,20,59,0.339,3,20,0.15,17,39,0.436,0.364,5,15,0.333,14,20,34,11,5,7,16,17,26,53,0.491,3,10,0.3,23,43,0.535,0.519,12,17,0.706,7,22,29,14,10,10,10,14,2025,stephen-f-austin
44477,11.0,11.0,2024-12-15,@,Oregon,REG (Non-Conf),L,61,79,,25,63,0.397,3,20,0.15,22,43,0.512,0.421,8,11,0.727,18,16,34,9,12,3,20,25,25,49,0.51,7,19,0.368,18,30,0.6,0.582,22,32,0.688,10,19,29,14,13,3,18,16,2025,stephen-f-austin
44478,12.0,12.0,2024-12-20,,,REG (Non-Conf),W,82,56,,30,59,0.508,10,28,0.357,20,31,0.645,0.593,12,20,0.6,12,30,42,16,10,6,19,12,24,70,0.343,4,23,0.174,20,47,0.426,0.371,4,7,0.571,13,18,31,9,8,3,14,18,2025,stephen-f-austin
44479,13.0,13.0,2024-12-31,@,Abilene Christian,REG (Non-Conf),W,62,57,,20,49,0.408,3,20,0.15,17,29,0.586,0.439,19,31,0.613,10,25,35,7,9,5,21,23,19,51,0.373,0,11,0.0,19,40,0.475,0.373,19,34,0.559,7,15,22,12,13,4,14,24,2025,stephen-f-austin
44480,14.0,14.0,2025-01-04,,Incarnate Word,REG (Conf),L,49,55,,16,51,0.314,2,18,0.111,14,33,0.424,0.333,15,27,0.556,12,23,35,8,5,2,11,15,20,56,0.357,5,25,0.2,15,31,0.484,0.402,10,15,0.667,13,27,40,6,6,5,9,18,2025,stephen-f-austin
44481,15.0,15.0,2025-01-06,,Houston Christian,REG (Conf),L,73,83,,25,51,0.49,4,17,0.235,21,34,0.618,0.529,19,28,0.679,3,16,19,11,10,2,13,20,27,57,0.474,10,23,0.435,17,34,0.5,0.561,19,23,0.826,11,25,36,13,10,4,16,20,2025,stephen-f-austin
44482,16.0,16.0,2025-01-11,@,Lamar,REG (Conf),W,72,63,,26,56,0.464,4,21,0.19,22,35,0.629,0.5,16,19,0.842,10,20,30,17,12,3,9,14,23,58,0.397,5,16,0.313,18,42,0.429,0.44,12,15,0.8,12,14,26,12,5,2,14,15,2025,stephen-f-austin
44483,17.0,17.0,2025-01-13,,Southeastern Louisiana,REG (Conf),L,59,66,,20,44,0.455,6,19,0.316,14,25,0.56,0.523,13,23,0.565,11,21,32,10,5,5,20,17,22,53,0.415,6,18,0.333,16,35,0.457,0.472,16,22,0.727,7,21,28,11,13,1,11,20,2025,stephen-f-austin
44484,18.0,18.0,2025-01-18,@,Nicholls State,REG (Conf),L,61,73,,27,62,0.435,2,20,0.1,25,42,0.595,0.452,5,11,0.455,6,21,27,10,12,0,14,11,25,52,0.481,12,23,0.522,13,29,0.448,0.596,11,16,0.688,5,23,28,11,7,5,13,10,2025,stephen-f-austin
