,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43603,1,2024-11-04,,,W,94,75,34,65,.523,7,25,.280,19,28,.679,16,49,14,9,5,16,9,,28,70,.400,15,37,.405,4,7,.571,7,24,16,10,1,12,21,2025,stetson
43604,2,2024-11-07,,Omaha,L,76,79,29,61,.475,9,27,.333,9,18,.500,6,34,19,3,3,7,12,,29,71,.408,10,26,.385,11,13,.846,9,34,14,3,2,5,17,2025,stetson
43605,3,2024-11-11,@,The Citadel,L,52,74,20,56,.357,2,17,.118,10,19,.526,8,31,5,5,5,11,11,,29,67,.433,9,27,.333,7,10,.700,12,41,16,6,2,10,18,2025,stetson
43606,4,2024-11-16,@,Oklahoma,L,64,85,24,50,.480,9,24,.375,7,9,.778,7,26,11,8,3,23,12,,34,69,.493,9,24,.375,8,10,.800,14,34,21,12,0,11,12,2025,stetson
43607,5,2024-11-21,N,Toledo,L,78,103,27,57,.474,8,20,.400,16,23,.696,10,33,18,3,2,15,10,,41,72,.569,13,26,.500,8,11,.727,6,25,18,10,1,5,17,2025,stetson
43608,6,2024-11-22,N,East Carolina,L,64,71,20,44,.455,10,25,.400,14,25,.560,4,25,12,4,2,16,22,,20,55,.364,3,14,.214,28,33,.848,12,32,5,11,2,12,20,2025,stetson
43609,7,2024-11-23,N,La Salle,L,77,92,27,64,.422,7,19,.368,16,18,.889,10,32,11,6,3,10,17,,33,69,.478,10,21,.476,16,21,.762,13,39,15,6,3,9,16,2025,stetson
43610,8,2024-12-03,@,South Florida,L,72,74,29,61,.475,6,16,.375,8,10,.800,9,34,12,7,3,14,17,,28,63,.444,8,23,.348,10,18,.556,11,34,18,12,3,10,16,2025,stetson
43611,9,2024-12-08,,Mercer,L (1 OT),83,89,27,63,.429,11,29,.379,18,21,.857,8,38,12,5,3,16,24,,30,67,.448,11,28,.393,18,27,.667,8,34,17,8,2,9,20,2025,stetson
43612,10,2024-12-14,,Florida International,L,72,81,24,61,.393,6,24,.250,18,24,.750,9,30,8,5,4,10,18,,28,61,.459,5,18,.278,20,26,.769,11,38,13,9,6,9,22,2025,stetson
43613,11,2024-12-17,@,LSU,L,53,99,18,59,.305,8,25,.320,9,12,.750,5,21,6,6,3,11,15,,35,65,.538,14,31,.452,15,18,.833,11,44,23,9,6,11,13,2025,stetson
43614,12,2024-12-22,,Univ. of Ft. Lauderdale,W,103,77,34,67,.507,14,29,.483,21,29,.724,8,33,27,6,7,10,16,,29,71,.408,5,14,.357,14,21,.667,16,42,13,6,4,13,23,2025,stetson
43615,13,2024-12-29,@,Florida,L,45,85,18,68,.265,3,24,.125,6,8,.750,10,32,6,6,2,15,8,,35,69,.507,9,25,.360,6,9,.667,10,47,19,12,7,13,13,2025,stetson
43616,14,2025-01-02,@,Queens (NC),L,87,96,27,56,.482,13,29,.448,20,25,.800,4,23,13,9,3,13,22,,30,56,.536,12,28,.429,24,31,.774,7,32,21,9,3,12,23,2025,stetson
43617,15,2025-01-04,@,West Georgia,W,78,62,25,48,.521,5,17,.294,23,26,.885,3,36,11,5,1,12,16,,23,66,.348,5,15,.333,11,20,.550,12,32,14,7,0,6,20,2025,stetson
43618,16,2025-01-09,,Central Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stetson
43619,17,2025-01-11,,North Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stetson
43620,18,2025-01-16,,Queens (NC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stetson
43621,19,2025-01-18,,West Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stetson
43622,20,2025-01-23,@,Eastern Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stetson
43623,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,stetson
43624,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,stetson
43625,21,2025-01-25,@,Bellarmine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stetson
43626,22,2025-01-29,@,North Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stetson
43627,23,2025-02-01,@,Florida Gulf Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stetson
43628,24,2025-02-06,,Jacksonville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stetson
43629,25,2025-02-08,,Eastern Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stetson
43630,26,2025-02-13,@,Lipscomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stetson
43631,27,2025-02-15,@,Austin Peay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stetson
43632,28,2025-02-18,,North Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stetson
43633,29,2025-02-20,,Florida Gulf Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stetson
43634,30,2025-02-24,,Bellarmine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stetson
43635,31,2025-02-26,@,Jacksonville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stetson
