,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44533,1,1,2024-11-04,,,REG (Non-Conf),W,81,62,,23,60,.383,13,31,.419,10,29,.345,.492,22,31,.710,11,22,33,19,15,4,14,17,21,50,.420,3,7,.429,18,43,.419,.450,17,19,.895,4,23,27,6,4,5,20,25,2025,stonehill
44534,2,2,2024-11-06,@,Notre Dame,REG (Non-Conf),L,60,89,,17,56,.304,11,31,.355,6,25,.240,.402,15,18,.833,5,16,21,12,9,6,9,20,31,61,.508,11,23,.478,20,38,.526,.598,16,22,.727,14,31,45,14,5,1,12,16,2025,stonehill
44535,3,3,2024-11-09,@,Providence,REG (Non-Conf),L,49,76,,17,53,.321,6,21,.286,11,32,.344,.377,9,22,.409,5,19,24,9,11,2,14,21,27,54,.500,9,26,.346,18,28,.643,.583,13,21,.619,11,34,45,17,7,2,20,18,2025,stonehill
44536,4,4,2024-11-14,@,Robert Morris,REG (Non-Conf),L,51,63,,17,54,.315,8,25,.320,9,29,.310,.389,9,16,.563,5,20,25,12,7,2,11,26,16,43,.372,2,10,.200,14,33,.424,.395,29,39,.744,8,34,42,9,5,9,15,17,2025,stonehill
44537,5,5,2024-11-15,N,New Orleans,REG (Non-Conf),W,80,54,,25,49,.510,11,26,.423,14,23,.609,.622,19,24,.792,5,39,44,17,5,2,16,14,19,74,.257,5,26,.192,14,48,.292,.291,11,16,.688,12,17,29,7,12,3,9,19,2025,stonehill
44538,6,6,2024-11-17,N,Lindenwood,REG (Non-Conf),L,74,75,,24,51,.471,15,30,.500,9,21,.429,.618,11,17,.647,3,23,26,19,6,3,13,22,24,59,.407,8,25,.320,16,34,.471,.475,19,24,.792,12,21,33,8,9,6,12,18,2025,stonehill
44539,7,7,2024-11-21,,Bryant,REG (Non-Conf),W,67,66,,24,66,.364,5,22,.227,19,44,.432,.402,14,21,.667,14,28,42,10,1,2,9,19,22,60,.367,6,19,.316,16,41,.390,.417,16,21,.762,8,25,33,8,7,11,8,17,2025,stonehill
44540,8,8,2024-11-25,,Texas A&M–Commerce,REG (Non-Conf),W,67,65,,22,48,.458,11,22,.500,11,26,.423,.573,12,13,.923,6,19,25,15,8,3,14,13,25,54,.463,7,26,.269,18,28,.643,.528,8,12,.667,10,18,28,8,7,3,12,15,2025,stonehill
44541,9,9,2024-11-27,@,Marquette,REG (Non-Conf),L,59,94,,24,54,.444,6,24,.250,18,30,.600,.500,5,7,.714,3,15,18,22,7,1,14,13,37,61,.607,10,21,.476,27,40,.675,.689,10,17,.588,12,19,31,15,11,2,10,7,2025,stonehill
44542,10,10,2024-12-01,,Quinnipiac,REG (Non-Conf),W,88,74,,33,62,.532,13,24,.542,20,38,.526,.637,9,12,.750,8,21,29,21,6,5,10,16,27,62,.435,6,20,.300,21,42,.500,.484,14,17,.824,13,19,32,5,8,6,9,16,2025,stonehill
