,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43669,1,2024-11-04,@,Marquette,L,62,102,22,60,.367,7,25,.280,11,15,.733,10,26,12,3,1,13,14,,40,68,.588,9,31,.290,13,17,.765,10,39,22,10,2,7,16,2025,stony-brook
43670,2,2024-11-07,@,Central Michigan,W,73,72,26,58,.448,7,18,.389,14,25,.560,11,32,9,8,0,9,16,,28,58,.483,7,24,.292,9,18,.500,13,37,14,8,7,14,20,2025,stony-brook
43671,3,2024-11-11,@,George Mason,L,56,94,19,60,.317,5,26,.192,13,18,.722,12,29,9,5,2,14,19,,32,59,.542,11,27,.407,19,24,.792,10,39,19,12,0,10,19,2025,stony-brook
43672,4,2024-11-16,,St. Joseph's–Long Island,W,93,45,36,73,.493,10,32,.313,11,14,.786,14,50,18,11,5,9,11,,16,63,.254,4,25,.160,9,10,.900,8,31,8,8,3,13,10,2025,stony-brook
43673,5,2024-11-20,,Yale,L,64,86,22,53,.415,9,18,.500,11,16,.688,4,28,16,3,3,16,16,,35,69,.507,9,20,.450,7,16,.438,11,40,22,10,2,6,15,2025,stony-brook
43674,6,2024-11-23,@,Columbia,L,63,82,21,64,.328,6,20,.300,15,20,.750,11,30,14,8,1,11,14,,32,60,.533,14,30,.467,4,8,.500,8,36,26,6,4,11,20,2025,stony-brook
43675,7,2024-11-27,@,Brown,L,54,77,21,57,.368,1,16,.063,11,16,.688,11,31,7,6,2,14,9,,29,57,.509,13,33,.394,6,11,.545,5,25,20,7,4,11,11,2025,stony-brook
43676,8,2024-12-01,,Norfolk State,L,66,77,20,56,.357,9,33,.273,17,20,.850,6,26,14,6,1,6,18,,28,54,.519,5,18,.278,16,20,.800,7,36,13,3,1,8,19,2025,stony-brook
43677,9,2024-12-07,N,Air Force,L,61,69,22,59,.373,3,21,.143,14,17,.824,12,27,12,8,2,16,18,,24,42,.571,6,18,.333,15,19,.789,2,26,16,9,4,19,15,2025,stony-brook
43678,10,2024-12-14,@,Rider,W,72,55,27,52,.519,13,25,.520,5,6,.833,9,27,12,6,1,12,18,,21,52,.404,2,12,.167,11,19,.579,9,23,9,7,3,10,11,2025,stony-brook
43679,11,2024-12-17,,Marist,L,66,68,20,45,.444,8,23,.348,18,22,.818,5,26,7,3,3,10,14,,28,61,.459,8,24,.333,4,10,.400,12,30,18,8,2,7,15,2025,stony-brook
43680,12,2024-12-21,,Maine,W,74,72,23,49,.469,7,14,.500,21,22,.955,7,29,12,7,1,12,14,,25,55,.455,12,27,.444,10,13,.769,8,24,19,10,3,10,16,2025,stony-brook
43681,13,2024-12-29,@,Albany (NY),L,70,77,24,61,.393,6,19,.316,16,21,.762,12,30,10,7,0,12,17,,27,51,.529,6,24,.250,17,20,.850,7,31,15,7,3,15,18,2025,stony-brook
43682,14,2025-01-02,@,Monmouth,L,56,78,19,58,.328,3,20,.150,15,20,.750,13,26,6,8,0,7,20,,28,51,.549,10,19,.526,12,19,.632,8,36,15,2,10,10,17,2025,stony-brook
43683,15,2025-01-04,,William & Mary,L,76,83,25,55,.455,8,26,.308,18,22,.818,9,34,13,2,2,8,19,,28,54,.519,12,28,.429,15,23,.652,4,25,20,8,0,4,14,2025,stony-brook
43684,16,2025-01-09,,Drexel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,stony-brook
