,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43702,1,2024-11-04,,Le Moyne,W,86,82,31,72,.431,4,22,.182,20,31,.645,18,44,15,7,2,11,11,,28,57,.491,9,25,.360,17,23,.739,5,29,12,6,1,16,25,2025,syracuse
43703,2,2024-11-12,,Colgate,W,74,72,31,70,.443,8,23,.348,4,8,.500,10,42,19,2,5,7,9,,28,64,.438,10,27,.370,6,11,.545,4,30,13,6,3,6,15,2025,syracuse
43704,3,2024-11-16,,Youngstown State,W (2 OT),104,95,37,73,.507,5,22,.227,25,38,.658,10,45,19,3,4,10,21,,32,72,.444,8,31,.258,23,30,.767,3,29,9,8,3,9,30,2025,syracuse
43705,4,2024-11-21,N,Texas,L,66,70,26,57,.456,5,21,.238,9,18,.500,7,26,15,4,4,11,16,,27,58,.466,4,15,.267,12,14,.857,6,33,14,9,4,9,20,2025,syracuse
43706,5,2024-11-22,N,Texas Tech,L,74,79,22,53,.415,6,21,.286,24,28,.857,8,35,8,3,2,12,20,,27,63,.429,8,24,.333,17,21,.810,9,30,17,6,4,3,19,2025,syracuse
43707,6,2024-11-27,,Cornell,W,82,72,30,73,.411,5,13,.385,17,20,.850,10,44,13,4,1,6,11,,25,62,.403,12,40,.300,10,12,.833,4,35,15,3,3,11,19,2025,syracuse
43708,7,2024-12-03,@,Tennessee,L,70,96,26,53,.491,6,19,.316,12,21,.571,3,23,10,6,2,11,17,,35,65,.538,10,29,.345,16,24,.667,12,39,16,9,3,8,18,2025,syracuse
43709,8,2024-12-07,@,Notre Dame,L,64,69,24,51,.471,0,9,.000,16,24,.667,5,26,13,5,2,11,21,,22,49,.449,8,22,.364,17,27,.630,7,31,7,4,4,14,19,2025,syracuse
43710,9,2024-12-10,,Albany (NY),W,102,85,40,63,.635,6,15,.400,16,18,.889,8,33,23,1,3,11,14,,32,70,.457,10,28,.357,11,19,.579,10,24,18,9,0,4,18,2025,syracuse
43711,10,2024-12-14,,Georgetown,L,71,75,23,54,.426,4,16,.250,21,29,.724,5,26,12,5,3,10,15,,31,65,.477,6,25,.240,7,11,.636,10,33,20,6,2,10,20,2025,syracuse
43712,11,2024-12-21,N,Maryland,L,60,87,25,58,.431,8,16,.500,2,2,1.000,6,28,17,5,1,20,8,,35,73,.479,12,27,.444,5,6,.833,13,40,26,15,3,12,10,2025,syracuse
43713,12,2024-12-28,,Bucknell,W,75,63,27,57,.474,7,23,.304,14,23,.609,14,41,16,13,3,20,18,,21,55,.382,10,29,.345,11,15,.733,8,22,13,12,3,17,20,2025,syracuse
43714,13,2024-12-31,,Wake Forest,L,71,81,21,56,.375,5,22,.227,24,32,.750,13,38,8,5,3,18,23,,26,60,.433,9,19,.474,20,26,.769,8,31,13,11,5,10,24,2025,syracuse
43715,14,2025-01-04,@,Florida State,L,74,90,26,59,.441,10,25,.400,12,17,.706,8,31,13,6,1,14,23,,30,56,.536,7,18,.389,23,31,.742,9,36,17,9,6,7,17,2025,syracuse
43716,15,2025-01-07,,Georgia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,syracuse
43717,16,2025-01-11,@,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,syracuse
43718,17,2025-01-14,,Louisville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,syracuse
43719,18,2025-01-18,,Notre Dame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,syracuse
43720,19,2025-01-22,@,Clemson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,syracuse
43721,20,2025-01-25,,Pitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,syracuse
43722,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,syracuse
