,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44636,1,1,2024-11-04,@,SMU,REG (Non-Conf),L,62,96,,18,49,.367,6,13,.462,12,36,.333,.429,20,24,.833,7,17,24,8,5,3,22,16,34,63,.540,11,26,.423,23,37,.622,.627,17,22,.773,12,22,34,20,13,4,13,18,2025,tarleton-state
44637,2,2,2024-11-09,,Sam Houston State,REG (Non-Conf),L,62,91,,25,57,.439,4,12,.333,21,45,.467,.474,8,19,.421,11,18,29,13,13,3,21,19,30,63,.476,14,26,.538,16,37,.432,.587,17,27,.630,13,27,40,20,11,5,19,22,2025,tarleton-state
44638,3,3,2024-11-12,@,Florida State,REG (Non-Conf),L,52,72,,14,45,.311,4,15,.267,10,30,.333,.356,20,28,.714,6,16,22,10,9,7,21,23,22,49,.449,4,21,.190,18,28,.643,.490,24,38,.632,6,24,30,11,13,6,17,25,2025,tarleton-state
44639,4,4,2024-11-14,,,REG (Non-Conf),W,88,57,,34,61,.557,2,8,.250,32,53,.604,.574,18,23,.783,13,24,37,15,13,4,20,9,24,56,.429,8,22,.364,16,34,.471,.500,1,1,1.000,4,11,15,12,11,3,26,19,2025,tarleton-state
44640,5,5,2024-11-17,@,Baylor,REG (Non-Conf),L,41,104,,15,39,.385,5,14,.357,10,25,.400,.449,6,11,.545,2,15,17,11,3,3,27,26,31,60,.517,15,32,.469,16,28,.571,.642,27,36,.750,18,22,40,22,15,7,12,10,2025,tarleton-state
44641,6,6,2024-11-21,@,Michigan,REG (Non-Conf),L,49,72,,17,41,.415,6,12,.500,11,29,.379,.488,9,10,.900,4,16,20,4,5,2,19,23,25,56,.446,6,22,.273,19,34,.559,.500,16,23,.696,10,19,29,14,6,6,10,15,2025,tarleton-state
44642,7,7,2024-11-29,N,Iona,REG (Non-Conf),L,51,62,,17,43,.395,5,12,.417,12,31,.387,.453,12,18,.667,5,20,25,5,6,2,16,8,24,53,.453,9,27,.333,15,26,.577,.538,5,10,.500,10,22,32,11,10,0,13,18,2025,tarleton-state
44643,8,8,2024-11-30,N,Hofstra,REG (Non-Conf),W,61,59,,22,49,.449,5,10,.500,17,39,.436,.500,12,18,.667,9,28,37,10,5,2,11,18,16,50,.320,9,28,.321,7,22,.318,.410,18,24,.750,8,20,28,11,5,7,9,18,2025,tarleton-state
44644,9,9,2024-12-01,N,Indiana State,REG (Non-Conf),L,71,87,,24,54,.444,3,12,.250,21,42,.500,.472,20,24,.833,8,13,21,8,8,0,13,10,34,56,.607,13,29,.448,21,27,.778,.723,6,6,1.000,7,20,27,17,10,2,16,19,2025,tarleton-state
44645,10,10,2024-12-03,,,REG (Non-Conf),W,90,50,,30,52,.577,5,12,.417,25,40,.625,.625,25,34,.735,12,19,31,23,16,6,21,20,18,47,.383,7,17,.412,11,30,.367,.457,7,16,.438,5,10,15,9,13,2,29,28,2025,tarleton-state
44646,11,11,2024-12-08,@,UCF,REG (Non-Conf),L,51,66,,22,53,.415,3,7,.429,19,46,.413,.443,4,9,.444,11,18,29,10,11,3,22,20,19,53,.358,9,31,.290,10,22,.455,.443,19,22,.864,14,20,34,14,12,6,16,13,2025,tarleton-state
44647,12,12,2024-12-16,@,UTEP,REG (Non-Conf),L,62,67,,20,40,.500,4,12,.333,16,28,.571,.550,18,23,.783,5,20,25,9,9,3,18,21,19,45,.422,6,16,.375,13,29,.448,.489,23,33,.697,9,13,22,10,8,5,15,18,2025,tarleton-state
44648,13,13,2024-12-18,@,Oklahoma State,REG (Non-Conf),L,61,66,,25,54,.463,7,18,.389,18,36,.500,.528,4,10,.400,4,22,26,8,11,4,14,18,22,55,.400,8,23,.348,14,32,.438,.473,14,19,.737,11,26,37,13,7,1,18,17,2025,tarleton-state
44649,14,14,2024-12-21,,,REG (Non-Conf),W,100,83,,35,69,.507,7,22,.318,28,47,.596,.558,23,30,.767,15,29,44,23,15,6,26,24,25,65,.385,9,31,.290,16,34,.471,.454,24,31,.774,12,14,26,15,20,7,24,24,2025,tarleton-state
44650,15,15,2024-12-29,,Florida A&M,REG (Non-Conf),W,70,60,,25,60,.417,4,9,.444,21,51,.412,.450,16,24,.667,10,23,33,13,13,6,10,12,19,47,.404,6,19,.316,13,28,.464,.468,16,21,.762,4,27,31,12,5,5,19,17,2025,tarleton-state
44651,16,16,2025-01-04,,UT Arlington,REG (Conf),W,77,74,,25,52,.481,6,14,.429,19,38,.500,.538,21,26,.808,7,14,21,11,14,5,12,25,21,41,.512,10,20,.500,11,21,.524,.634,22,30,.733,7,19,26,11,3,3,23,22,2025,tarleton-state
44652,17,17,2025-01-09,@,Southern Utah,REG (Conf),W,74,66,,26,55,.473,4,14,.286,22,41,.537,.509,18,26,.692,10,21,31,9,12,5,13,20,23,50,.460,3,15,.200,20,35,.571,.490,17,24,.708,8,22,30,11,7,6,16,18,2025,tarleton-state
44653,18,18,2025-01-11,@,Utah Tech,REG (Conf),L,54,58,,21,47,.447,5,13,.385,16,34,.471,.500,7,7,1.000,4,23,27,13,9,3,13,14,20,46,.435,3,14,.214,17,32,.531,.467,15,17,.882,4,18,22,7,5,1,15,13,2025,tarleton-state
44654,19,19,2025-01-16,,California Baptist,REG (Conf),W,67,57,,20,45,.444,3,13,.231,17,32,.531,.478,24,30,.800,9,20,29,9,6,2,10,25,15,44,.341,3,17,.176,12,27,.444,.375,24,33,.727,12,14,26,11,8,4,12,25,2025,tarleton-state
