,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43801,1,2024-11-04,,Gardner-Webb,W,80,64,28,55,.509,8,23,.348,16,21,.762,7,28,16,9,2,10,15,,24,55,.436,6,23,.261,10,15,.667,7,27,8,6,2,14,19,2025,tennessee
43802,2,2024-11-09,@,Louisville,W,77,55,30,53,.566,10,19,.526,7,11,.636,11,36,12,8,4,20,18,,16,60,.267,10,39,.256,13,13,1.000,12,25,11,12,4,13,13,2025,tennessee
43803,3,2024-11-13,,Montana,W,92,57,31,51,.608,9,21,.429,21,25,.840,5,34,24,6,6,12,16,,18,52,.346,7,25,.280,14,19,.737,3,15,8,9,0,11,21,2025,tennessee
43804,4,2024-11-17,,Austin Peay,W,103,68,37,58,.638,5,14,.357,24,33,.727,11,40,22,10,10,10,17,,22,62,.355,10,33,.303,14,17,.824,4,17,10,6,2,13,25,2025,tennessee
43805,5,2024-11-21,N,Virginia,W,64,42,25,66,.379,9,25,.360,5,10,.500,14,38,11,8,7,6,12,,14,49,.286,6,20,.300,8,11,.727,7,28,9,0,5,16,15,2025,tennessee
43806,6,2024-11-22,N,Baylor,W,77,62,24,46,.522,12,27,.444,17,22,.773,8,26,18,8,4,12,14,,25,59,.424,6,22,.273,6,8,.750,14,27,12,4,1,12,15,2025,tennessee
43807,7,2024-11-27,,UT-Martin,W,78,35,30,63,.476,10,37,.270,8,10,.800,19,46,22,6,9,11,8,,12,53,.226,6,31,.194,5,7,.714,8,21,8,7,0,13,14,2025,tennessee
43808,8,2024-12-03,,Syracuse,W,96,70,35,65,.538,10,29,.345,16,24,.667,12,39,16,9,3,8,18,,26,53,.491,6,19,.316,12,21,.571,3,23,10,6,2,11,17,2025,tennessee
43809,9,2024-12-10,N,Miami (FL),W,75,62,25,52,.481,10,25,.400,15,18,.833,4,33,16,5,5,11,10,,24,61,.393,8,33,.242,6,10,.600,7,29,11,9,1,12,12,2025,tennessee
43810,10,2024-12-14,@,Illinois,W,66,64,20,62,.323,6,24,.250,20,28,.714,16,39,6,7,4,4,24,,15,51,.294,4,23,.174,30,36,.833,10,32,6,2,1,11,21,2025,tennessee
43811,11,2024-12-17,,Western Carolina,W,84,36,32,69,.464,8,27,.296,12,14,.857,13,45,22,17,6,10,8,,14,64,.219,6,39,.154,2,4,.500,13,35,6,5,3,20,14,2025,tennessee
43812,12,2024-12-23,,Middle Tennessee,W,82,64,27,56,.482,10,22,.455,18,23,.783,6,35,19,6,4,11,13,,24,59,.407,9,30,.300,7,14,.500,3,25,5,7,2,11,21,2025,tennessee
43813,13,2024-12-31,,Norfolk State,W,67,52,23,54,.426,8,31,.258,13,16,.813,9,29,14,7,8,6,11,,22,59,.373,2,13,.154,6,8,.750,8,25,6,2,4,11,19,2025,tennessee
43814,14,2025-01-04,,Arkansas,W,76,52,27,69,.391,10,26,.385,12,15,.800,19,45,18,10,1,12,16,,20,53,.377,6,29,.207,6,13,.462,6,24,9,8,10,15,19,2025,tennessee
43815,15,2025-01-07,@,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee
43816,16,2025-01-11,@,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee
43817,17,2025-01-15,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee
43818,18,2025-01-18,@,Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee
43819,19,2025-01-21,,Mississippi State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee
43820,20,2025-01-25,@,Auburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee
