,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43900,1,2024-11-04,@,Illinois State,W,67,65,26,66,.394,7,25,.280,8,18,.444,10,46,14,6,3,14,25,,18,62,.290,8,41,.195,21,28,.750,8,39,13,6,2,9,19,2025,tennessee-martin
43901,2,2024-11-07,,Kentucky Christian,W,114,61,43,75,.573,16,37,.432,12,12,1.000,12,43,31,15,4,12,8,,23,62,.371,9,35,.257,6,8,.750,8,22,13,10,2,21,10,2025,tennessee-martin
43902,3,2024-11-11,@,North Alabama,L,69,87,24,56,.429,11,30,.367,10,15,.667,9,33,14,7,5,17,14,,34,70,.486,9,28,.321,10,13,.769,11,32,14,15,5,9,14,2025,tennessee-martin
43903,4,2024-11-16,@,Longwood,L,62,64,19,60,.317,10,35,.286,14,17,.824,14,33,11,13,1,13,15,,20,54,.370,7,27,.259,17,21,.810,13,34,9,7,2,16,15,2025,tennessee-martin
43904,5,2024-11-21,@,Texas A&M-Corpus Christi,L,77,81,27,66,.409,7,30,.233,16,21,.762,17,38,12,6,2,11,21,,29,56,.518,10,22,.455,13,27,.481,12,35,24,6,8,11,17,2025,tennessee-martin
43905,6,2024-11-22,N,Le Moyne,L,53,65,17,67,.254,3,31,.097,16,24,.667,18,46,5,5,3,12,24,,19,53,.358,8,29,.276,19,26,.731,9,43,13,7,4,15,20,2025,tennessee-martin
43906,7,2024-11-27,@,Tennessee,L,35,78,12,53,.226,6,31,.194,5,7,.714,8,21,8,7,0,13,14,,30,63,.476,10,37,.270,8,10,.800,19,46,22,6,9,11,8,2025,tennessee-martin
43907,8,2024-12-03,@,Charleston Southern,L,68,83,25,54,.463,3,16,.188,15,19,.789,4,27,5,5,3,10,21,,30,56,.536,11,24,.458,12,23,.522,6,27,13,5,4,6,17,2025,tennessee-martin
43908,9,2024-12-07,,Montreat,W,112,60,36,68,.529,11,33,.333,29,42,.690,18,52,21,7,9,7,18,,19,60,.317,4,28,.143,18,22,.818,7,26,7,3,0,14,30,2025,tennessee-martin
43909,10,2024-12-11,@,Alabama State,L (1 OT),93,103,30,64,.469,12,33,.364,21,30,.700,14,45,11,4,2,14,19,,36,72,.500,17,36,.472,14,22,.636,8,31,19,8,2,4,22,2025,tennessee-martin
43910,11,2024-12-15,,Champion Christian,W,123,56,45,85,.529,19,42,.452,14,20,.700,19,66,31,10,6,13,19,,16,70,.229,7,38,.184,17,22,.773,5,25,8,8,3,11,14,2025,tennessee-martin
43911,12,2024-12-19,@,Morehead State,L (1 OT),69,70,25,64,.391,8,20,.400,11,22,.500,8,31,13,6,1,9,14,,26,54,.481,8,19,.421,10,16,.625,4,34,15,7,9,14,17,2025,tennessee-martin
43912,13,2024-12-21,@,Southern Indiana,W,77,46,28,60,.467,18,38,.474,3,5,.600,9,43,17,8,4,10,14,,19,66,.288,4,28,.143,4,8,.500,14,37,9,7,1,9,8,2025,tennessee-martin
43913,14,2025-01-02,,Little Rock,L,56,57,16,55,.291,7,32,.219,17,25,.680,15,36,10,8,3,11,17,,20,51,.392,6,24,.250,11,13,.846,10,38,15,7,8,15,21,2025,tennessee-martin
43914,15,2025-01-04,,Southeast Missouri State,W,66,63,20,49,.408,7,21,.333,19,21,.905,5,26,11,8,3,14,15,,23,59,.390,10,26,.385,7,13,.538,14,32,12,7,8,10,15,2025,tennessee-martin
43915,16,2025-01-09,@,Western Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-martin
43916,17,2025-01-11,@,Lindenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-martin
43917,18,2025-01-16,,Eastern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-martin
43918,19,2025-01-18,,SIU-Edwardsville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-martin
43919,20,2025-01-21,@,Tennessee State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-martin
43920,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,tennessee-martin
43921,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,tennessee-martin
43922,21,2025-01-25,,Tennessee Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-martin
43923,22,2025-01-30,@,Southeast Missouri State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-martin
43924,23,2025-02-01,@,Little Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-martin
43925,24,2025-02-06,,Lindenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-martin
43926,25,2025-02-08,,Western Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-martin
43927,26,2025-02-13,@,SIU-Edwardsville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-martin
43928,27,2025-02-15,@,Eastern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-martin
43929,28,2025-02-18,,Tennessee State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-martin
43930,29,2025-02-20,@,Tennessee Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-martin
43931,30,2025-02-27,,Southern Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-martin
43932,31,2025-03-01,,Morehead State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-martin
