,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43834,1,2024-11-04,,Fisk,W,96,66,34,66,.515,9,31,.290,19,25,.760,17,51,25,2,3,13,12,,27,70,.386,7,30,.233,5,13,.385,10,25,15,7,0,8,17,2025,tennessee-state
43835,2,2024-11-08,@,Colorado State,L (1 OT),79,87,31,66,.470,7,22,.318,10,19,.526,12,40,16,8,3,19,30,,27,63,.429,8,24,.333,25,35,.714,9,35,17,10,2,11,18,2025,tennessee-state
43836,3,2024-11-10,@,Wyoming,L,66,81,22,59,.373,2,16,.125,20,32,.625,15,36,5,6,1,12,19,,30,57,.526,9,18,.500,12,24,.500,9,37,18,6,2,11,23,2025,tennessee-state
43837,4,2024-11-13,N,Howard,L (1 OT),84,88,33,59,.559,7,20,.350,11,26,.423,11,34,7,7,3,10,19,,33,62,.532,10,24,.417,12,20,.600,8,27,20,6,1,12,20,2025,tennessee-state
43838,5,2024-11-16,,Alabama A&M,W,81,71,29,59,.492,5,14,.357,18,32,.563,12,44,14,9,7,20,21,,27,76,.355,3,19,.158,14,24,.583,18,38,12,10,1,16,28,2025,tennessee-state
43839,6,2024-11-19,,East-West,W,110,33,41,88,.466,11,35,.314,17,25,.680,31,81,24,8,8,18,16,,11,69,.159,2,18,.111,9,18,.500,10,26,3,12,5,20,19,2025,tennessee-state
43840,7,2024-11-25,@,Chattanooga,L,78,85,30,72,.417,9,28,.321,9,14,.643,14,37,11,4,3,13,25,,25,57,.439,7,30,.233,28,36,.778,6,31,8,5,5,9,15,2025,tennessee-state
43841,8,2024-11-26,N,Bryant,L,85,97,31,73,.425,4,19,.211,19,26,.731,8,25,13,14,2,10,17,,35,67,.522,14,26,.538,13,18,.722,16,44,18,5,6,20,17,2025,tennessee-state
43842,9,2024-12-01,,UNC Asheville,L,74,92,30,66,.455,3,17,.176,11,19,.579,15,33,12,5,2,15,18,,35,68,.515,7,19,.368,15,17,.882,13,35,11,11,7,11,20,2025,tennessee-state
43843,10,2024-12-10,@,Western Kentucky,L,60,84,19,60,.317,6,27,.222,16,18,.889,11,35,9,5,3,19,18,,29,61,.475,10,26,.385,16,20,.800,5,30,14,12,3,9,15,2025,tennessee-state
43844,11,2024-12-14,,Johnson University,W,89,58,35,68,.515,8,22,.364,11,22,.500,22,45,13,15,5,11,14,,24,56,.429,6,22,.273,4,7,.571,9,26,11,6,3,18,19,2025,tennessee-state
43845,12,2024-12-19,@,Southern Indiana,L,75,77,24,55,.436,6,22,.273,21,28,.750,13,44,9,5,3,18,23,,24,60,.400,8,22,.364,21,31,.677,5,26,11,7,1,8,22,2025,tennessee-state
43846,13,2024-12-21,@,Morehead State,L,68,74,26,54,.481,10,20,.500,6,10,.600,4,25,9,4,3,12,22,,24,62,.387,5,18,.278,21,31,.677,18,41,11,5,3,9,15,2025,tennessee-state
43847,14,2025-01-02,,Southeast Missouri State,L,65,67,25,53,.472,3,12,.250,12,22,.545,9,38,8,5,3,19,20,,22,54,.407,5,19,.263,18,27,.667,8,32,11,14,2,14,21,2025,tennessee-state
43848,15,2025-01-04,,Little Rock,W,95,86,29,63,.460,8,22,.364,29,38,.763,14,39,18,9,6,15,24,,30,68,.441,6,20,.300,20,30,.667,12,34,13,9,3,14,27,2025,tennessee-state
43849,16,2025-01-09,@,Lindenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-state
43850,17,2025-01-11,@,Western Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-state
43851,18,2025-01-16,,SIU-Edwardsville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-state
43852,19,2025-01-18,,Eastern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-state
43853,20,2025-01-21,,UT-Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-state
43854,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,tennessee-state
43855,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,tennessee-state
43856,21,2025-01-23,,Tennessee Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-state
43857,22,2025-01-30,@,Little Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-state
43858,23,2025-02-01,@,Southeast Missouri State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-state
43859,24,2025-02-06,,Western Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-state
43860,25,2025-02-08,,Lindenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-state
43861,26,2025-02-13,@,Eastern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-state
43862,27,2025-02-15,@,SIU-Edwardsville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-state
43863,28,2025-02-18,@,UT-Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-state
43864,29,2025-02-22,@,Tennessee Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-state
43865,30,2025-02-27,,Morehead State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-state
43866,31,2025-03-01,,Southern Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,tennessee-state
