,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
43966,1,2024-11-04,@,UCF,L,61,64,23,63,.365,7,23,.304,8,14,.571,15,42,13,4,3,11,24,,17,50,.340,8,26,.308,22,31,.710,5,24,13,9,10,10,17,2025,texas-am
43967,2,2024-11-08,,East Texas A&M,W,87,55,34,61,.557,5,15,.333,14,24,.583,14,39,16,11,6,10,15,,20,52,.385,7,24,.292,8,11,.727,5,19,12,6,3,18,14,2025,texas-am
43968,3,2024-11-11,,Lamar,W,97,71,32,58,.552,12,26,.462,21,32,.656,15,44,21,7,6,14,19,,24,64,.375,6,18,.333,17,25,.680,13,28,12,10,2,9,21,2025,texas-am
43969,4,2024-11-15,,Ohio State,W,78,64,19,49,.388,8,21,.381,32,40,.800,11,36,11,3,4,11,21,,20,59,.339,8,30,.267,16,22,.727,12,31,11,10,5,9,24,2025,texas-am
43970,5,2024-11-20,,Southern,W,71,54,26,69,.377,5,26,.192,14,26,.538,23,49,11,14,4,10,16,,21,54,.389,6,25,.240,6,11,.545,7,27,11,8,8,18,24,2025,texas-am
43971,6,2024-11-26,N,Oregon,L,70,80,22,68,.324,11,35,.314,15,20,.750,17,37,11,3,2,12,22,,25,55,.455,7,25,.280,23,31,.742,6,31,15,10,7,8,20,2025,texas-am
43972,7,2024-11-27,N,Creighton,W,77,73,28,71,.394,5,23,.217,16,23,.696,17,40,8,7,5,10,18,,23,60,.383,13,37,.351,14,16,.875,9,31,16,5,8,13,17,2025,texas-am
43973,8,2024-11-30,N,Rutgers,W,81,77,24,56,.429,2,15,.133,31,42,.738,8,29,9,5,6,12,19,,28,68,.412,6,26,.231,15,17,.882,11,35,15,7,1,16,29,2025,texas-am
43974,9,2024-12-03,,Wake Forest,W,57,44,19,49,.388,5,22,.227,14,17,.824,11,40,12,10,1,18,12,,17,60,.283,6,28,.214,4,7,.571,14,31,10,10,4,14,16,2025,texas-am
43975,10,2024-12-08,N,Texas Tech,W,72,67,25,67,.373,9,24,.375,13,18,.722,14,33,13,9,4,9,13,,23,51,.451,12,31,.387,9,12,.750,6,28,18,6,7,17,16,2025,texas-am
43976,11,2024-12-14,N,Purdue,W,70,66,22,50,.440,9,22,.409,17,24,.708,11,29,14,11,4,16,11,,24,53,.453,9,26,.346,9,10,.900,5,19,16,11,3,16,20,2025,texas-am
43977,12,2024-12-20,,Houston Christian,W,77,45,32,68,.471,7,17,.412,6,10,.600,15,46,11,9,9,9,15,,15,49,.306,2,20,.100,13,20,.650,7,24,6,8,4,11,13,2025,texas-am
