,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44033,1,2024-11-04,@,Xavier,L,69,78,24,58,.414,10,23,.435,11,13,.846,6,31,16,7,4,17,31,,19,51,.373,6,23,.261,34,41,.829,4,30,17,14,3,9,15,2025,texas-southern
44034,2,2024-11-06,,,W,100,66,39,78,.500,10,28,.357,12,20,.600,15,46,20,15,2,8,14,,24,63,.381,13,37,.351,5,15,.333,9,30,18,4,2,19,16,2025,texas-southern
44035,3,2024-11-10,@,Georgia,L,64,92,24,65,.369,1,19,.053,15,19,.789,3,18,11,10,4,4,27,,25,59,.424,12,34,.353,30,39,.769,13,45,17,3,12,14,16,2025,texas-southern
44036,4,2024-11-12,@,Georgia Tech,L,62,81,22,66,.333,6,14,.429,12,22,.545,13,36,12,8,2,12,24,,22,58,.379,11,36,.306,26,34,.765,13,43,14,3,5,14,19,2025,texas-southern
44037,5,2024-11-17,@,Samford,L,82,97,28,61,.459,3,16,.188,23,26,.885,12,37,20,6,2,16,13,,34,72,.472,20,44,.455,9,12,.750,10,28,21,10,4,9,21,2025,texas-southern
44038,6,2024-11-24,@,New Mexico,L,68,99,23,59,.390,9,18,.500,13,17,.765,6,31,14,4,3,18,18,,38,75,.507,11,27,.407,12,21,.571,13,40,19,10,9,7,16,2025,texas-southern
44039,7,2024-11-27,,Texas A&M-Kingsville,W,80,72,31,52,.596,8,14,.571,10,11,.909,3,31,13,4,3,13,12,,29,67,.433,9,28,.321,5,8,.625,5,20,13,5,3,7,13,2025,texas-southern
44040,8,2024-12-01,,Texas State,L,59,72,19,57,.333,5,22,.227,16,23,.696,15,31,8,9,5,14,12,,29,60,.483,5,14,.357,9,11,.818,11,32,18,9,6,14,14,2025,texas-southern
44041,9,2024-12-07,@,Sam Houston,L,71,87,27,62,.435,7,22,.318,10,15,.667,9,25,15,7,1,8,17,,29,61,.475,14,31,.452,15,24,.625,14,41,17,7,1,12,15,2025,texas-southern
44042,10,2024-12-14,@,Nevada,L,73,105,27,59,.458,9,21,.429,10,13,.769,5,21,18,6,2,13,19,,36,61,.590,18,36,.500,15,17,.882,7,31,30,8,2,9,13,2025,texas-southern
44043,11,2024-12-17,@,Boise State,L,51,82,18,63,.286,8,30,.267,7,12,.583,5,24,6,5,3,11,18,,26,60,.433,8,32,.250,22,30,.733,14,53,20,3,3,14,12,2025,texas-southern
44044,12,2024-12-21,@,Abilene Christian,L,65,69,23,55,.418,5,14,.357,14,19,.737,9,33,9,11,3,23,15,,28,66,.424,3,21,.143,10,15,.667,13,37,16,10,5,19,17,2025,texas-southern
44045,13,2024-12-28,,,W,103,68,43,79,.544,6,24,.250,11,13,.846,11,41,25,11,1,8,12,,24,66,.364,12,27,.444,8,9,.889,4,25,11,6,3,14,12,2025,texas-southern
44046,14,2025-01-04,,Southern,L,58,67,17,61,.279,5,18,.278,19,23,.826,11,32,8,12,8,15,17,,23,52,.442,12,27,.444,9,16,.563,5,32,10,10,4,18,16,2025,texas-southern
44047,15,2025-01-06,,Grambling,W (1 OT),71,66,26,66,.394,8,24,.333,11,14,.786,5,31,15,11,9,14,17,,22,66,.333,5,24,.208,17,22,.773,12,46,7,8,3,18,13,2025,texas-southern
44048,16,2025-01-11,@,Arkansas-Pine Bluff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,texas-southern
44049,17,2025-01-13,@,Mississippi Valley State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,texas-southern
44050,18,2025-01-18,,Alcorn State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,texas-southern
44051,19,2025-01-20,,Jackson State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,texas-southern
44052,20,2025-01-25,@,Alabama A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,texas-southern
44053,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,texas-southern
