,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44066,1,2024-11-04,,Eastern Michigan,W,64,44,20,48,.417,7,15,.467,17,21,.810,8,40,13,8,4,12,16,,17,58,.293,5,24,.208,5,15,.333,10,29,7,7,0,13,15,2025,texas-state
44067,2,2024-11-08,,McMurry,W,102,62,38,67,.567,8,20,.400,18,22,.818,8,44,24,10,4,12,13,,24,63,.381,9,27,.333,5,7,.714,2,21,9,6,2,16,16,2025,texas-state
44068,3,2024-11-12,@,TCU,L,71,76,24,57,.421,5,17,.294,18,21,.857,4,26,13,4,1,11,23,,28,52,.538,5,14,.357,15,32,.469,6,33,15,7,3,10,20,2025,texas-state
44069,4,2024-11-16,@,Abilene Christian,L,60,72,15,37,.405,3,8,.375,27,38,.711,3,21,6,8,3,15,20,,24,49,.490,8,13,.615,16,22,.727,9,32,14,11,4,19,32,2025,texas-state
44070,5,2024-11-21,N,Bradley,L,68,82,23,57,.404,2,9,.222,20,27,.741,8,32,9,6,2,11,24,,27,52,.519,12,27,.444,16,26,.615,5,30,17,6,3,9,20,2025,texas-state
44071,6,2024-11-22,N,Princeton,W,83,80,30,54,.556,6,15,.400,17,23,.739,10,31,15,8,5,13,18,,27,59,.458,12,29,.414,14,17,.824,9,24,15,8,0,9,18,2025,texas-state
44072,7,2024-11-24,N,Ohio,W,74,65,29,63,.460,3,8,.375,13,18,.722,16,43,13,6,4,9,16,,19,52,.365,8,28,.286,19,25,.760,6,24,10,8,4,7,17,2025,texas-state
44073,8,2024-12-01,@,Texas Southern,W,72,59,29,60,.483,5,14,.357,9,11,.818,11,32,18,9,6,14,14,,19,57,.333,5,22,.227,16,23,.696,15,31,8,9,5,14,12,2025,texas-state
44074,9,2024-12-04,,Arlington Baptist,W,97,49,35,64,.547,6,14,.429,21,33,.636,18,40,23,10,2,9,16,,18,44,.409,4,10,.400,9,15,.600,9,23,7,6,0,23,22,2025,texas-state
44075,10,2024-12-08,,Rice,W,75,66,25,54,.463,7,16,.438,18,20,.900,9,30,15,3,2,10,16,,22,55,.400,5,18,.278,17,25,.680,12,25,10,6,3,6,18,2025,texas-state
44076,11,2024-12-14,@,Florida Atlantic,L,80,89,29,56,.518,9,20,.450,13,15,.867,10,34,15,5,5,16,21,,31,59,.525,7,17,.412,20,29,.690,8,24,23,10,4,6,15,2025,texas-state
44077,12,2024-12-21,,Georgia Southern,W,83,61,30,56,.536,6,14,.429,17,20,.850,10,45,20,4,8,12,17,,20,65,.308,10,26,.385,11,19,.579,12,26,12,9,3,8,14,2025,texas-state
44078,13,2024-12-29,,UT Arlington,L,72,80,20,52,.385,4,17,.235,28,35,.800,9,30,11,6,3,8,22,,26,51,.510,3,10,.300,25,32,.781,8,34,7,8,2,10,23,2025,texas-state
44079,14,2025-01-02,@,Marshall,L,71,77,27,55,.491,4,16,.250,13,22,.591,6,26,4,6,2,8,26,,26,52,.500,4,13,.308,21,33,.636,9,32,14,4,6,10,22,2025,texas-state
