,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44098,1,2024-11-05,,Bethune-Cookman,W,94,61,36,63,.571,16,30,.533,6,10,.600,10,37,17,7,6,11,12,,25,60,.417,6,16,.375,5,10,.500,3,17,13,7,3,9,10,2025,texas-tech
44099,2,2024-11-08,,Northwestern State,W,86,65,29,57,.509,6,19,.316,22,29,.759,10,36,15,7,3,9,18,,22,59,.373,8,18,.444,13,22,.591,14,35,10,5,3,12,20,2025,texas-tech
44100,3,2024-11-13,,Wyoming,W,96,49,39,61,.639,10,18,.556,8,11,.727,11,34,21,17,1,13,16,,18,53,.340,3,14,.214,10,18,.556,15,27,5,6,0,24,14,2025,texas-tech
44101,4,2024-11-18,,Arkansas-Pine Bluff,W,98,64,37,62,.597,14,35,.400,10,12,.833,8,29,30,12,1,15,11,,25,48,.521,6,16,.375,8,13,.615,3,18,9,9,2,22,13,2025,texas-tech
44102,5,2024-11-21,N,St. Joseph's,L,77,78,28,66,.424,4,20,.200,17,20,.850,16,41,14,5,3,11,21,,23,50,.460,12,22,.545,20,29,.690,4,25,17,8,2,13,14,2025,texas-tech
44103,6,2024-11-22,N,Syracuse,W,79,74,27,63,.429,8,24,.333,17,21,.810,9,30,17,6,4,3,19,,22,53,.415,6,21,.286,24,28,.857,8,35,8,3,2,12,20,2025,texas-tech
44104,7,2024-11-29,,Northern Colorado,W,89,64,26,56,.464,13,23,.565,24,26,.923,13,43,14,6,2,15,16,,24,61,.393,6,23,.261,10,16,.625,8,26,9,12,2,11,19,2025,texas-tech
44105,8,2024-12-04,,DePaul,W,76,62,29,58,.500,5,17,.294,13,17,.765,8,31,11,11,0,6,10,,24,57,.421,11,35,.314,3,6,.500,5,27,16,3,4,14,18,2025,texas-tech
44106,9,2024-12-08,N,Texas A&M,L,67,72,23,51,.451,12,31,.387,9,12,.750,6,28,18,6,7,17,16,,25,67,.373,9,24,.375,13,18,.722,14,33,13,9,4,9,13,2025,texas-tech
44107,10,2024-12-16,,Oral Roberts,W,86,50,34,64,.531,10,29,.345,8,13,.615,12,38,26,7,4,10,11,,18,53,.340,7,25,.280,7,12,.583,7,25,7,6,2,14,13,2025,texas-tech
44108,11,2024-12-21,,Lamar,W,101,57,36,65,.554,13,29,.448,16,18,.889,10,36,19,9,4,6,10,,23,70,.329,6,20,.300,5,9,.556,16,31,10,3,4,12,12,2025,texas-tech
