,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44131,1,2024-11-04,@,Troy,L,74,84,28,69,.406,3,17,.176,15,17,.882,11,32,15,6,3,11,14,,35,67,.522,7,23,.304,7,13,.538,11,40,16,9,5,11,18,2025,toledo
44132,2,2024-11-09,@,Marshall,W,90,80,31,59,.525,4,12,.333,24,32,.750,7,35,10,5,3,9,16,,29,72,.403,9,32,.281,13,17,.765,13,35,15,3,5,9,21,2025,toledo
44133,3,2024-11-13,,Wright State,W,86,77,32,57,.561,6,13,.462,16,23,.696,6,35,18,3,9,10,15,,33,69,.478,4,16,.250,7,11,.636,8,31,10,8,3,7,24,2025,toledo
44134,4,2024-11-16,@,Detroit Mercy,W,82,67,29,65,.446,6,23,.261,18,24,.750,10,32,17,7,4,8,14,,25,58,.431,8,17,.471,9,16,.563,10,33,9,5,1,15,23,2025,toledo
44135,5,2024-11-21,N,Stetson,W,103,78,41,72,.569,13,26,.500,8,11,.727,6,25,18,10,1,5,17,,27,57,.474,8,20,.400,16,23,.696,10,33,18,3,2,15,10,2025,toledo
44136,6,2024-11-22,N,Jacksonville State,W,82,80,30,65,.462,14,25,.560,8,10,.800,7,24,18,6,4,4,12,,30,58,.517,9,24,.375,11,15,.733,9,35,9,3,4,13,10,2025,toledo
44137,7,2024-11-23,N,UC-San Diego,L,45,80,16,53,.302,6,25,.240,7,10,.700,7,26,6,4,0,16,10,,32,57,.561,11,30,.367,5,7,.714,4,30,15,11,1,10,17,2025,toledo
44138,8,2024-11-30,,Oakland,L,52,85,21,55,.382,3,16,.188,7,17,.412,6,27,12,2,1,8,13,,34,62,.548,11,22,.500,6,10,.600,8,37,12,6,2,5,15,2025,toledo
44139,9,2024-12-07,,Defiance,W,111,49,46,70,.657,6,17,.353,13,24,.542,14,47,28,11,4,5,13,,17,59,.288,8,25,.320,7,14,.500,4,18,10,2,2,14,18,2025,toledo
44140,10,2024-12-14,@,Youngstown State,L,87,93,28,60,.467,4,12,.333,27,37,.730,13,32,8,7,2,10,24,,29,59,.492,12,32,.375,23,28,.821,10,30,18,6,11,10,24,2025,toledo
44141,11,2024-12-18,@,Houston,L,49,78,16,54,.296,5,18,.278,12,18,.667,4,23,7,6,2,14,15,,30,67,.448,4,24,.167,14,19,.737,14,46,12,10,5,11,18,2025,toledo
44142,12,2024-12-29,@,Purdue,L,64,83,26,64,.406,2,14,.143,10,16,.625,17,40,7,5,1,13,13,,31,63,.492,10,28,.357,11,15,.733,10,31,22,9,2,6,15,2025,toledo
44143,13,2025-01-04,@,Western Michigan,W,76,70,25,64,.391,7,28,.250,19,25,.760,8,38,15,3,6,8,18,,26,76,.342,7,27,.259,11,18,.611,18,47,15,6,4,9,20,2025,toledo
44144,14,2025-01-07,,Eastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,toledo
44145,15,2025-01-10,,Central Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,toledo
44146,16,2025-01-14,@,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,toledo
44147,17,2025-01-18,@,Ball State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,toledo
44148,18,2025-01-21,,Kent State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,toledo
44149,19,2025-01-24,@,Bowling Green State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,toledo
44150,20,2025-01-28,@,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,toledo
44151,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,toledo
44152,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,toledo
44153,21,2025-02-01,,Northern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,toledo
44154,22,2025-02-04,,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,toledo
44155,23,2025-02-11,@,Miami (OH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,toledo
44156,24,2025-02-15,@,Eastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,toledo
44157,25,2025-02-18,,Ball State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,toledo
44158,26,2025-02-22,,Bowling Green State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,toledo
44159,27,2025-02-25,@,Kent State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,toledo
44160,28,2025-03-01,@,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,toledo
