,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44163,1,2024-11-04,@,Saint Mary's,L,69,76,27,64,.422,4,13,.308,11,19,.579,11,27,13,2,3,7,25,,25,54,.463,4,16,.250,22,29,.759,12,37,11,4,1,9,19,2025,towson
44164,2,2024-11-08,,Penn St.-Wilkes Barre,W,89,34,32,62,.516,14,34,.412,11,16,.688,11,38,18,15,6,8,12,,13,49,.265,2,14,.143,6,12,.500,7,26,9,2,1,18,13,2025,towson
44165,3,2024-11-12,@,South Carolina,L,54,80,16,54,.296,5,25,.200,17,29,.586,13,29,5,11,3,14,26,,26,52,.500,6,21,.286,22,30,.733,8,35,18,8,1,15,21,2025,towson
44166,4,2024-11-16,,James Madison,W,67,63,24,55,.436,9,21,.429,10,13,.769,5,28,9,9,3,8,13,,23,58,.397,9,28,.321,8,9,.889,7,30,12,6,4,11,13,2025,towson
44167,5,2024-11-20,@,Nicholls State,W,70,64,20,55,.364,10,31,.323,20,30,.667,11,37,10,5,3,7,18,,21,51,.412,4,18,.222,18,28,.643,5,26,1,4,4,6,19,2025,towson
44168,6,2024-11-24,@,Morgan State,W,64,60,21,59,.356,4,21,.190,18,27,.667,13,41,10,6,2,12,19,,21,53,.396,2,12,.167,16,23,.696,3,24,9,10,5,9,20,2025,towson
44169,7,2024-11-28,N,Kent State,L,54,65,18,46,.391,8,21,.381,10,15,.667,8,33,10,5,1,13,12,,26,61,.426,9,28,.321,4,8,.500,8,29,12,8,2,7,13,2025,towson
44170,8,2024-11-29,N,Kennesaw State,L (1 OT),63,67,25,75,.333,5,28,.179,8,12,.667,22,43,11,6,4,12,19,,22,59,.373,10,32,.313,13,24,.542,15,38,12,7,4,11,14,2025,towson
44171,9,2024-11-30,N,UC-Irvine,L,60,67,26,63,.413,2,10,.200,6,11,.545,9,23,8,10,2,8,16,,24,46,.522,6,12,.500,13,14,.929,6,33,13,5,5,17,10,2025,towson
44172,10,2024-12-07,,UMBC,L,71,84,30,78,.385,7,26,.269,4,9,.444,17,46,7,3,4,9,14,,31,60,.517,10,25,.400,12,16,.750,2,32,16,7,0,8,10,2025,towson
44173,11,2024-12-14,N,Duquesne,L,47,65,15,53,.283,5,18,.278,12,14,.857,9,22,5,8,2,6,16,,21,48,.438,11,26,.423,12,15,.800,11,33,14,2,6,10,16,2025,towson
44174,12,2024-12-17,@,Robert Morris,L,67,68,25,46,.543,5,11,.455,12,15,.800,6,21,13,7,3,15,19,,23,47,.489,7,18,.389,15,21,.714,7,20,8,8,5,13,11,2025,towson
44175,13,2024-12-22,,Bryant,W,70,65,26,64,.406,5,24,.208,13,17,.765,12,42,10,6,3,11,14,,24,60,.400,8,22,.364,9,11,.818,6,30,11,6,3,10,15,2025,towson
44176,14,2025-01-02,@,UNC Wilmington,W (1 OT),65,61,25,71,.352,8,28,.286,7,11,.636,14,44,9,4,6,5,18,,20,59,.339,8,24,.333,13,20,.650,9,36,11,4,4,6,17,2025,towson
44177,15,2025-01-04,@,College of Charleston,L,69,77,29,69,.420,8,23,.348,3,9,.333,11,33,12,2,2,7,23,,23,50,.460,7,18,.389,24,26,.923,4,33,15,4,1,8,12,2025,towson
44178,16,2025-01-09,,Northeastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,towson
44179,17,2025-01-11,@,Drexel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,towson
44180,18,2025-01-16,,Hofstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,towson
44181,19,2025-01-18,,Stony Brook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,towson
44182,20,2025-01-23,,North Carolina A&T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,towson
44183,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,towson
44184,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,towson
44185,21,2025-01-27,@,Northeastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,towson
