,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44196,1,2024-11-04,,Toledo,W,84,74,35,67,.522,7,23,.304,7,13,.538,11,40,16,9,5,11,18,,28,69,.406,3,17,.176,15,17,.882,11,32,15,6,3,11,14,2025,troy
44197,2,2024-11-09,@,New Orleans,W,78,61,27,63,.429,7,23,.304,17,23,.739,17,44,18,11,4,21,18,,24,65,.369,4,20,.200,9,20,.450,10,30,15,10,5,15,22,2025,troy
44198,3,2024-11-13,@,Arkansas,L,49,65,21,55,.382,3,19,.158,4,7,.571,10,32,12,8,5,24,16,,24,56,.429,10,23,.435,7,14,.500,8,26,14,16,11,14,11,2025,troy
44199,4,2024-11-17,@,Oregon,L,61,82,25,67,.373,3,25,.120,8,10,.800,12,30,14,9,3,17,21,,29,56,.518,7,22,.318,17,19,.895,9,33,19,8,3,16,18,2025,troy
44200,5,2024-11-19,@,West Georgia,W,84,65,25,49,.510,10,25,.400,24,27,.889,10,24,16,11,1,10,12,,28,61,.459,4,13,.308,5,6,.833,12,26,10,4,1,14,17,2025,troy
44201,6,2024-11-25,,UTSA,W,86,72,28,51,.549,11,20,.550,19,25,.760,7,25,16,15,3,15,16,,24,55,.436,13,28,.464,11,13,.846,10,25,12,10,1,20,20,2025,troy
44202,7,2024-11-29,,Merrimack,L,68,72,22,48,.458,5,19,.263,19,30,.633,11,31,13,12,2,13,9,,27,49,.551,14,25,.560,4,6,.667,3,23,11,8,2,14,21,2025,troy
44203,8,2024-12-01,,Eastern Kentucky,W,84,74,29,50,.580,8,17,.471,18,20,.900,8,30,18,6,3,15,14,,29,62,.468,4,22,.182,12,16,.750,8,19,13,11,4,10,15,2025,troy
44204,9,2024-12-10,@,Houston,L,42,62,12,50,.240,2,18,.111,16,22,.727,11,24,4,5,3,9,18,,22,51,.431,9,19,.474,9,14,.643,10,34,17,7,9,8,16,2025,troy
44205,10,2024-12-14,,Middle Georgia State,W,87,53,31,63,.492,4,28,.143,21,34,.618,16,52,16,13,7,19,17,,20,64,.313,1,14,.071,12,21,.571,13,32,6,11,0,20,21,2025,troy
44206,11,2024-12-17,,LaGrange,W,105,60,36,68,.529,10,29,.345,23,33,.697,21,47,19,15,9,15,22,,17,57,.298,7,19,.368,19,28,.679,15,29,8,11,2,20,19,2025,troy
44207,12,2024-12-21,,Georgia State,W,77,57,26,60,.433,7,24,.292,18,25,.720,14,37,14,9,3,11,16,,22,54,.407,6,24,.250,7,15,.467,8,24,12,3,1,13,18,2025,troy
44208,13,2025-01-02,@,Appalachian State,W,69,61,25,57,.439,12,35,.343,7,10,.700,9,35,18,7,5,12,16,,21,56,.375,8,26,.308,11,16,.688,7,27,14,10,2,8,10,2025,troy
44209,14,2025-01-04,@,Marshall,W,58,57,19,51,.373,7,31,.226,13,17,.765,10,33,10,8,2,14,20,,22,56,.393,3,16,.188,10,17,.588,12,31,11,8,5,13,17,2025,troy
44210,15,2025-01-09,,Texas State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,troy
