,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44227,1,2024-11-04,,Louisiana Christian,W,76,42,25,60,.417,10,24,.417,16,22,.727,9,43,17,4,10,11,15,,14,57,.246,3,22,.136,11,17,.647,7,32,8,6,7,10,21,2025,tulane
44228,2,2024-11-08,,Louisiana-Monroe,W,80,64,28,60,.467,10,25,.400,14,26,.538,8,34,13,13,3,11,16,,20,66,.303,11,36,.306,13,16,.813,15,45,16,7,2,17,21,2025,tulane
44229,3,2024-11-11,,Alcorn State,W,84,51,27,59,.458,15,35,.429,15,15,1.000,9,32,21,8,8,11,17,,20,56,.357,1,10,.100,10,16,.625,13,28,13,7,6,16,13,2025,tulane
44230,4,2024-11-15,@,Furman,L,67,75,23,54,.426,6,18,.333,15,19,.789,7,33,13,4,5,12,19,,22,58,.379,13,36,.361,18,22,.818,7,30,19,6,4,6,13,2025,tulane
44231,5,2024-11-19,,Bethune-Cookman,W,72,57,26,63,.413,9,28,.321,11,18,.611,15,45,16,5,7,12,16,,19,62,.306,6,25,.240,13,19,.684,10,34,10,8,1,10,15,2025,tulane
44232,6,2024-11-22,,New Orleans,L (1 OT),87,93,27,67,.403,7,26,.269,26,33,.788,9,35,13,8,4,11,24,,31,62,.500,10,26,.385,21,31,.677,7,37,17,10,3,12,21,2025,tulane
44233,7,2024-11-26,N,Wyoming,L,63,64,20,59,.339,4,20,.200,19,23,.826,6,30,10,8,7,5,23,,21,53,.396,4,22,.182,18,26,.692,7,38,9,2,4,11,18,2025,tulane
44234,8,2024-11-27,N,Belmont,L,66,89,23,59,.390,6,22,.273,14,18,.778,12,35,11,3,4,15,15,,31,66,.470,18,42,.429,9,12,.750,9,32,24,5,6,5,15,2025,tulane
44235,9,2024-12-02,,Southeastern Louisiana,L,67,71,24,57,.421,13,33,.394,6,8,.750,8,28,22,9,9,14,13,,27,62,.435,8,20,.400,9,10,.900,10,33,16,10,4,12,9,2025,tulane
44236,10,2024-12-07,@,George Mason,L,64,76,23,56,.411,10,27,.370,8,10,.800,6,25,12,4,4,7,21,,24,55,.436,8,20,.400,20,24,.833,9,35,12,5,2,9,12,2025,tulane
44237,11,2024-12-10,,Southern Miss,W,86,58,30,61,.492,8,22,.364,18,21,.857,6,29,19,13,5,7,15,,19,52,.365,8,26,.308,12,18,.667,7,31,15,6,4,19,19,2025,tulane
