,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44293,1,2024-11-04,,Rider,W,85,50,34,65,.523,10,29,.345,7,12,.583,13,41,21,6,9,9,13,,20,63,.317,5,20,.250,5,13,.385,16,34,13,6,2,11,17,2025,ucla
44294,2,2024-11-08,N,New Mexico,L,64,72,20,55,.364,5,23,.217,19,27,.704,13,32,13,12,3,21,24,,25,49,.510,6,15,.400,16,23,.696,6,29,14,12,3,22,26,2025,ucla
44295,3,2024-11-11,,Boston University,W,71,40,24,60,.400,5,22,.227,18,21,.857,11,35,14,14,2,15,15,,14,46,.304,6,24,.250,6,9,.667,6,25,10,9,1,27,22,2025,ucla
44296,4,2024-11-15,,Lehigh,W,85,45,31,56,.554,3,13,.231,20,26,.769,10,41,14,5,0,8,19,,15,51,.294,6,24,.250,9,15,.600,4,18,7,2,0,11,20,2025,ucla
44297,5,2024-11-20,,Idaho State,W,84,70,27,47,.574,9,14,.643,21,26,.808,7,23,16,7,0,11,18,,24,54,.444,11,33,.333,11,14,.786,10,20,12,6,1,11,21,2025,ucla
44298,6,2024-11-22,,Cal State Fullerton,W,80,47,30,60,.500,6,18,.333,14,23,.609,9,27,22,14,4,7,14,,15,52,.288,5,24,.208,12,13,.923,11,36,10,6,0,19,19,2025,ucla
44299,7,2024-11-26,,Southern Utah,W,88,43,38,80,.475,6,20,.300,6,9,.667,16,36,21,15,4,8,20,,14,40,.350,4,16,.250,11,15,.733,4,22,8,1,5,30,16,2025,ucla
44300,8,2024-12-03,,Washington,W,69,58,25,60,.417,8,21,.381,11,22,.500,11,33,16,6,3,7,17,,19,49,.388,3,16,.188,17,24,.708,10,38,12,6,1,12,19,2025,ucla
44301,9,2024-12-08,@,Oregon,W,73,71,28,62,.452,12,23,.522,5,7,.714,6,23,10,7,1,8,15,,26,55,.473,9,21,.429,10,14,.714,9,33,15,6,5,12,11,2025,ucla
44302,10,2024-12-14,N,Arizona,W,57,54,23,51,.451,4,21,.190,7,16,.438,5,19,10,10,1,14,16,,19,42,.452,2,16,.125,14,19,.737,8,29,11,8,2,22,16,2025,ucla
44303,11,2024-12-17,,Prairie View,W,111,75,36,61,.590,10,21,.476,29,37,.784,12,38,26,6,4,10,20,,24,51,.471,10,21,.476,17,24,.708,5,20,16,8,2,16,23,2025,ucla
44304,12,2024-12-21,N,UNC,L,74,76,26,53,.491,9,18,.500,13,22,.591,7,28,17,10,1,12,25,,22,47,.468,8,23,.348,24,35,.686,6,30,11,4,4,18,22,2025,ucla
44305,13,2024-12-28,N,Gonzaga,W,65,62,20,55,.364,12,24,.500,13,18,.722,11,35,16,9,3,11,15,,25,55,.455,7,24,.292,5,8,.625,8,30,17,3,2,15,15,2025,ucla
44306,14,2025-01-04,@,Nebraska,L,58,66,22,57,.386,4,28,.143,10,13,.769,6,32,13,5,2,15,24,,17,52,.327,7,25,.280,25,29,.862,7,35,11,10,1,13,16,2025,ucla
44307,15,2025-01-07,,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ucla
44308,16,2025-01-10,@,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ucla
44309,17,2025-01-13,@,Rutgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ucla
44310,18,2025-01-17,,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ucla
44311,19,2025-01-21,,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ucla
44312,20,2025-01-24,@,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ucla
44313,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,ucla
44314,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,ucla
44315,21,2025-01-27,@,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ucla
44316,22,2025-01-30,,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ucla
44317,23,2025-02-04,,Michigan State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ucla
