,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44326,1,2024-11-04,,Alcorn State,W,100,59,32,57,.561,19,38,.500,17,25,.680,10,31,29,10,2,10,18,,20,55,.364,3,11,.273,16,22,.727,13,25,9,7,1,14,19,2025,utah
44327,2,2024-11-07,,Central Arkansas,W,98,63,30,65,.462,19,50,.380,19,23,.826,8,43,23,12,8,13,15,,21,67,.313,11,40,.275,10,14,.714,7,32,14,8,1,13,20,2025,utah
44328,3,2024-11-12,,Queens (NC),W,96,65,35,72,.486,14,30,.467,12,19,.632,13,47,15,9,3,13,18,,23,64,.359,9,30,.300,10,16,.625,7,28,11,6,9,13,18,2025,utah
44329,4,2024-11-17,N,Mississippi State,L,73,78,28,62,.452,9,28,.321,8,14,.571,9,40,15,3,2,12,26,,24,67,.358,6,25,.240,24,33,.727,17,44,15,8,7,7,15,2025,utah
44330,5,2024-11-22,,Utah Tech,W,84,53,32,66,.485,8,27,.296,12,18,.667,10,45,24,8,7,12,14,,20,66,.303,7,23,.304,6,14,.429,10,34,8,8,4,15,13,2025,utah
44331,6,2024-11-26,,Mississippi Valley State,W,94,48,33,59,.559,14,29,.483,14,20,.700,12,37,29,8,1,10,18,,16,47,.340,4,12,.333,12,18,.667,6,20,9,5,0,14,18,2025,utah
44332,7,2024-11-30,,Eastern Washington,W,88,80,28,58,.483,4,19,.211,28,45,.622,15,36,14,4,4,8,18,,26,57,.456,11,30,.367,17,18,.944,5,28,17,4,5,10,26,2025,utah
44333,8,2024-12-07,,Saint Mary's,L,63,72,24,64,.375,5,18,.278,10,17,.588,14,39,14,6,2,10,18,,25,57,.439,8,21,.381,14,23,.609,8,37,13,5,4,12,18,2025,utah
44334,9,2024-12-14,,Radford,W,81,63,28,60,.467,10,28,.357,15,21,.714,5,28,22,8,5,8,12,,23,56,.411,7,23,.304,10,12,.833,8,34,8,5,7,16,19,2025,utah
44335,10,2024-12-17,,Florida A&M,W,89,59,34,62,.548,11,29,.379,10,24,.417,10,34,25,11,3,10,18,,20,53,.377,9,27,.333,10,14,.714,7,24,11,3,3,18,17,2025,utah
44336,11,2024-12-21,N,Iowa,L,88,95,35,68,.515,7,21,.333,11,16,.688,9,34,24,8,3,11,18,,34,64,.531,9,20,.450,18,24,.750,8,27,15,8,5,11,14,2025,utah
44337,12,2024-12-31,@,Baylor,L,56,81,21,66,.318,7,30,.233,7,13,.538,10,35,17,8,5,17,17,,28,69,.406,9,32,.281,16,18,.889,13,44,13,11,8,11,18,2025,utah
44338,13,2025-01-04,,Texas Tech,L,65,93,22,52,.423,6,23,.261,15,26,.577,13,27,15,2,2,9,15,,34,58,.586,12,26,.462,13,18,.722,8,27,24,7,2,4,19,2025,utah
44339,14,2025-01-07,@,Iowa State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,utah
44340,15,2025-01-11,,Oklahoma State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,utah
44341,16,2025-01-15,@,TCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,utah
44342,17,2025-01-18,,BYU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,utah
44343,18,2025-01-21,@,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,utah
