,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44424,1,2024-11-04,N,Liberty,L,63,83,22,63,.349,2,15,.133,17,21,.810,8,30,7,1,2,8,13,,32,59,.542,10,24,.417,9,13,.692,4,32,15,6,5,5,16,2025,valparaiso
44425,2,2024-11-08,,Concordia (MI),W,111,46,46,79,.582,11,23,.478,8,9,.889,13,60,28,2,8,7,12,,17,71,.239,6,30,.200,6,8,.750,5,24,8,5,4,9,16,2025,valparaiso
44426,3,2024-11-12,,Cleveland State,L,67,75,22,54,.407,4,19,.211,19,24,.792,9,25,8,7,2,13,14,,30,58,.517,5,14,.357,10,13,.769,8,28,15,7,6,15,19,2025,valparaiso
44427,4,2024-11-21,,Lindenwood,W,77,64,26,57,.456,6,20,.300,19,22,.864,9,29,14,6,4,14,12,,26,61,.426,7,23,.304,5,11,.455,9,31,7,11,2,15,20,2025,valparaiso
44428,5,2024-11-24,,Eastern Illinois,W,81,53,24,62,.387,10,31,.323,23,25,.920,17,44,17,6,2,7,17,,19,48,.396,5,18,.278,10,20,.500,7,28,7,6,3,11,19,2025,valparaiso
44429,6,2024-11-27,,Northern Illinois,W,87,82,23,59,.390,6,21,.286,35,44,.795,9,31,8,5,3,4,20,,25,55,.455,10,22,.455,22,30,.733,7,39,11,3,4,13,32,2025,valparaiso
44430,7,2024-11-29,@,DePaul,L,70,89,27,65,.415,9,26,.346,7,11,.636,11,30,17,6,2,9,14,,32,61,.525,12,28,.429,13,19,.684,11,37,23,8,8,8,15,2025,valparaiso
44431,8,2024-12-05,,Drake,L,60,66,19,46,.413,10,27,.370,12,18,.667,2,17,9,5,0,10,20,,23,42,.548,4,14,.286,16,26,.615,6,28,8,8,0,8,18,2025,valparaiso
44432,9,2024-12-14,,Central Michigan,W,93,77,27,58,.466,11,26,.423,28,31,.903,9,32,12,9,1,15,24,,23,55,.418,4,17,.235,27,34,.794,4,25,5,8,1,16,18,2025,valparaiso
44433,10,2024-12-17,@,Ohio State,L,73,95,24,67,.358,5,24,.208,20,23,.870,12,31,5,2,4,10,22,,33,61,.541,6,19,.316,23,27,.852,8,36,14,7,2,10,20,2025,valparaiso
44434,11,2024-12-20,@,Western Michigan,W,76,73,29,63,.460,5,18,.278,13,19,.684,9,33,6,4,6,8,17,,31,68,.456,4,18,.222,7,14,.500,12,36,18,2,3,9,16,2025,valparaiso
44435,12,2024-12-22,,Calumet College,W,107,57,37,62,.597,16,29,.552,17,23,.739,12,47,24,9,6,16,8,,22,60,.367,9,26,.346,4,6,.667,3,16,11,8,3,14,18,2025,valparaiso
44436,13,2024-12-29,@,Bradley,L (2 OT),75,81,22,64,.344,7,24,.292,24,33,.727,15,45,14,6,6,13,20,,28,70,.400,7,25,.280,18,21,.857,9,34,12,9,4,10,21,2025,valparaiso
44437,14,2025-01-01,@,Missouri State,W,73,72,28,53,.528,6,18,.333,11,15,.733,5,18,9,8,1,8,16,,29,50,.580,8,18,.444,6,16,.375,9,25,15,5,2,13,13,2025,valparaiso
44438,15,2025-01-04,,Northern Iowa,W,80,73,25,59,.424,9,29,.310,21,24,.875,7,28,13,8,3,6,17,,25,50,.500,5,20,.250,18,26,.692,5,32,10,2,3,14,18,2025,valparaiso
44439,16,2025-01-08,,Indiana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,valparaiso
44440,17,2025-01-11,@,Murray State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,valparaiso
44441,18,2025-01-14,@,Belmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,valparaiso
44442,19,2025-01-18,,UIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,valparaiso
44443,20,2025-01-22,@,Drake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,valparaiso
44444,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,valparaiso
44445,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,valparaiso
44446,21,2025-01-25,,Evansville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,valparaiso
44447,22,2025-01-28,,Southern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,valparaiso
44448,23,2025-02-01,@,Illinois State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,valparaiso
44449,24,2025-02-05,@,Indiana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,valparaiso
44450,25,2025-02-08,,Murray State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,valparaiso
44451,26,2025-02-12,,Belmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,valparaiso
44452,27,2025-02-16,@,Evansville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,valparaiso
44453,28,2025-02-19,,Missouri State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,valparaiso
