,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44490,1,2024-11-04,@,UAB,W,67,62,22,58,.379,10,27,.370,13,16,.813,6,28,11,4,4,5,14,,26,68,.382,0,10,.000,10,15,.667,14,44,3,4,8,7,15,2025,vermont
44491,2,2024-11-06,@,Auburn,L,43,94,15,58,.259,5,23,.217,8,11,.727,9,25,6,6,3,15,10,,36,64,.563,16,35,.457,6,11,.545,7,42,15,10,7,9,15,2025,vermont
44492,3,2024-11-09,@,Merrimack,L,51,65,19,57,.333,8,27,.296,5,6,.833,12,33,9,6,3,16,14,,24,61,.393,8,18,.444,9,10,.900,12,36,8,9,3,10,12,2025,vermont
44493,4,2024-11-15,@,Iona,L,59,62,21,46,.457,8,25,.320,9,12,.750,1,18,12,8,7,14,21,,21,57,.368,5,19,.263,15,23,.652,15,38,8,8,1,18,15,2025,vermont
44494,5,2024-11-19,,Buffalo,W,78,67,27,57,.474,9,21,.429,15,22,.682,7,31,12,3,6,3,17,,23,55,.418,6,19,.316,15,22,.682,8,33,8,1,5,11,20,2025,vermont
44495,6,2024-11-23,N,Delaware,W,75,71,25,56,.446,9,27,.333,16,21,.762,8,29,13,6,1,10,13,,23,48,.479,8,21,.381,17,19,.895,0,23,9,3,2,15,17,2025,vermont
44496,7,2024-11-24,N,Fairfield,L,66,67,22,49,.449,8,25,.320,14,17,.824,5,23,11,5,3,13,14,,26,51,.510,6,15,.400,9,12,.750,6,27,16,6,3,9,12,2025,vermont
44497,8,2024-11-27,,SUNY-Plattsburgh,W,78,55,25,45,.556,6,20,.300,22,30,.733,8,36,20,8,9,19,14,,21,58,.362,3,15,.200,10,17,.588,11,28,8,12,1,17,26,2025,vermont
44498,9,2024-11-30,,Northeastern,W,68,64,21,43,.488,7,18,.389,19,26,.731,6,35,10,4,8,19,19,,24,64,.375,1,15,.067,15,22,.682,12,30,7,15,2,8,21,2025,vermont
44499,10,2024-12-03,,Brown,L,53,60,22,58,.379,5,21,.238,4,6,.667,10,32,8,5,5,7,9,,24,58,.414,7,21,.333,5,7,.714,10,31,10,5,4,6,12,2025,vermont
