,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44589,1,2024-11-04,,Bellarmine,W,84,65,29,55,.527,15,29,.517,11,17,.647,11,32,20,7,10,16,17,,26,56,.464,4,13,.308,9,13,.692,9,26,8,10,1,13,23,2025,virginia-commonwealth
44590,2,2024-11-08,N,Boston College,W,80,55,26,60,.433,8,27,.296,20,29,.690,10,39,14,7,5,12,21,,17,58,.293,2,11,.182,19,29,.655,13,34,4,6,6,17,22,2025,virginia-commonwealth
44591,3,2024-11-13,,Merrimack,W,63,42,19,50,.380,5,24,.208,20,27,.741,8,36,16,15,5,17,22,,12,43,.279,1,19,.053,17,24,.708,5,27,3,10,3,21,20,2025,virginia-commonwealth
44592,4,2024-11-16,,Loyola (MD),W,83,57,30,61,.492,8,26,.308,15,22,.682,12,38,19,12,6,10,21,,19,57,.333,7,19,.368,12,19,.632,9,29,10,8,0,16,17,2025,virginia-commonwealth
44593,5,2024-11-21,N,Seton Hall,L (1 OT),66,69,22,60,.367,9,37,.243,13,18,.722,7,30,11,7,5,14,24,,23,55,.418,7,12,.583,16,25,.640,8,40,9,4,2,16,19,2025,virginia-commonwealth
44594,6,2024-11-22,N,Nevada,L,61,64,20,51,.392,10,31,.323,11,14,.786,9,30,12,7,4,11,21,,21,44,.477,7,13,.538,15,26,.577,5,27,12,6,1,11,15,2025,virginia-commonwealth
44595,7,2024-11-24,N,Miami (FL),W,77,70,28,55,.509,10,28,.357,11,15,.733,9,32,15,5,6,11,19,,24,60,.400,6,23,.261,16,19,.842,10,29,13,6,0,8,14,2025,virginia-commonwealth
44596,8,2024-11-29,,Elizabeth City State,W,103,58,34,68,.500,11,37,.297,24,33,.727,18,50,18,4,7,14,20,,19,61,.311,3,15,.200,17,26,.654,12,31,14,7,0,17,22,2025,virginia-commonwealth
44597,9,2024-12-04,,Georgia Southern,W,89,54,25,54,.463,12,32,.375,27,34,.794,12,37,18,6,6,12,14,,18,60,.300,6,21,.286,12,17,.706,12,30,9,8,2,14,25,2025,virginia-commonwealth
44598,10,2024-12-09,,Penn,W,66,47,26,67,.388,6,25,.240,8,11,.727,15,39,12,7,5,10,11,,18,50,.360,5,27,.185,6,7,.857,4,23,9,7,0,15,14,2025,virginia-commonwealth
44599,11,2024-12-14,N,Colorado State,W,76,68,25,57,.439,11,30,.367,15,25,.600,12,32,14,8,5,8,13,,26,51,.510,5,15,.333,11,13,.846,5,28,11,3,3,14,18,2025,virginia-commonwealth
44600,12,2024-12-18,@,New Mexico,L,71,78,24,57,.421,10,31,.323,13,24,.542,4,27,13,8,6,10,21,,27,64,.422,3,11,.273,21,30,.700,13,41,6,7,1,11,19,2025,virginia-commonwealth
44601,13,2024-12-22,,William & Mary,W,90,70,35,74,.473,7,28,.250,13,18,.722,15,36,25,10,8,7,13,,27,58,.466,10,24,.417,6,11,.545,8,30,14,4,2,16,13,2025,virginia-commonwealth
