,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44556,1,2024-11-06,,Campbell,W,65,56,24,42,.571,6,13,.462,11,18,.611,4,32,17,3,6,10,14,,21,56,.375,11,29,.379,3,4,.750,7,25,14,7,1,7,17,2025,virginia
44557,2,2024-11-11,,Coppin State,W,62,45,21,52,.404,9,27,.333,11,12,.917,6,38,14,7,11,12,13,,14,50,.280,4,19,.211,13,16,.813,3,28,7,8,1,10,8,2025,virginia
44558,3,2024-11-15,N,Villanova,W,70,60,25,49,.510,14,25,.560,6,9,.667,3,25,14,6,1,12,16,,19,54,.352,9,32,.281,13,17,.765,10,32,8,8,0,13,14,2025,virginia
44559,4,2024-11-21,N,Tennessee,L,42,64,14,49,.286,6,20,.300,8,11,.727,7,28,9,0,5,16,15,,25,66,.379,9,25,.360,5,10,.500,14,38,11,8,7,6,12,2025,virginia
44560,5,2024-11-22,N,St. John's (NY),L,55,80,18,45,.400,9,28,.321,10,18,.556,6,25,12,4,1,15,9,,32,61,.525,10,24,.417,6,10,.600,11,31,19,13,3,6,14,2025,virginia
44561,6,2024-11-26,,Manhattan,W,74,65,29,54,.537,6,14,.429,10,15,.667,7,24,15,12,2,8,13,,23,53,.434,11,26,.423,8,10,.800,10,29,11,2,1,14,17,2025,virginia
44562,7,2024-11-29,,Holy Cross,W,67,41,24,55,.436,9,25,.360,10,12,.833,7,33,20,4,4,6,10,,17,51,.333,5,22,.227,2,5,.400,5,28,7,4,2,10,15,2025,virginia
44563,8,2024-12-04,@,Florida,L,69,87,26,57,.456,8,21,.381,9,10,.900,13,30,14,2,2,12,17,,31,60,.517,10,25,.400,15,21,.714,11,30,14,9,3,6,12,2025,virginia
44564,9,2024-12-07,@,SMU,L,51,63,16,47,.340,8,19,.421,11,12,.917,2,23,11,8,2,13,19,,21,49,.429,6,24,.250,15,20,.750,8,34,13,8,2,10,15,2025,virginia
44565,10,2024-12-12,,Bethune-Cookman,W,59,41,22,50,.440,7,23,.304,8,12,.667,10,40,15,4,7,11,8,,17,55,.309,5,20,.250,2,6,.333,6,26,8,9,2,8,12,2025,virginia
44566,11,2024-12-18,,Memphis,L,62,64,21,53,.396,6,19,.316,14,18,.778,7,27,14,8,7,8,19,,21,56,.375,5,23,.217,17,21,.810,14,37,11,3,6,12,17,2025,virginia
44567,12,2024-12-22,,American,W,63,58,23,50,.460,8,19,.421,9,14,.643,6,30,17,4,3,6,10,,19,50,.380,11,31,.355,9,9,1.000,2,24,13,5,3,6,14,2025,virginia
44568,13,2024-12-31,,NC State,W,70,67,26,48,.542,9,20,.450,9,12,.750,3,20,18,3,4,7,15,,24,54,.444,8,23,.348,11,15,.733,11,31,14,4,0,11,16,2025,virginia
44569,14,2025-01-04,,Louisville,L,50,70,20,54,.370,5,26,.192,5,6,.833,6,22,13,5,6,9,16,,25,57,.439,7,19,.368,13,14,.929,11,39,15,6,5,8,11,2025,virginia
44570,15,2025-01-08,@,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia
44571,16,2025-01-11,@,Stanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia
44572,17,2025-01-15,,SMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia
44573,18,2025-01-18,@,Louisville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia
44574,19,2025-01-21,,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia
44575,20,2025-01-25,,Notre Dame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia
44576,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,virginia
44577,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,virginia
44578,21,2025-01-29,@,Miami (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia
44579,22,2025-02-01,,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia
44580,23,2025-02-03,@,Pitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia
44581,24,2025-02-08,,Georgia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia
44582,25,2025-02-15,@,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia
44583,26,2025-02-17,,Duke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia
44584,27,2025-02-22,@,UNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia
44585,28,2025-02-26,@,Wake Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia
44586,29,2025-03-01,,Clemson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia
44587,30,2025-03-04,,Florida State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia
