,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44622,1,2024-11-04,,Delaware State,W,83,60,26,55,.473,9,28,.321,22,33,.667,11,38,20,6,5,14,21,,17,49,.347,3,10,.300,23,30,.767,9,27,8,9,1,16,23,2025,virginia-tech
44623,2,2024-11-08,,USC Upstate,W,93,74,31,62,.500,8,21,.381,23,30,.767,11,30,14,3,3,7,16,,28,55,.509,9,21,.429,9,13,.692,5,23,15,3,3,17,22,2025,virginia-tech
44624,3,2024-11-11,,Winthrop,W,58,52,19,57,.333,8,29,.276,12,18,.667,13,37,9,6,3,11,17,,20,58,.345,5,32,.156,7,13,.538,8,28,8,2,3,11,17,2025,virginia-tech
44625,4,2024-11-15,N,Penn State,L,64,86,20,45,.444,5,18,.278,19,26,.731,8,31,13,3,2,24,28,,28,55,.509,8,22,.364,22,30,.733,5,23,16,16,3,12,22,2025,virginia-tech
44626,5,2024-11-20,,Jacksonville,L,64,74,23,56,.411,6,18,.333,12,20,.600,12,31,16,5,0,16,11,,31,60,.517,7,25,.280,5,8,.625,6,30,17,8,6,13,18,2025,virginia-tech
44627,6,2024-11-25,N,Michigan,L,63,75,20,58,.345,4,17,.235,19,24,.792,13,32,5,7,0,17,20,,25,62,.403,10,34,.294,15,20,.750,11,30,17,7,5,14,16,2025,virginia-tech
44628,7,2024-11-27,N,South Carolina,L,60,70,23,59,.390,8,18,.444,6,9,.667,4,29,10,5,2,9,20,,23,52,.442,11,32,.344,13,21,.619,8,32,13,4,3,9,12,2025,virginia-tech
44629,8,2024-12-04,,Vanderbilt,L,64,80,23,60,.383,8,29,.276,10,13,.769,12,34,11,7,1,14,16,,29,55,.527,9,27,.333,13,18,.722,3,21,14,10,6,8,11,2025,virginia-tech
44630,9,2024-12-07,,Pitt,L,59,64,23,53,.434,8,25,.320,5,7,.714,6,27,13,4,0,17,17,,23,56,.411,6,28,.214,12,12,1.000,9,30,10,7,5,12,11,2025,virginia-tech
44631,10,2024-12-12,,North Carolina A&T,W,95,67,35,70,.500,14,36,.389,11,16,.688,12,44,24,7,5,15,24,,22,58,.379,5,18,.278,18,28,.643,8,28,10,7,3,13,10,2025,virginia-tech
44632,11,2024-12-15,,Navy,W,80,72,27,51,.529,10,18,.556,16,18,.889,6,17,13,7,1,9,18,,24,51,.471,9,27,.333,15,16,.938,15,30,12,4,3,15,16,2025,virginia-tech
44633,12,2024-12-21,N,St. Joseph's,L,62,82,22,54,.407,7,22,.318,11,13,.846,4,26,15,6,2,12,15,,27,58,.466,15,32,.469,13,14,.929,6,27,19,9,8,9,14,2025,virginia-tech
44634,13,2024-12-31,@,Duke,L,65,88,23,50,.460,8,21,.381,11,15,.733,4,19,14,5,0,12,14,,31,58,.534,11,29,.379,15,15,1.000,9,33,19,7,4,9,15,2025,virginia-tech
44635,14,2025-01-04,,Miami (FL),W,86,85,32,59,.542,9,20,.450,13,15,.867,8,25,23,8,0,11,16,,33,56,.589,8,17,.471,11,17,.647,7,22,19,7,6,11,13,2025,virginia-tech
44636,15,2025-01-08,@,Stanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia-tech
44637,16,2025-01-11,@,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia-tech
44638,17,2025-01-15,,NC State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia-tech
44639,18,2025-01-18,,Wake Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia-tech
44640,19,2025-01-22,@,Georgia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia-tech
44641,20,2025-01-25,,Clemson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia-tech
44642,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,virginia-tech
44643,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,virginia-tech
44644,21,2025-01-29,@,Florida State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia-tech
44645,22,2025-02-01,@,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia-tech
44646,23,2025-02-05,,SMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia-tech
44647,24,2025-02-08,@,Notre Dame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia-tech
44648,25,2025-02-15,,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia-tech
44649,26,2025-02-18,@,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia-tech
44650,27,2025-02-22,@,Miami (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia-tech
44651,28,2025-02-25,,Louisville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia-tech
44652,29,2025-03-01,,Syracuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia-tech
44653,30,2025-03-04,,UNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia-tech
44654,31,2025-03-08,@,Clemson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,virginia-tech
