,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44655,1,2024-11-06,@,Rutgers,L,52,75,22,63,.349,5,16,.313,3,11,.273,10,38,11,2,2,11,21,,28,55,.509,7,23,.304,12,21,.571,2,35,17,7,4,9,14,2025,wagner
44656,2,2024-11-09,,,W,94,52,29,50,.580,15,29,.517,21,30,.700,7,29,22,14,5,11,18,,16,41,.390,8,20,.400,12,17,.706,3,14,8,5,0,20,23,2025,wagner
44657,3,2024-11-13,@,St. John's (NY),L,45,66,16,55,.291,5,24,.208,8,9,.889,10,26,10,7,1,14,25,,21,42,.500,6,17,.353,18,30,.600,5,33,13,7,8,15,10,2025,wagner
44658,4,2024-11-16,@,Seton Hall,L,28,54,11,46,.239,3,18,.167,3,4,.750,8,23,6,5,1,11,12,,20,44,.455,8,18,.444,6,10,.600,7,30,13,7,2,7,12,2025,wagner
44659,5,2024-11-19,@,Boston University,W,60,58,22,55,.400,6,18,.333,10,13,.769,11,31,13,8,1,10,19,,17,47,.362,9,27,.333,15,26,.577,13,35,10,8,3,15,10,2025,wagner
44660,6,2024-11-23,,Springfield,W,81,46,34,69,.493,6,16,.375,7,12,.583,13,39,15,18,2,10,10,,18,44,.409,8,20,.400,2,6,.333,2,22,13,2,6,22,15,2025,wagner
44661,7,2024-11-26,@,Georgetown,L,41,66,14,50,.280,7,19,.368,6,8,.750,11,30,10,6,2,15,17,,22,51,.431,7,22,.318,15,21,.714,7,28,16,14,6,10,11,2025,wagner
44662,8,2024-12-04,,Coppin State,W,65,52,19,46,.413,7,19,.368,20,26,.769,12,32,10,8,3,10,20,,15,40,.375,5,16,.313,17,22,.773,7,23,8,6,1,12,19,2025,wagner
44663,9,2024-12-08,@,Maryland-Eastern Shore,W,63,61,21,46,.457,6,14,.429,15,23,.652,5,27,9,5,0,12,18,,21,47,.447,5,17,.294,14,21,.667,6,27,9,7,1,11,18,2025,wagner
44664,10,2024-12-14,@,NJIT,W,50,43,18,63,.286,4,22,.182,10,17,.588,17,48,8,6,3,11,13,,16,58,.276,4,22,.182,7,9,.778,6,33,5,8,4,10,15,2025,wagner
44665,11,2024-12-18,,Manhattan,L,66,80,22,60,.367,10,29,.345,12,16,.750,9,27,14,6,0,7,17,,26,50,.520,13,30,.433,15,19,.789,5,30,19,5,2,12,11,2025,wagner
44666,12,2024-12-21,,,W,83,52,33,58,.569,9,21,.429,8,14,.571,9,43,21,6,2,17,13,,18,50,.360,11,29,.379,5,8,.625,0,14,9,8,4,15,10,2025,wagner
44667,13,2024-12-23,,,W,120,30,45,77,.584,13,35,.371,17,22,.773,12,44,34,22,1,4,10,,12,47,.255,3,22,.136,3,4,.750,1,19,4,1,0,29,17,2025,wagner
44668,14,2025-01-03,,Chicago State,L,52,64,19,50,.380,4,21,.190,10,13,.769,7,27,10,6,0,11,17,,22,44,.500,7,20,.350,13,18,.722,3,25,12,7,2,13,13,2025,wagner
44669,15,2025-01-05,,FDU,L,59,71,22,70,.314,3,18,.167,12,16,.750,10,31,12,7,2,6,17,,28,53,.528,3,13,.231,12,21,.571,8,40,19,4,5,12,10,2025,wagner
