,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44686,1,2024-11-04,,Coppin State,W,64,49,22,56,.393,9,37,.243,11,23,.478,9,35,14,11,6,12,18,,17,60,.283,4,18,.222,11,15,.733,12,39,9,5,0,19,21,2025,wake-forest
44687,2,2024-11-07,,North Carolina A&T,W,80,64,27,62,.435,6,25,.240,20,22,.909,10,44,15,7,4,17,15,,22,67,.328,11,35,.314,9,12,.750,4,25,11,10,0,13,22,2025,wake-forest
44688,3,2024-11-10,N,Michigan,W,72,70,26,56,.464,6,20,.300,14,19,.737,10,31,11,9,3,13,17,,24,57,.421,10,33,.303,12,15,.800,9,30,15,5,2,15,20,2025,wake-forest
44689,4,2024-11-13,,USC Upstate,W,85,80,28,55,.509,7,26,.269,22,33,.667,11,30,14,10,1,11,14,,30,63,.476,11,29,.379,9,10,.900,10,31,14,8,0,15,24,2025,wake-forest
44690,5,2024-11-16,@,Xavier,L,60,75,22,47,.468,5,15,.333,11,15,.733,6,27,11,5,7,18,18,,23,57,.404,10,26,.385,19,22,.864,8,25,17,12,3,10,14,2025,wake-forest
44691,6,2024-11-19,,Western Carolina,W,82,69,27,63,.429,12,31,.387,16,19,.842,7,19,17,6,4,8,14,,24,56,.429,11,32,.344,10,11,.909,8,31,14,4,2,21,17,2025,wake-forest
44692,7,2024-11-23,,Detroit Mercy,W,67,57,24,61,.393,10,35,.286,9,13,.692,5,29,16,6,10,5,18,,20,60,.333,5,19,.263,12,16,.750,9,41,11,4,3,14,14,2025,wake-forest
44693,8,2024-11-28,N,Florida,L,58,75,21,56,.375,3,20,.150,13,15,.867,8,29,9,7,4,11,17,,23,58,.397,8,27,.296,21,27,.778,11,39,8,10,1,11,17,2025,wake-forest
44694,9,2024-11-29,N,Minnesota,W,57,51,21,53,.396,1,15,.067,14,16,.875,11,38,9,8,3,13,15,,21,51,.412,3,18,.167,6,15,.400,8,25,8,8,2,11,16,2025,wake-forest
44695,10,2024-12-03,@,Texas A&M,L,44,57,17,60,.283,6,28,.214,4,7,.571,14,31,10,10,4,14,16,,19,49,.388,5,22,.227,14,17,.824,11,40,12,10,1,18,12,2025,wake-forest
44696,11,2024-12-07,,Boston College,W,72,66,21,47,.447,5,13,.385,25,34,.735,6,31,12,9,2,8,16,,21,57,.368,12,30,.400,12,14,.857,9,31,16,3,1,14,24,2025,wake-forest
44697,12,2024-12-17,,James Madison,W,75,58,30,60,.500,7,24,.292,8,13,.615,11,35,12,4,9,9,12,,22,58,.379,8,24,.333,6,9,.667,8,23,12,7,3,8,13,2025,wake-forest
44698,13,2024-12-21,@,Clemson,L,62,73,25,50,.500,3,13,.231,9,12,.750,4,30,5,10,1,18,17,,24,61,.393,10,31,.323,15,16,.938,7,28,17,11,3,12,12,2025,wake-forest
44699,14,2024-12-31,@,Syracuse,W,81,71,26,60,.433,9,19,.474,20,26,.769,8,31,13,11,5,10,24,,21,56,.375,5,22,.227,24,32,.750,13,38,8,5,3,18,23,2025,wake-forest
44700,15,2025-01-04,,NC State,W,77,59,28,51,.549,6,16,.375,15,19,.789,7,29,13,5,7,9,17,,20,50,.400,4,13,.308,15,21,.714,8,23,10,3,1,12,13,2025,wake-forest
44701,16,2025-01-11,@,Miami (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wake-forest
44702,17,2025-01-15,,Stanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wake-forest
44703,18,2025-01-18,@,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wake-forest
44704,19,2025-01-21,,UNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wake-forest
44705,20,2025-01-25,,Duke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wake-forest
44706,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,wake-forest
44707,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,wake-forest
44708,21,2025-01-30,@,Louisville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wake-forest
44709,22,2025-02-01,,Pitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wake-forest
44710,23,2025-02-05,@,Stanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wake-forest
44711,24,2025-02-08,@,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wake-forest
44712,25,2025-02-12,,Florida State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wake-forest
44713,26,2025-02-15,@,SMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wake-forest
44714,27,2025-02-22,@,NC State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wake-forest
44715,28,2025-02-26,,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wake-forest
44716,29,2025-03-01,,Notre Dame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wake-forest
44717,30,2025-03-03,@,Duke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wake-forest
44718,31,2025-03-08,,Georgia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wake-forest
