,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
45712,1.0,1.0,2024-11-05,,UC Davis,REG (Non-Conf),W,79,73,,28,62,0.452,2,14,0.143,26,48,0.542,0.468,21,38,0.553,11,31,42,13,11,6,14,20,23,66,0.348,6,27,0.222,17,39,0.436,0.394,21,26,0.808,13,28,41,6,5,6,17,25,2025,washington
45713,2.0,2.0,2024-11-09,@,Nevada,REG (Non-Conf),L,53,63,,19,56,0.339,7,22,0.318,12,34,0.353,0.402,8,13,0.615,10,23,33,9,4,8,12,24,21,55,0.382,4,10,0.4,17,45,0.378,0.418,17,25,0.68,10,25,35,8,7,3,10,17,2025,washington
45714,3.0,3.0,2024-11-13,,,REG (Non-Conf),W,77,62,,26,58,0.448,8,22,0.364,18,36,0.5,0.517,17,32,0.531,6,23,29,12,13,9,10,17,23,49,0.469,7,15,0.467,16,34,0.471,0.541,9,14,0.643,3,24,27,11,4,6,19,23,2025,washington
45715,4.0,4.0,2024-11-17,,UMass Lowell,REG (Non-Conf),W,74,69,,27,73,0.37,3,16,0.188,24,57,0.421,0.39,17,26,0.654,23,26,49,11,7,7,11,21,25,56,0.446,2,16,0.125,23,40,0.575,0.464,17,26,0.654,8,23,31,6,4,8,12,20,2025,washington
45716,5.0,5.0,2024-11-22,,Alcorn State,REG (Non-Conf),W,77,60,,24,49,0.49,7,22,0.318,17,27,0.63,0.561,22,30,0.733,9,23,32,13,2,3,13,13,23,58,0.397,3,15,0.2,20,43,0.465,0.422,11,12,0.917,9,17,26,10,10,4,10,25,2025,washington
45717,6.0,6.0,2024-11-28,N,Colorado State,REG (Non-Conf),W,73,67,,25,56,0.446,10,22,0.455,15,34,0.441,0.536,13,24,0.542,6,23,29,16,7,5,10,13,25,61,0.41,7,23,0.304,18,38,0.474,0.467,10,12,0.833,10,29,39,10,2,2,14,18,2025,washington
45718,7.0,7.0,2024-11-29,N,Santa Clara,REG (Non-Conf),W,76,69,,27,62,0.435,5,15,0.333,22,47,0.468,0.476,17,26,0.654,14,23,37,12,9,3,7,13,25,57,0.439,10,24,0.417,15,33,0.455,0.526,9,11,0.818,7,23,30,9,3,8,14,21,2025,washington
45719,8.0,8.0,2024-12-03,@,UCLA,REG (Conf),L,58,69,,19,49,0.388,3,16,0.188,16,33,0.485,0.418,17,24,0.708,10,28,38,12,6,1,12,19,25,60,0.417,8,21,0.381,17,39,0.436,0.483,11,22,0.5,11,22,33,16,6,3,7,17,2025,washington
45720,9.0,9.0,2024-12-07,,Southern California,REG (Conf),L,61,85,,22,56,0.393,5,19,0.263,17,37,0.459,0.438,12,21,0.571,9,15,24,13,4,1,14,17,32,50,0.64,7,16,0.438,25,34,0.735,0.71,14,17,0.824,2,28,30,12,6,7,12,18,2025,washington
45721,10.0,10.0,2024-12-10,,Eastern Washington,REG (Non-Conf),W,87,69,,34,56,0.607,10,19,0.526,24,37,0.649,0.696,9,15,0.6,8,22,30,17,12,1,14,15,28,56,0.5,5,17,0.294,23,39,0.59,0.545,8,11,0.727,6,18,24,12,12,2,15,14,2025,washington
45722,11.0,11.0,2024-12-18,,Washington State,REG (Non-Conf),W,89,73,,31,62,0.5,10,21,0.476,21,41,0.512,0.581,17,26,0.654,3,17,20,18,11,7,6,20,25,58,0.431,6,20,0.3,19,38,0.5,0.483,17,21,0.81,10,26,36,12,2,9,22,26,2025,washington
45723,12.0,12.0,2024-12-23,,Seattle,REG (Non-Conf),L,70,79,,24,57,0.421,6,24,0.25,18,33,0.545,0.474,16,23,0.696,7,23,30,10,2,4,12,24,23,56,0.411,4,18,0.222,19,38,0.5,0.446,29,32,0.906,7,29,36,7,7,3,7,21,2025,washington
45724,13.0,13.0,2024-12-29,,NJIT,REG (Non-Conf),W,90,53,,34,61,0.557,10,24,0.417,24,37,0.649,0.639,12,14,0.857,8,25,33,21,12,6,5,20,19,51,0.373,3,17,0.176,16,34,0.471,0.402,12,22,0.545,9,17,26,5,2,3,13,14,2025,washington
45725,14.0,14.0,2025-01-02,,Maryland,REG (Conf),W,75,69,,26,57,0.456,5,24,0.208,21,33,0.636,0.5,18,23,0.783,10,21,31,11,7,2,12,19,26,58,0.448,2,11,0.182,24,47,0.511,0.466,15,22,0.682,5,19,24,7,7,5,11,23,2025,washington
45726,15.0,15.0,2025-01-05,,Illinois,REG (Conf),L,77,81,,28,65,0.431,10,26,0.385,18,39,0.462,0.508,11,14,0.786,7,17,24,11,9,3,10,18,31,66,0.47,5,26,0.192,26,40,0.65,0.508,14,19,0.737,12,28,40,10,4,3,13,13,2025,washington
45727,16.0,16.0,2025-01-09,@,Michigan State,REG (Conf),L,54,88,,18,55,0.327,3,16,0.188,15,39,0.385,0.355,15,23,0.652,6,17,23,11,6,6,15,16,32,61,0.525,7,21,0.333,25,40,0.625,0.582,17,18,0.944,7,29,36,24,10,6,11,17,2025,washington
45728,17.0,17.0,2025-01-12,@,Michigan,REG (Conf),L,75,91,,26,63,0.413,9,21,0.429,17,42,0.405,0.484,14,18,0.778,11,22,33,15,3,1,11,24,29,55,0.527,11,29,0.379,18,26,0.692,0.627,22,32,0.688,7,28,35,19,2,3,11,17,2025,washington
45729,18.0,18.0,2025-01-15,,Purdue,REG (Conf),L,58,69,,20,47,0.426,9,22,0.409,11,25,0.44,0.521,9,14,0.643,6,22,28,13,8,1,17,18,25,50,0.5,3,13,0.231,22,37,0.595,0.53,16,22,0.727,6,23,29,9,12,3,10,12,2025,washington
45730,19.0,19.0,2025-01-21,@,Oregon,REG (Conf),L,71,82,,26,56,0.464,4,21,0.19,22,35,0.629,0.5,15,17,0.882,4,17,21,13,6,0,9,17,31,61,0.508,6,18,0.333,25,43,0.581,0.557,14,18,0.778,9,26,35,13,7,3,9,12,2025,washington
45731,20.0,20.0,2025-01-24,,UCLA,REG (Conf),L,60,65,,22,53,0.415,5,22,0.227,17,31,0.548,0.462,11,15,0.733,8,25,33,8,3,5,14,16,23,56,0.411,9,17,0.529,14,39,0.359,0.491,10,14,0.714,9,22,31,10,9,8,11,14,2025,washington
45732,21.0,21.0,2025-02-01,@,Minnesota,REG (Conf),W,71,68,,23,55,0.418,7,15,0.467,16,40,0.4,0.482,18,21,0.857,13,18,31,12,8,4,13,20,23,44,0.523,6,16,0.375,17,28,0.607,0.591,16,24,0.667,5,20,25,17,9,7,14,18,2025,washington
45733,22.0,22.0,2025-02-05,,Nebraska,REG (Conf),L,72,86,,27,57,0.474,10,25,0.4,17,32,0.531,0.561,8,12,0.667,5,23,28,13,1,6,9,16,29,55,0.527,11,19,0.579,18,36,0.5,0.627,17,22,0.773,4,24,28,16,6,6,5,11,2025,washington
45734,23.0,23.0,2025-02-08,,Northwestern,REG (Conf),W,76,71,,28,53,0.528,8,22,0.364,20,31,0.645,0.604,12,16,0.75,9,24,33,8,3,1,15,12,26,54,0.481,8,24,0.333,18,30,0.6,0.556,11,11,1.0,3,18,21,12,9,2,7,13,2025,washington
