,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
45744,1,1,2024-11-04,,Portland State,REG (Non-Conf),W,100,92,,30,57,.526,15,32,.469,15,25,.600,.658,25,32,.781,9,25,34,15,6,4,20,25,33,68,.485,12,27,.444,21,41,.512,.574,14,21,.667,13,13,26,16,9,4,15,24,2025,washington-state
45745,2,2,2024-11-08,,Bradley,REG (Non-Conf),W,91,74,,27,61,.443,10,31,.323,17,30,.567,.525,27,33,.818,14,24,38,16,10,3,9,22,24,54,.444,11,26,.423,13,28,.464,.546,15,21,.714,7,21,28,15,4,2,13,24,2025,washington-state
45746,3,3,2024-11-11,,Idaho,REG (Non-Conf),W,90,67,,34,66,.515,8,26,.308,26,40,.650,.576,14,20,.700,13,29,42,16,6,10,12,25,23,63,.365,5,24,.208,18,39,.462,.405,16,23,.696,9,17,26,8,6,2,10,20,2025,washington-state
45747,4,4,2024-11-15,N,Iowa,REG (Non-Conf),L,66,76,,26,66,.394,5,28,.179,21,38,.553,.432,9,12,.750,10,30,40,11,7,6,17,25,25,60,.417,8,25,.320,17,35,.486,.483,18,27,.667,9,25,34,14,10,5,13,13,2025,washington-state
45748,5,5,2024-11-18,,Northern Colorado,REG (Non-Conf),W,83,69,,32,57,.561,7,22,.318,25,35,.714,.623,12,16,.750,5,29,34,16,4,7,12,15,25,68,.368,8,30,.267,17,38,.447,.426,11,17,.647,10,20,30,13,8,3,6,19,2025,washington-state
45749,6,6,2024-11-21,N,Eastern Washington,REG (Non-Conf),W,96,81,,32,64,.500,16,30,.533,16,34,.471,.625,16,22,.727,14,23,37,24,10,4,21,22,31,65,.477,3,19,.158,28,46,.609,.500,16,22,.727,8,17,25,11,10,4,14,19,2025,washington-state
45750,7,7,2024-11-27,N,Fresno State,REG (Non-Conf),W,84,73,,34,64,.531,6,22,.273,28,42,.667,.578,10,18,.556,9,28,37,23,10,7,19,19,27,63,.429,7,22,.318,20,41,.488,.484,12,21,.571,6,23,29,9,6,0,16,17,2025,washington-state
45751,8,7,2024-11-27,N,SMU,REG (Non-Conf),L,60,77,,21,57,.368,10,33,.303,11,24,.458,.456,8,15,.533,6,14,20,12,6,6,8,16,28,66,.424,5,15,.333,23,51,.451,.462,16,19,.842,17,26,43,12,4,3,9,14,2025,washington-state
45752,9,9,2024-12-02,@,Nevada,REG (Non-Conf),W,68,57,,25,60,.417,12,29,.414,13,31,.419,.517,6,9,.667,9,25,34,19,6,4,14,17,22,57,.386,4,20,.200,18,37,.486,.421,9,13,.692,8,21,29,11,6,1,15,13,2025,washington-state
45753,10,10,2024-12-07,N,Boise State,REG (Non-Conf),W,74,69,,29,57,.509,6,22,.273,23,35,.657,.561,10,18,.556,4,28,32,16,5,6,13,21,25,66,.379,7,27,.259,18,39,.462,.432,12,20,.600,10,23,33,10,7,3,8,15,2025,washington-state
45754,11,11,2024-12-14,,Missouri State,REG (Non-Conf),W,91,78,,32,51,.627,9,21,.429,23,30,.767,.716,18,28,.643,6,18,24,17,5,8,14,17,31,64,.484,10,26,.385,21,38,.553,.563,6,15,.400,13,15,28,16,10,2,13,26,2025,washington-state
45755,12,12,2024-12-18,@,Washington,REG (Non-Conf),L,73,89,,25,58,.431,6,20,.300,19,38,.500,.483,17,21,.810,10,26,36,12,2,9,22,26,31,62,.500,10,21,.476,21,41,.512,.581,17,26,.654,3,17,20,18,11,7,6,20,2025,washington-state
45756,13,13,2024-12-21,N,Northern Iowa,REG (Non-Conf),W,76,68,,32,54,.593,7,21,.333,25,33,.758,.657,5,10,.500,5,24,29,23,8,4,12,18,24,61,.393,4,22,.182,20,39,.513,.426,16,23,.696,11,20,31,17,6,0,10,15,2025,washington-state
45757,14,14,2024-12-28,@,Portland,REG (Conf),W,89,73,,33,60,.550,14,25,.560,19,35,.543,.667,9,13,.692,8,27,35,24,3,3,16,17,25,59,.424,7,23,.304,18,36,.500,.483,16,18,.889,5,17,22,15,9,5,11,14,2025,washington-state
45758,15,15,2024-12-30,,Loyola Marymount,REG (Conf),W,73,59,,28,57,.491,7,19,.368,21,38,.553,.553,10,14,.714,8,30,38,17,6,1,16,15,23,58,.397,3,21,.143,20,37,.541,.422,10,15,.667,5,22,27,8,9,4,15,21,2025,washington-state
